"","wordcloud_bigram_vi$ngrams","cat_sent_vi","wordcloud_bigram_vi$freq"
"2991","mention need ","Neutral",2
"2992","idea think ","Neutral",2
"2993","took payment ","Negative",2
"2994","imagine surprise ","Positive",2
"2995","called asking ","Neutral",2
"2996","appalling service ","Negative",2
"2997","fault connection ","Negative",2
"2998","refused help ","Negative",2
"2999","time deal ","Positive",2
"3000","phoned times ","Neutral",2
"3001","speak one ","Neutral",2
"3002","debit cancelled ","Negative",2
"3003","years felt ","Neutral",2
"3004","rude also ","Negative",2
"3005","towns cities ","Neutral",2
"3006","abroad customer ","Neutral",2
"3007","problem customer ","Negative",2
"3008","excellent service ","Positive",2
"3009","phone like ","Positive",2
"3010","unable access ","Negative",2
"3011","nearest store ","Neutral",2
"3012","times kept ","Neutral",2
"3013","without hesitation ","Negative",2
"3014","time going ","Neutral",2
"3015","hold whilst ","Neutral",2
"3016","letter days ","Neutral",2
"3017","never really ","Neutral",2
"3018","arrangements pay ","Negative",2
"3019","rude hang ","Negative",2
"3020","broadband home ","Neutral",2
"3021","mum still ","Neutral",2
"3022","refused listen ","Negative",2
"3023","told money ","Positive",2
"3024","system told ","Neutral",2
"3025","put complaints ","Negative",2
"3026","asked one ","Neutral",2
"3027","revert back ","Negative",2
"3028","phone supposed ","Neutral",2
"3029","years wish ","Positive",2
"3030","money owed ","Positive",2
"3031","saying m ","Neutral",2
"3032","talk time ","Positive",2
"3033","asked like ","Positive",2
"3034","managers available ","Positive",2
"3035","wasted hours ","Negative",2
"3036","simply unacceptable ","Negative",2
"3037","system broken ","Negative",2
"3038","responsible lending ","Positive",2
"3039","cancelled agreement ","Negative",2
"3040","company anything ","Neutral",2
"3041","calls despite ","Neutral",2
"3042","unless pay ","Negative",2
"3043","past year ","Neutral",2
"3044","airplane mode ","Neutral",2
"3045","explain situation ","Neutral",2
"3046","say never ","Neutral",2
"3047","contract staff ","Neutral",2
"3048","going told ","Neutral",2
"3049","managers call ","Neutral",2
"3050","back received ","Positive",2
"3051","way run ","Neutral",2
"3052","need eligibility ","Neutral",2
"3053","already unlocked ","Neutral",2
"3054","saying something ","Neutral",2
"3055","make money ","Positive",2
"3056","oh best ","Positive",2
"3057","making calls ","Neutral",2
"3058","else gave ","Neutral",2
"3059","happened got ","Neutral",2
"3060","back monday ","Neutral",2
"3061","process anything ","Neutral",2
"3062","yr contract ","Neutral",2
"3063","appalling company ","Negative",2
"3064","simply sim ","Neutral",2
"3065","order generated ","Neutral",2
"3066","person telling ","Neutral",2
"3067","agent said ","Neutral",2
"3068","hours sim ","Neutral",2
"3069","even arrived ","Neutral",2
"3070","contact help ","Positive",2
"3071","use still ","Neutral",2
"3072","experience problem ","Negative",2
"3073","need anything ","Neutral",2
"3074","mobile thought ","Neutral",2
"3075","reading contract ","Positive",2
"3076","cool period ","Positive",2
"3077","wait see ","Negative",2
"3078","members family ","Neutral",2
"3079","£ one ","Neutral",2
"3080","contract started ","Neutral",2
"3081","credit scoring ","Positive",2
"3082","understatement now ","Neutral",2
"3083","around globe ","Neutral",2
"3084","without informing ","Neutral",2
"3085","bill payment ","Negative",2
"3086","extremely high ","Neutral",2
"3087","family members ","Neutral",2
"3088","promised manager ","Positive",2
"3089","delivery took ","Positive",2
"3090","network longer ","Neutral",2
"3091","number person ","Neutral",2
"3092","media team ","Neutral",2
"3093","clear mobile"", ","Positive",2
"3094","passed received ","Positive",2
"3095","s sim ","Neutral",2
"3096","found hard ","Positive",2
"3097","go without ","Neutral",2
"3098","mobile providers ","Neutral",2
"3099","support excellent ","Positive",2
"3100","links online ","Neutral",2
"3101","site reached ","Neutral",2
"3102","samsung j ","Neutral",2
"3103","please try ","Positive",2
"3104","going contact ","Positive",2
"3105","raise complaint ","Negative",2
"3106","problem uk ","Negative",2
"3107","changed network ","Neutral",2
"3108","mobile many ","Neutral",2
"3109","thinking joining ","Neutral",2
"3110","settings etc ","Neutral",2
"3111","way calling ","Neutral",2
"3112","dont even ","Neutral",2
"3113","pay less ","Negative",2
"3114","call mobile ","Neutral",2
"3115","allowed buy ","Neutral",2
"3116","recieved phone ","Neutral",2
"3117","working order ","Positive",2
"3118","im still ","Neutral",2
"3119","fault within ","Negative",2
"3120","years got ","Neutral",2
"3121","technical issue ","Neutral",2
"3122","fix issues ","Neutral",2
"3123","need data ","Neutral",2
"3124","
""waste time ","Negative",2
"3125","additional information ","Positive",2
"3126","terminated call ","Neutral",2
"3127","internet access ","Neutral",2
"3128","sim now ","Neutral",2
"3129","service day ","Neutral",2
"3130","cards told ","Neutral",2
"3131","credit £ ","Positive",2
"3132","talk talk ","Positive",2
"3133","visa debit ","Neutral",2
"3134","s way ","Neutral",2
"3135","always losing ","Negative",2
"3136","another long ","Neutral",2
"3137","bothered call ","Negative",2
"3138","switch onto ","Neutral",2
"3139","minute call ","Neutral",2
"3140","person assume ","Neutral",2
"3141","payment said ","Negative",2
"3142","offer contract ","Positive",2
"3143","review due ","Neutral",2
"3144","still pay ","Negative",2
"3145","though see ","Neutral",2
"3146","via direct ","Neutral",2
"3147","phone stock ","Neutral",2
"3148","sign credit ","Positive",2
"3149","awful experience ","Negative",2
"3150","nothing wrong ","Negative",2
"3151","service complete ","Neutral",2
"3152","earlier day ","Neutral",2
"3153","central london ","Neutral",2
"3154","back another ","Neutral",2
"3155","going mobile ","Neutral",2
"3156","one said ","Neutral",2
"3157","months complaining ","Negative",2
"3158","take advise ","Positive",2
"3159","easy done ","Positive",2
"3160","staff told ","Neutral",2
"3161","limit charged ","Negative",2
"3162","try sort ","Neutral",2
"3163","new hand ","Positive",2
"3164","mobile uses ","Neutral",2
"3165","use network ","Neutral",2
"3166","ever seen ","Neutral",2
"3167","avoid"", ""worst ","Negative",2
"3168","data even ","Neutral",2
"3169","phone havent ","Neutral",2
"3170","oct st ","Neutral",2
"3171","go ahead ","Positive",2
"3172","minutes gb ","Neutral",2
"3173","sim upgrade ","Neutral",2
"3174","back happen ","Neutral",2
"3175","service treated ","Neutral",2
"3176","lie said ","Negative",2
"3177","sales customer ","Neutral",2
"3178","cant make ","Neutral",2
"3179","now m ","Neutral",2
"3180","affect credit ","Positive",2
"3181","extremely reluctant ","Negative",2
"3182","top £ ","Neutral",2
"3183","zero star"", ","Positive",2
"3184","system anymore ","Neutral",2
"3185","nothing like ","Positive",2
"3186","experience company ","Neutral",2
"3187","extort money ","Negative",2
"3188","ago sales ","Neutral",2
"3189","able transfer ","Neutral",2
"3190","social media ","Neutral",2
"3191","service changed ","Neutral",2
"3192","almost month ","Neutral",2
"3193","last top ","Neutral",2
"3194","case rang ","Neutral",2
"3195","owed months ","Neutral",2
"3196","back first ","Neutral",2
"3197","re order ","Neutral",2
"3198","told form ","Neutral",2
"3199","customer many ","Neutral",2
"3200","now months ","Neutral",2
"3201","charge nearly ","Neutral",2
"3202","advice anyone ","Neutral",2
"3203","contract spend ","Neutral",2
"3204","friend scheme ","Positive",2
"3205","change contract ","Neutral",2
"3206","yrs now ","Neutral",2
"3207","longer working ","Positive",2
"3208","billing period ","Neutral",2
"3209","charged times ","Neutral",2
"3210","eligibility rating ","Neutral",2
"3211","asked compensation ","Neutral",2
"3212","months never ","Neutral",2
"3213","steps taken ","Neutral",2
"3214","call sort ","Neutral",2
"3215","bill phoned ","Neutral",2
"3216","rather pay ","Negative",2
"3217","problem fixed ","Negative",2
"3218","hour told ","Neutral",2
"3219","service well ","Positive",2
"3220","message vm ","Neutral",2
"3221","contract able ","Neutral",2
"3222","day wait ","Negative",2
"3223","arrived within ","Neutral",2
"3224","mb mobile ","Neutral",2
"3225","contract put ","Neutral",2
"3226","sub standard ","Neutral",2
"3227","also looking ","Neutral",2
"3228","service hung ","Neutral",2
"3229","made look ","Neutral",2
"3230","money gone ","Positive",2
"3231","calls called ","Neutral",2
"3232","phoned say ","Neutral",2
"3233","nothing still ","Neutral",2
"3234","month half ","Neutral",2
"3235","ring home ","Neutral",2
"3236","us section ","Neutral",2
"3237","period cancel ","Negative",2
"3238","said correct ","Positive",2
"3239","bought phone ","Neutral",2
"3240","regain customers ","Neutral",2
"3241","away customer ","Neutral",2
"3242","contact said ","Positive",2
"3243","minutes month ","Neutral",2
"3244","part world ","Neutral",2
"3245","better"", 
""customer ","Positive",2
"3246","account unable ","Negative",2
"3247","cut line ","Negative",2
"3248","spoke now ","Neutral",2
"3249","mobile left ","Neutral",2
"3250","say take ","Neutral",2
"3251","sim within ","Neutral",2
"3252","times data ","Neutral",2
"3253","t sell ","Neutral",2
"3254","joke staff ","Positive",2
"3255","one time ","Neutral",2
"3256","day day ","Neutral",2
"3257","absolutely unacceptable ","Negative",2
"3258","months one ","Neutral",2
"3259","call minutes ","Neutral",2
"3260","else help ","Neutral",2
"3261","old mobile ","Neutral",2
"3262","told sort ","Neutral",2
"3263","hours life ","Neutral",2
"3264","one knew ","Neutral",2
"3265","stars customer ","Neutral",2
"3266","never resolve ","Positive",2
"3267","contract terms ","Neutral",2
"3268","contract early ","Neutral",2
"3269","year deal ","Positive",2
"3270","half way ","Neutral",2
"3271","awful everything ","Negative",2
"3272","tariff however ","Negative",2
"3273","sent old ","Neutral",2
"3274","even tell ","Neutral",2
"3275","offered sim ","Neutral",2
"3276","want ask ","Neutral",2
"3277","outstanding balance ","Positive",2
"3278","anything like ","Positive",2
"3279","""never ever ","Neutral",2
"3280","tell something ","Neutral",2
"3281","technical support ","Positive",2
"3282","called waited ","Neutral",2
"3283","everything said ","Neutral",2
"3284","spoke told ","Neutral",2
"3285","ok done ","Neutral",2
"3286","leave reviews ","Negative",2
"3287","service made ","Neutral",2
"3288","th lie ","Negative",2
"3289","repulsive company ","Negative",2
"3290","people found ","Positive",2
"3291","phone due ","Neutral",2
"3292","give free ","Positive",2
"3293","else told ","Neutral",2
"3294","phone half ","Neutral",2
"3295","end try ","Neutral",2
"3296","got signal ","Neutral",2
"3297","charges period ","Neutral",2
"3298","either signal ","Neutral",2
"3299","dropped calls ","Neutral",2
"3300","time wanted ","Neutral",2
"3301","contracts never ","Neutral",2
"3302","need make ","Neutral",2
"3303","help make ","Neutral",2
"3304","date mobile ","Neutral",2
"3305","asked confirm ","Neutral",2
"3306","getting texts ","Neutral",2
"3307","free tablet ","Positive",2
"3308","one hung ","Neutral",2
"3309","mins later ","Neutral",2
"3310","call tried ","Neutral",2
"3311","plan price ","Neutral",2
"3312","speak accounts ","Neutral",2
"3313","ask questions ","Neutral",2
"3314","times put ","Neutral",2
"3315","team rude ","Negative",2
"3316","today ask ","Neutral",2
"3317","one paying ","Neutral",2
"3318","amount sim ","Neutral",2
"3319","problem sorted ","Negative",2
"3320","something else ","Neutral",2
"3321","experience even ","Neutral",2
"3322","tariff increase ","Positive",2
"3323","airtime deal ","Positive",2
"3324","representative asked ","Neutral",2
"3325","staff come ","Neutral",2
"3326","phone £ ","Neutral",2
"3327","need look ","Neutral",2
"3328","shop gave ","Neutral",2
"3329","day asked ","Neutral",2
"3330","time now ","Neutral",2
"3331","day later ","Neutral",2
"3332","fault sent ","Negative",2
"3333","short mobile ","Neutral",2
"3334","took call ","Neutral",2
"3335","telling going ","Neutral",2
"3336","month still ","Neutral",2
"3337","""really bad ","Negative",2
"3338","refused give ","Negative",2
"3339","day nothing ","Neutral",2
"3340","try charge ","Neutral",2
"3341","told issues ","Neutral",2
"3342","email indicated ","Neutral",2
"3343","seem good ","Positive",2
"3344","service ve ","Neutral",2
"3345","smarty based ","Neutral",2
"3346","something like ","Positive",2
"3347","actually getting ","Neutral",2
"3348","sent post ","Neutral",2
"3349","person called ","Neutral",2
"3350","though used ","Neutral",2
"3351","years decided ","Neutral",2
"3352","account via ","Neutral",2
"3353","customer never ","Neutral",2
"3354","done still ","Neutral",2
"3355","number one ","Neutral",2
"3356","cancel cancel ","Negative",2
"3357","use never ","Neutral",2
"3358","etc called ","Neutral",2
"3359","start paying ","Neutral",2
"3360","easy change ","Positive",2
"3361","purchase new ","Positive",2
"3362","service awful ","Negative",2
"3363","rolling sim ","Neutral",2
"3364","service lied ","Negative",2
"3365","even implied ","Neutral",2
"3366","poor phone ","Negative",2
"3367","clearly problem ","Negative",2
"3368","trained customer ","Neutral",2
"3369","one another ","Neutral",2
"3370","see contract ","Neutral",2
"3371","number suggested ","Neutral",2
"3372","wait customer ","Negative",2
"3373","deal good ","Positive",2
"3374","number another ","Neutral",2
"3375","even look ","Neutral",2
"3376","data unlimited ","Positive",2
"3377","contract details ","Neutral",2
"3378","nothing problems ","Negative",2
"3379","later direct ","Neutral",2
"3380","texts gb ","Neutral",2
"3381","paying less ","Neutral",2
"3382","promising call ","Positive",2
"3383","never took ","Neutral",2
"3384","full house ","Neutral",2
"3385","service every ","Neutral",2
"3386","active number ","Positive",2
"3387","clear company ","Positive",2
"3388","help ever ","Neutral",2
"3389","refused refund ","Positive",2
"3390","different number ","Neutral",2
"3391","told connect ","Neutral",2
"3392","contract find ","Neutral",2
"3393","quickly tried ","Neutral",2
"3394","provider called ","Neutral",2
"3395","date time ","Neutral",2
"3396","given phone ","Neutral",2
"3397","reviews signing ","Neutral",2
"3398","senior engineer ","Neutral",2
"3399","informed first ","Neutral",2
"3400","centres abroad ","Neutral",2
"3401","forget roaming ","Negative",2
"3402","everything looks ","Neutral",2
"3403","repeated eligible ","Positive",2
"3404","takes ages ","Neutral",2
"3405","ll definitely ","Neutral",2
"3406","money never ","Positive",2
"3407","switch back ","Neutral",2
"3408","standard reply ","Neutral",2
"3409","know company ","Neutral",2
"3410","care customers"", ","Positive",2
"3411","etc weeks ","Neutral",2
"3412","signal become ","Neutral",2
"3413","different sim ","Neutral",2
"3414","phone months ","Neutral",2
"3415","team says ","Neutral",2
"3416","transfer old ","Neutral",2
"3417","front costs ","Neutral",2
"3418","days activate ","Neutral",2
"3419","taking details ","Neutral",2
"3420","every right ","Positive",2
"3421","work signal ","Positive",2
"3422","say sent ","Neutral",2
"3423","expensive one ","Negative",2
"3424","bunch money ","Positive",2
"3425","took half ","Neutral",2
"3426","tell s ","Neutral",2
"3427","bill usage ","Neutral",2
"3428","looks good ","Positive",2
"3429","code text ","Neutral",2
"3430","everything put ","Neutral",2
"3431","resolved hung ","Positive",2
"3432","definitely connect ","Neutral",2
"3433","runs ee ","Neutral",2
"3434","eventually managed ","Neutral",2
"3435","email instead ","Neutral",2
"3436","final straw ","Neutral",2
"3437","done within ","Neutral",2
"3438","realised although ","Neutral",2
"3439","way contact ","Positive",2
"3440","email phone ","Neutral",2
"3441","lecture incurred ","Neutral",2
"3442","unless paid ","Neutral",2
"3443","confirm email ","Neutral",2
"3444","sim arrives ","Neutral",2
"3445","lo behold ","Neutral",2
"3446","center staff ","Positive",2
"3447","service sim ","Neutral",2
"3448","puk code ","Neutral",2
"3449","informed price ","Neutral",2
"3450","anyway now ","Neutral",2
"3451","said right ","Positive",2
"3452","account see ","Neutral",2
"3453","found actually ","Positive",2
"3454","payment informed ","Negative",2
"3455","asked put ","Neutral",2
"3456","time sim ","Neutral",2
"3457","glasgow fixed ","Neutral",2
"3458","single time ","Neutral",2
"3459","else simply ","Neutral",2
"3460","tried say ","Neutral",2
"3461","take months ","Neutral",2
"3462","response next ","Neutral",2
"3463","closed said ","Neutral",2
"3464","different staff ","Neutral",2
"3465","placed hold ","Neutral",2
"3466","increase prices ","Positive",2
"3467","closed account ","Neutral",2
"3468","reasonable person ","Positive",2
"3469","calling customer ","Neutral",2
"3470","overseas customer ","Neutral",2
"3471","managed speak ","Neutral",2
"3472","impossible cancel ","Negative",2
"3473","contract stated ","Neutral",2
"3474","screen broke ","Negative",2
"3475","please use ","Positive",2
"3476","taken £ ","Neutral",2
"3477","rep spoke ","Neutral",2
"3478","tried go ","Neutral",2
"3479","getting phone ","Neutral",2
"3480","accept phone ","Positive",2
"3481","mobile set ","Neutral",2
"3482","fix problem ","Negative",2
"3483","year half ","Neutral",2
"3484","told actually ","Neutral",2
"3485","leaving without ","Neutral",2
"3486","centre worker ","Neutral",2
"3487","registered details ","Neutral",2
"3488","monthly charge ","Neutral",2
"3489","oh yes ","Positive",2
"3490","open account ","Neutral",2
"3491","staff media ","Neutral",2
"3492","phone also ","Neutral",2
"3493","back mins ","Neutral",2
"3494","nearly reached ","Neutral",2
"3495","telling customers ","Neutral",2
"3496","call worst ","Negative",2
"3497","ported o ","Neutral",2
"3498","weren t ","Neutral",2
"3499","last provider ","Neutral",2
"3500","contract monthly ","Neutral",2
"3501","debit every ","Neutral",2
"3502","declined give ","Negative",2
"3503","someone actually ","Neutral",2
"3504","number etc ","Neutral",2
"3505","sell iphone ","Neutral",2
"3506","new experia ","Positive",2
"3507","ask change ","Neutral",2
"3508","one well ","Positive",2
"3509","refund contract ","Positive",2
"3510","really long ","Neutral",2
"3511","finally decided ","Positive",2
"3512","days call ","Neutral",2
"3513","service unhelpful ","Negative",2
"3514","later bill ","Neutral",2
"3515","said credit ","Positive",2
"3516","charged full ","Neutral",2
"3517","official site ","Neutral",2
"3518","deal ever ","Positive",2
"3519","never made ","Neutral",2
"3520","rather £ ","Neutral",2
"3521","times month ","Neutral",2
"3522","asked wanted ","Neutral",2
"3523","asking like ","Positive",2
"3524","really friendly ","Positive",2
"3525","less helpful ","Positive",2
"3526","call woman ","Neutral",2
"3527","cancelled line ","Negative",2
"3528","happy mobile ","Positive",2
"3529","like say ","Positive",2
"3530","local call ","Neutral",2
"3531","accounts dept ","Neutral",2
"3532","another hour ","Neutral",2
"3533","next three ","Neutral",2
"3534","hours spent ","Negative",2
"3535","even sure ","Neutral",2
"3536","find someone ","Neutral",2
"3537","months upgrade ","Neutral",2
"3538","person person ","Neutral",2
"3539","turn phone ","Neutral",2
"3540","given us ","Neutral",2
"3541","moving two ","Neutral",2
"3542","tried several ","Neutral",2
"3543","unvalued customer ","Neutral",2
"3544","asking call ","Neutral",2
"3545","questions online ","Neutral",2
"3546","incurred charges ","Neutral",2
"3547","pathetic customer ","Negative",2
"3548","call see ","Neutral",2
"3549","never using ","Neutral",2
"3550","extortionate amounts ","Neutral",2
"3551","use link ","Neutral",2
"3552","financially hard ","Negative",2
"3553","cost good ","Positive",2
"3554","""ordered phone ","Neutral",2
"3555","never change ","Neutral",2
"3556","give info ","Neutral",2
"3557","told informed ","Neutral",2
"3558","tried offer ","Positive",2
"3559","last one ","Neutral",2
"3560","work since ","Positive",2
"3561","explained problem ","Negative",2
"3562","days time ","Neutral",2
"3563","days back ","Neutral",2
"3564","hour first ","Neutral",2
"3565","cost package ","Neutral",2
"3566","contract immediately ","Neutral",2
"3567","told contract ","Neutral",2
"3568","previous calls ","Neutral",2
"3569","£ cancellation ","Neutral",2
"3570","give zero ","Neutral",2
"3571","awful service ","Negative",2
"3572","phone unlock ","Neutral",2
"3573","need months ","Neutral",2
"3574","think whole ","Neutral",2
"3575","keep taking ","Neutral",2
"3576","conversation took ","Neutral",2
"3577","service hard ","Negative",2
"3578","advised factory ","Neutral",2
"3579","service dept ","Neutral",2
"3580","already paying ","Neutral",2
"3581","last spoke ","Neutral",2
"3582","phone thing ","Neutral",2
"3583","mobiles customer ","Neutral",2
"3584","phone contact ","Positive",2
"3585","going take ","Neutral",2
"3586","plus side ","Neutral",2
"3587","days free ","Positive",2
"3588","im going ","Neutral",2
"3589","spoke one ","Neutral",2
"3590","completely untrue ","Negative",2
"3591","everything working ","Positive",2
"3592","pay staff ","Negative",2
"3593","price months ","Neutral",2
"3594","told cant ","Neutral",2
"3595","tried resolve ","Positive",2
"3596","upgrade asked ","Neutral",2
"3597","never late ","Negative",2
"3598","telling call ","Neutral",2
"3599","reregister online ","Neutral",2
"3600","anything now ","Neutral",2
"3601","yet billed ","Neutral",2
"3602","call done ","Neutral",2
"3603","£ excess ","Negative",2
"3604","manager extremely ","Neutral",2
"3605","company customer ","Neutral",2
"3606","paid put ","Neutral",2
"3607","clearly understand ","Positive",2
"3608","taking mobile ","Neutral",2
"3609","yes charged ","Positive",2
"3610","data rollover ","Neutral",2
"3611","third time ","Neutral",2
"3612","difficult customer ","Negative",2
"3613","online orders ","Neutral",2
"3614","communications company ","Neutral",2
"3615","contract july ","Neutral",2
"3616","move mobile ","Neutral",2
"3617","shockingly poor ","Negative",2
"3618","rude disrespectful ","Negative",2
"3619","delivery new ","Positive",2
"3620","next couple ","Neutral",2
"3621","emailed bill ","Neutral",2
"3622","time direct ","Neutral",2
"3623","details taken ","Neutral",2
"3624","account one ","Neutral",2
"3625","refused pay ","Negative",2
"3626","issue still ","Neutral",2
"3627","run data ","Neutral",2
"3628","day now ","Neutral",2
"3629","loyal customers ","Positive",2
"3630","support team ","Positive",2
"3631","find customer ","Neutral",2
"3632","issues faced ","Neutral",2
"3633","gave due ","Neutral",2
"3634","really understand ","Neutral",2
"3635","years tv ","Neutral",2
"3636","service cut ","Negative",2
"3637","good years ","Positive",2
"3638","received confirmation ","Positive",2
"3639","sim post ","Neutral",2
"3640","company charging ","Neutral",2
"3641","find iphone ","Neutral",2
"3642","address write ","Neutral",2
"3643","waiting phone ","Neutral",2
"3644","cancelling broadband ","Negative",2
"3645","time ever ","Neutral",2
"3646","asked leave ","Negative",2
"3647","said last ","Neutral",2
"3648","amount calls ","Neutral",2
"3649","g contract ","Neutral",2
"3650","phone may ","Neutral",2
"3651","laughed said ","Positive",2
"3652","order told ","Neutral",2
"3653","take court ","Neutral",2
"3654","outsourced stooge ","Negative",2
"3655","operator asked ","Neutral",2
"3656","via website ","Neutral",2
"3657","way capping ","Neutral",2
"3658","someone sales ","Neutral",2
"3659","day got ","Neutral",2
"3660","hours activate ","Neutral",2
"3661","team anything ","Neutral",2
"3662","say cancelling ","Negative",2
"3663","even money ","Positive",2
"3664","know give ","Neutral",2
"3665","seem able ","Neutral",2
"3666","onto manager ","Neutral",2
"3667","well phone ","Positive",2
"3668","unknown reason ","Positive",2
"3669","pre paid ","Neutral",2
"3670","hold offered ","Neutral",2
"3671","wait hrs ","Negative",2
"3672","wanted try ","Neutral",2
"3673","anything right ","Positive",2
"3674","need sign ","Neutral",2
"3675","parked rang ","Neutral",2
"3676","phone provider ","Neutral",2
"3677","phone manufacturer ","Neutral",2
"3678","stolen money ","Negative",2
"3679","thinking buying ","Neutral",2
"3680","bt mobile ","Neutral",2
"3681","service representatives ","Neutral",2
"3682","competitive prices ","Positive",2
"3683","person told ","Neutral",2
"3684","one say ","Neutral",2
"3685","member s ","Neutral",2
"3686","shut phone ","Neutral",2
"3687","process order ","Neutral",2
"3688","email rang ","Neutral",2
"3689","year ago ","Neutral",2
"3690","expect run ","Positive",2
"3691","access phone ","Neutral",2
"3692","people talking ","Neutral",2
"3693","written resolution ","Neutral",2
"3694","trying speak ","Neutral",2
"3695","good job ","Positive",2
"3696","contract said ","Neutral",2
"3697","phone providers ","Neutral",2
"3698","contract account ","Neutral",2
"3699","landline phone ","Neutral",2
"3700","getting gb ","Neutral",2
"3701","picture messages ","Neutral",2
"3702","went upgrade ","Neutral",2
"3703","dont think ","Neutral",2
"3704","days point ","Neutral",2
"3705","card contacted ","Neutral",2
"3706","say company ","Neutral",2
"3707","many complaints ","Negative",2
"3708","finally relented ","Positive",2
"3709","parts world ","Neutral",2
"3710","mobile sent ","Neutral",2
"3711","want discuss ","Neutral",2
"3712","tried sim ","Neutral",2
"3713","give xxxx ","Neutral",2
"3714","shocking experience ","Negative",2
"3715","instead g ","Neutral",2
"3716","phone change ","Neutral",2
"3717","sure enough ","Negative",2
"3718","original person ","Neutral",2
"3719","long phone ","Neutral",2
"3720","good people ","Positive",2
"3721","direct number ","Neutral",2
"3722","make difficult ","Negative",2
"3723","many customers ","Neutral",2
"3724","t believe ","Neutral",2
"3725","call via ","Neutral",2
"3726","wish luck ","Positive",2
"3727","reading richard ","Positive",2
"3728","service rep ","Neutral",2
"3729","number back ","Neutral",2
"3730","worse customer ","Negative",2
"3731","phone cracked ","Negative",2
"3732","seven years ","Neutral",2
"3733","company phone ","Neutral",2
"3734","people hardly ","Neutral",2
"3735","move provider ","Neutral",2
"3736","long run ","Neutral",2
"3737","delivered next ","Neutral",2
"3738","back hrs ","Neutral",2
"3739","arrived spain ","Neutral",2
"3740","quid months ","Neutral",2
"3741","""reading reviews ","Positive",2
"3742","last one"", ","Neutral",2
"3743","internet show ","Neutral",2
"3744","years credit ","Positive",2
"3745","even legal"", ","Positive",2
"3746","account th ","Neutral",2
"3747","line rental ","Neutral",2
"3748","charged extra ","Positive",2
"3749","money services ","Positive",2
"3750","call ask ","Neutral",2
"3751","money phone ","Positive",2
"3752","wrong details ","Negative",2
"3753","provider phone ","Neutral",2
"3754","soon mobile ","Neutral",2
"3755","bill reason ","Positive",2
"3756","entered new ","Positive",2
"3757","goes dead ","Negative",2
"3758","person understand ","Neutral",2
"3759","deal seen ","Positive",2
"3760","hours never ","Neutral",2
"3761","kind excuses ","Neutral",2
"3762","lack empathy ","Negative",2
"3763","standard service ","Neutral",2
"3764","speaking supervisor ","Neutral",2
"3765","use different ","Neutral",2
"3766","phone register ","Neutral",2
"3767","back says ","Neutral",2
"3768","told owed ","Neutral",2
"3769","gets even ","Neutral",2
"3770","people getting ","Neutral",2
"3771","much better"", ","Positive",2
"3772","finally lost ","Negative",2
"3773","mobile good ","Positive",2
"3774","far mobile ","Neutral",2
"3775","away never ","Neutral",2
"3776","received back ","Positive",2
"3777","one handset ","Neutral",2
"3778","service gone ","Neutral",2
"3779","long periods ","Neutral",2
"3780","stars far ","Neutral",2
"3781","lots calls ","Neutral",2
"3782","phone broken ","Negative",2
"3783","told bank ","Neutral",2
"3784","computer said ","Neutral",2
"3785","times year ","Neutral",2
"3786","tell unlock ","Neutral",2
"3787","good price ","Positive",2
"3788","additional data ","Positive",2
"3789","manager never ","Neutral",2
"3790","contract next ","Neutral",2
"3791","except one ","Neutral",2
"3792","went shop ","Neutral",2
"3793","still cancel ","Negative",2
"3794","data telephone ","Neutral",2
"3795","take advice ","Neutral",2
"3796","day receive ","Neutral",2
"3797","
""worst experience ","Negative",2
"3798","data allowances ","Neutral",2
"3799","contract data ","Neutral",2
"3800","went another ","Neutral",2
"3801","talking different ","Neutral",2
"3802","taken new ","Positive",2
"3803","card phone ","Neutral",2
"3804","helpline correct ","Positive",2
"3805","unlock phones ","Neutral",2
"3806","live person ","Neutral",2
"3807","temporary block ","Negative",2
"3808","months earlier ","Neutral",2
"3809","£ perk ","Positive",2
"3810","complete lie ","Negative",2
"3811","takes minutes ","Neutral",2
"3812","phone passed ","Neutral",2
"3813","rectify issue ","Positive",2
"3814","working day ","Positive",2
"3815","years good ","Positive",2
"3816","touch mobile ","Neutral",2
"3817","email order ","Neutral",2
"3818","received bills ","Positive",2
"3819","contract problem ","Negative",2
"3820","""today received ","Positive",2
"3821","month even ","Neutral",2
"3822","somebody else ","Neutral",2
"3823","complaint letter ","Negative",2
"3824","reading comments ","Positive",2
"3825","sainsburys mobile ","Neutral",2
"3826","mobile staff ","Neutral",2
"3827","service look ","Neutral",2
"3828","way even ","Neutral",2
"3829","lies lies ","Negative",2
"3830","large towns ","Neutral",2
"3831","mins still ","Neutral",2
"3832","phone verify ","Positive",2
"3833","service give ","Neutral",2
"3834","security time ","Neutral",2
"3835","twenty years ","Neutral",2
"3836","t explain ","Neutral",2
"3837","people days ","Neutral",2
"3838","clearly showing ","Positive",2
"3839","called asked ","Neutral",2
"3840","mums phone ","Neutral",2
"3841","technical issues ","Neutral",2
"3842","cancelled existing ","Negative",2
"3843","great sometimes ","Positive",2
"3844","every way ","Neutral",2
"3845","even use ","Neutral",2
"3846","see end ","Neutral",2
"3847","emailing ceo ","Neutral",2
"3848","left paying ","Neutral",2
"3849","later cancelled ","Negative",2
"3850","house mobile ","Neutral",2
"3851","perfect never ","Positive",2
"3852","however £ ","Neutral",2
"3853","go waited ","Neutral",2
