"","wordcloud_bigram_vi$ngrams","cat_sent_vi","wordcloud_bigram_vi$freq"
"211","received text ","Positive",9
"212","terrible service ","Negative",9
"213","manager call ","Neutral",9
"214","appalling customer ","Negative",9
"215","cancel order ","Negative",9
"216","money account ","Positive",9
"217","wait another ","Negative",9
"218","used data ","Neutral",9
"219","working phone ","Positive",9
"220","following day ","Neutral",9
"221","never use ","Neutral",9
"222","told sim ","Neutral",9
"223","email confirmation ","Neutral",9
"224","customer care ","Positive",9
"225","months later ","Neutral",9
"226","mobile number ","Neutral",9
"227","received bill ","Positive",9
"228","need pay ","Negative",9
"229","said send ","Neutral",9
"230","phone use ","Neutral",9
"231","spent hours ","Negative",8
"232","service received ","Positive",8
"233","foreign call ","Negative",8
"234","phone never ","Neutral",8
"235","mobile service ","Neutral",8
"236","buy new ","Positive",8
"237","ring back ","Neutral",8
"238","got email ","Neutral",8
"239","contract months ","Neutral",8
"240","awful customer ","Negative",8
"241","month later ","Neutral",8
"242","go back ","Neutral",8
"243","another days ","Neutral",8
"244","send phone ","Neutral",8
"245","phone arrive ","Neutral",8
"246","call told ","Neutral",8
"247","t work ","Positive",8
"248","ever dealt ","Neutral",8
"249","money taken ","Positive",8
"250","go sim ","Neutral",8
"251","unlimited texts ","Positive",8
"252","carphone warehouse ","Neutral",8
"253","new mobile ","Positive",8
"254","person spoke ","Neutral",8
"255","wish never ","Positive",8
"256","phone called ","Neutral",8
"257","monthly contract ","Neutral",8
"258","cancellation team ","Neutral",8
"259","passed pillar ","Neutral",8
"260","close account ","Neutral",8
"261","called cancel ","Negative",8
"262","service appalling ","Negative",8
"263","got phone ","Neutral",8
"264","understand english ","Neutral",8
"265","back within ","Neutral",8
"266","data called ","Neutral",8
"267","mobile years ","Neutral",8
"268","mobile sim ","Neutral",8
"269","cancel sim ","Negative",8
"270","care less ","Positive",8
"271","th july ","Neutral",8
"272","rang told ","Neutral",8
"273","non existent ","Neutral",8
"274","th september ","Neutral",8
"275","number years ","Neutral",8
"276","every single ","Neutral",8
"277","phone delivered ","Neutral",8
"278","won t ","Positive",8
"279","one day ","Neutral",8
"280","sent phone ","Neutral",8
"281","even tho ","Neutral",8
"282","told cancel ","Negative",8
"283","away mobile ","Neutral",8
"284","hours hours ","Neutral",8
"285","never received ","Positive",8
"286","another company ","Neutral",8
"287","old number ","Neutral",8
"288","yet another ","Neutral",8
"289","experience mobile ","Neutral",8
"290","contract within ","Neutral",8
"291","service even ","Neutral",8
"292","two years ","Neutral",8
"293","also told ","Neutral",7
"294","two months ","Neutral",7
"295","trying resolve ","Positive",7
"296","never arrived ","Neutral",7
"297","day rolling ","Neutral",7
"298","another minutes ","Neutral",7
"299","told needed ","Neutral",7
"300","put back ","Neutral",7
"301","months now ","Neutral",7
"302","took contract ","Neutral",7
"303","mobile phones ","Neutral",7
"304","phone one ","Neutral",7
"305","final bill ","Neutral",7
"306","cancel mobile ","Negative",7
"307","service told ","Neutral",7
"308","£ mb ","Neutral",7
"309","replacement sim ","Neutral",7
"310","still work ","Positive",7
"311","came back ","Neutral",7
"312","days days ","Neutral",7
"313","times told ","Neutral",7
"314","misfortune deal ","Negative",7
"315","many times ","Neutral",7
"316","avoid avoid ","Negative",7
"317","called ask ","Neutral",7
"318","half hour ","Neutral",7
"319","phone worked ","Positive",7
"320","month sim ","Neutral",7
"321","got cut ","Negative",7
"322","web chat ","Neutral",7
"323","mobile contracts ","Neutral",7
"324","£ account ","Neutral",7
"325","mobile company ","Neutral",7
"326","send back ","Neutral",7
"327","use data ","Neutral",7
"328","rude staff ","Negative",7
"329","service call ","Neutral",7
"330","multiple times ","Neutral",7
"331","put sim ","Neutral",7
"332","calls customer ","Neutral",7
"333","told take ","Neutral",7
"334","back never ","Neutral",7
"335","still working ","Positive",7
