"","wordcloud_bigram_oo$ngrams","cat_sent_oo","wordcloud_bigram_oo$freq"
"12797","also emailed ","Neutral",1
"12798","week anytime ","Neutral",1
"12799","happens today ","Neutral",1
"12800","""recently issue ","Neutral",1
"12801","bad bunch"", ","Negative",1
"12802","including guru ","Positive",1
"12803","took skipton ","Neutral",1
"12804","issue regarding ","Neutral",1
"12805","talking confidence ","Positive",1
"12806","staff"", 
""o ","Neutral",1
"12807","assured month ","Positive",1
"12808","longer wish ","Positive",1
"12809","add cant ","Neutral",1
"12810","company course"", ","Neutral",1
"12811","resolved told ","Positive",1
"12812","wrap contract ","Neutral",1
"12813","keynes st ","Neutral",1
"12814","concerns finding ","Negative",1
"12815","company lacks ","Negative",1
"12816","loosely sucked"", ","Negative",1
"12817","relieved find ","Positive",1
"12818","notices account ","Neutral",1
"12819","plus girlfriend ","Neutral",1
"12820","agency cares ","Positive",1
"12821","cut two ","Negative",1
"12822","worked properly ","Positive",1
"12823","properly yet ","Positive",1
"12824","lets scam ","Negative",1
"12825","scripted try ","Neutral",1
"12826","lady referred ","Neutral",1
"12827","block mt ","Negative",1
"12828","home country ","Neutral",1
"12829","attention today ","Positive",1
"12830","companies said ","Neutral",1
"12831","told team ","Neutral",1
"12832","credit"", ""really ","Positive",1
"12833","said proof ","Neutral",1
"12834","mainly used ","Neutral",1
"12835","manufacturer directly ","Neutral",1
"12836","unicef sorted ","Neutral",1
"12837","latest yet ","Neutral",1
"12838","now invalid ","Negative",1
"12839","customer end ","Neutral",1
"12840","month done ","Neutral",1
"12841","internet available ","Positive",1
"12842","store x ","Neutral",1
"12843","old rude ","Negative",1
"12844","cracked saturday ","Negative",1
"12845","dark spots ","Negative",1
"12846","fault continue ","Negative",1
"12847","credit refunded ","Positive",1
"12848","asked case ","Neutral",1
"12849","therefore guarantee ","Positive",1
"12850","job got ","Neutral",1
"12851","integrity takes ","Positive",1
"12852","delight however ","Positive",1
"12853","reliable network ","Positive",1
"12854","leased iphone ","Neutral",1
"12855","got monthly ","Neutral",1
"12856","shop visited ","Neutral",1
"12857","others still ","Neutral",1
"12858","ridiculous way ","Negative",1
"12859","claims late ","Negative",1
"12860","despite delivered ","Neutral",1
"12861","team job ","Neutral",1
"12862","call tel ","Neutral",1
"12863","given opportunity ","Positive",1
"12864","""useless wanted ","Negative",1
"12865","joke"", ""spoken ","Positive",1
"12866","anyone pac ","Neutral",1
"12867","maybe thought ","Neutral",1
"12868","wifi turn ","Neutral",1
"12869","""dont go ","Neutral",1
"12870","information europe ","Positive",1
"12871","received lot ","Positive",1
"12872","services terrible ","Negative",1
"12873","hrsoh ok ","Neutral",1
"12874","offered number ","Neutral",1
"12875","know interest ","Positive",1
"12876","saying bro ","Neutral",1
"12877","secondhand blackberry ","Negative",1
"12878","great whilst ","Positive",1
"12879","emergency contact ","Negative",1
"12880","rest slow ","Negative",1
"12881","tomorrow customer ","Neutral",1
"12882","said seem ","Neutral",1
"12883","saying parcel ","Neutral",1
"12884","surely put ","Neutral",1
"12885","actual words ","Positive",1
"12886","worry payments ","Negative",1
"12887","improve barely ","Positive",1
"12888","shop empty ","Negative",1
"12889","sent clare ","Neutral",1
"12890","oac bill ","Neutral",1
"12891","changing without ","Neutral",1
"12892","take card ","Neutral",1
"12893","jeperadising securuty ","Neutral",1
"12894","great believer ","Positive",1
"12895","discount work ","Positive",1
"12896","action shop ","Positive",1
"12897","""spoke matthew ","Neutral",1
"12898","services found ","Positive",1
"12899","october pounds ","Neutral",1
"12900","phone top ","Neutral",1
"12901","years seeing ","Neutral",1
"12902","suffered possibly ","Negative",1
"12903","informed mistake ","Negative",1
"12904","money commonly ","Positive",1
"12905","investing minutes ","Neutral",1
"12906","way never ","Neutral",1
"12907","regis o ","Neutral",1
"12908","blamed speaking ","Negative",1
"12909","data witch ","Negative",1
"12910","b able ","Neutral",1
"12911","years like ","Positive",1
"12912","hard working ","Neutral",1
"12913","movie steaming ","Neutral",1
"12914","remember stelios ","Neutral",1
"12915","experienced extortion ","Negative",1
"12916","making impossible ","Negative",1
"12917","complete inconvenience ","Negative",1
"12918","first advisers ","Neutral",1
"12919","contract rigth ","Neutral",1
"12920","account remained ","Neutral",1
"12921","urgency needed ","Neutral",1
"12922","later suddenly ","Neutral",1
"12923","functioning told ","Neutral",1
"12924","worse stress ","Negative",1
"12925","sorted receive ","Neutral",1
"12926","instead beach ","Neutral",1
"12927","team ground ","Neutral",1
"12928","german standards ","Neutral",1
"12929","respect lining ","Positive",1
"12930","refund existing ","Positive",1
"12931","servicebought £ ","Neutral",1
"12932","
""id bank ","Neutral",1
"12933","cheap pay ","Negative",1
"12934","right advice ","Positive",1
"12935","dont fault ","Negative",1
"12936","used people ","Neutral",1
"12937","cheaper telcos ","Neutral",1
"12938","call tuesday ","Neutral",1
"12939","
""o insure ","Positive",1
"12940","theft day ","Negative",1
"12941","since thankful ","Positive",1
"12942","letter assumed ","Neutral",1
"12943","£ threat ","Negative",1
"12944","aerial kindly ","Positive",1
"12945","f o ","Neutral",1
"12946","expensive buying ","Negative",1
"12947","
""unbelievably bad ","Negative",1
"12948","couldnt send ","Neutral",1
"12949","holds o ","Neutral",1
"12950","three cancel ","Negative",1
"12951","gs nothing ","Neutral",1
"12952","professional helpful ","Positive",1
"12953","calling rate ","Neutral",1
"12954","query dealt ","Neutral",1
"12955","see agent ","Neutral",1
"12956","shambles"", 
""tell ","Negative",1
"12957","thereof wait ","Negative",1
"12958","communication lost ","Negative",1
"12959","delivery m ","Positive",1
"12960","tmobile placed ","Neutral",1
"12961","fair know ","Positive",1
"12962","start ive ","Neutral",1
"12963","providers"", ""unlimited ","Positive",1
"12964","moon lazy ","Negative",1
"12965","recognition transferred ","Neutral",1
"12966","said contacts ","Neutral",1
"12967","paid unlock ","Neutral",1
"12968","read notes ","Neutral",1
"12969","reviews stayed ","Neutral",1
"12970","withdraw recycle ","Negative",1
"12971","rude showed ","Negative",1
"12972","promised chat ","Positive",1
"12973","quesitons told ","Neutral",1
"12974","customer less ","Neutral",1
"12975","o endeavour ","Neutral",1
"12976","years datawise ","Neutral",1
"12977","human reason ","Positive",1
"12978","least good ","Positive",1
"12979","termination procedure ","Negative",1
"12980","considering bacs ","Neutral",1
"12981","terms told ","Neutral",1
"12982","stars obviously ","Neutral",1
"12983","useless went ","Negative",1
"12984","ever expensive ","Negative",1
"12985","change address ","Neutral",1
"12986","realise couple ","Neutral",1
"12987","payment onto ","Negative",1
"12988","ha joke ","Positive",1
"12989","figure stay ","Neutral",1
"12990","compared service ","Neutral",1
"12991","sunday called ","Neutral",1
"12992","thanks alot ","Positive",1
"12993","staff lie ","Negative",1
"12994","log check ","Neutral",1
"12995","mobiledata lines ","Neutral",1
"12996","self back ","Neutral",1
"12997","seconds call ","Neutral",1
"12998","anyone accept ","Positive",1
"12999","paying first ","Neutral",1
"13000","""horrible service ","Negative",1
"13001","gave token ","Neutral",1
"13002","incompetent claiming ","Negative",1
"13003","managers ring ","Neutral",1
"13004","concrete terms ","Neutral",1
"13005","trying unlock ","Neutral",1
"13006","sucks india ","Negative",1
"13007","
""sim card ","Neutral",1
"13008","problem forget ","Negative",1
"13009","ask email ","Neutral",1
"13010","basically cheats ","Negative",1
"13011","case cancelled ","Negative",1
"13012","repair shops ","Neutral",1
"13013","weybridge coverage ","Neutral",1
"13014","sure meant ","Neutral",1
"13015","charging still ","Neutral",1
"13016","increased amount ","Positive",1
"13017","stuff use ","Neutral",1
"13018","ive connected ","Neutral",1
"13019","bill payed ","Neutral",1
"13020","later realized ","Neutral",1
"13021","really top ","Neutral",1
"13022","sim recieved ","Neutral",1
"13023","story convinced ","Positive",1
"13024","service overall ","Neutral",1
"13025","quality degrades ","Negative",1
"13026","delivery organisation"", ","Positive",1
"13027","entire fiasco ","Negative",1
"13028","coverage speed ","Neutral",1
"13029","even agreed ","Positive",1
"13030","lied transferred ","Negative",1
"13031","problems now ","Negative",1
"13032","else began ","Neutral",1
"13033","cares clearly ","Positive",1
"13034","finally also ","Positive",1
"13035","change"", ""poor ","Negative",1
"13036","broken store ","Negative",1
"13037","know thay ","Neutral",1
"13038","
""paid samsung ","Neutral",1
"13039","contact regards ","Positive",1
"13040","say limit ","Negative",1
"13041","asked wife ","Neutral",1
"13042","massive crack"", ","Negative",1
"13043","debit served ","Neutral",1
"13044","number taken ","Neutral",1
"13045","agents promising ","Positive",1
"13046","delivery reattempted ","Positive",1
"13047","coverage back ","Neutral",1
"13048","strange good ","Positive",1
"13049","cheap temporary ","Negative",1
"13050","dropped points ","Neutral",1
"13051","wanted come ","Neutral",1
"13052","lost store ","Negative",1
"13053","anything wait ","Negative",1
"13054","advisor man ","Neutral",1
"13055","even price ","Neutral",1
"13056","add day ","Neutral",1
"13057","proof livechat ","Neutral",1
"13058","seems communicate ","Positive",1
"13059","service recently ","Neutral",1
"13060","credit free ","Positive",1
"13061","asked allowance ","Neutral",1
"13062","several devices ","Neutral",1
"13063","accommodating friendly ","Positive",1
"13064","promos call ","Neutral",1
"13065","days agent ","Neutral",1
"13066","use"", 
""awful ","Negative",1
"13067","o check ","Neutral",1
"13068","company become ","Neutral",1
"13069","friendly live ","Positive",1
"13070","sort like ","Positive",1
"13071","rubbish now ","Negative",1
"13072","cant anyonewasteing ","Neutral",1
"13073","contract circumstances ","Neutral",1
"13074","creates form ","Neutral",1
"13075","imagine non ","Neutral",1
"13076","contacted someone ","Neutral",1
"13077","try previous ","Neutral",1
"13078","mad funny ","Positive",1
"13079","""years offered ","Neutral",1
"13080","tried return ","Neutral",1
"13081","
""good afternoon ","Positive",1
"13082","separate sir ","Positive",1
"13083","charge still ","Neutral",1
"13084","silver ordered ","Neutral",1
"13085","phone original ","Neutral",1
"13086","copies chat ","Neutral",1
"13087","stressful costly ","Negative",1
"13088","end soon ","Neutral",1
"13089","file referrals ","Neutral",1
"13090","stated blaming ","Negative",1
"13091","push new ","Positive",1
"13092","strangeanyways days ","Neutral",1
"13093","worst consumer ","Negative",1
"13094","dead one ","Negative",1
"13095","provider anytime ","Neutral",1
"13096","customers fault ","Negative",1
"13097","dealing emails ","Neutral",1
"13098","love"", ""ripped"", ","Positive",1
"13099","reasonable now ","Positive",1
"13100","say kept ","Neutral",1
"13101","unhappy coverage ","Negative",1
"13102","days subs ","Neutral",1
"13103","o anybody ","Neutral",1
"13104","know quality ","Neutral",1
"13105","natalie finally ","Positive",1
"13106","paying unable ","Negative",1
"13107","""switched corporate ","Neutral",1
"13108","experiance"", ""called ","Neutral",1
"13109","since agreed ","Positive",1
"13110","policies much ","Neutral",1
"13111","monthly discount ","Neutral",1
"13112","shocking"", ""live ","Negative",1
"13113","part say ","Neutral",1
"13114","yesterdays check ","Neutral",1
"13115","caused called ","Neutral",1
"13116","ryan absolute ","Negative",1
"13117","hard come ","Negative",1
"13118","apps speaking ","Neutral",1
"13119","post written ","Neutral",1
"13120","passport bank ","Neutral",1
"13121","charging arm ","Neutral",1
"13122","contract current ","Neutral",1
"13123","nothing reply ","Neutral",1
"13124","servicehowever midcontract ","Neutral",1
"13125","existent outside ","Neutral",1
"13126","answers warning ","Negative",1
"13127","ask someone ","Neutral",1
"13128","like sony ","Positive",1
"13129","questions hard ","Negative",1
"13130","failed therefore ","Negative",1
"13131","unlocked end ","Neutral",1
"13132","code went ","Neutral",1
"13133","little option ","Positive",1
"13134","yesterday months ","Neutral",1
"13135","sky basically ","Neutral",1
"13136","changing tariff ","Negative",1
"13137","lost post ","Negative",1
"13138","network call ","Neutral",1
"13139","gone floor ","Neutral",1
"13140","support noticed ","Positive",1
"13141","letter actually ","Neutral",1
"13142","
""really bad ","Negative",1
"13143","responsibility whatsoever ","Neutral",1
"13144","us go ","Neutral",1
"13145","damage cars ","Negative",1
"13146","using mobile ","Neutral",1
"13147","quite another ","Neutral",1
"13148","customer shocking ","Negative",1
"13149","accessing voicemail ","Neutral",1
"13150","occasion issue ","Neutral",1
"13151","ease cancelling ","Negative",1
"13152","""contract mobile ","Neutral",1
"13153","parents grandma ","Neutral",1
"13154","monday imagine ","Neutral",1
"13155","indeed now ","Neutral",1
"13156","contractso seem ","Neutral",1
"13157","bill disguisting ","Neutral",1
"13158","pound actually ","Neutral",1
"13159","account samsung ","Neutral",1
"13160","feeling rang ","Positive",1
"13161","issues paying ","Neutral",1
"13162","uninsured bothered ","Negative",1
"13163","trust however ","Positive",1
"13164","effort retain ","Neutral",1
"13165","
""want talk ","Positive",1
"13166","uncaring cant ","Negative",1
"13167","alone staff ","Negative",1
"13168","favour ditch ","Neutral",1
"13169","equipment connecting ","Neutral",1
"13170","world"", 
""o ","Neutral",1
"13171","ridiculous remarks ","Negative",1
"13172","lot desired ","Positive",1
"13173","wowed like ","Positive",1
"13174","check status ","Neutral",1
"13175","customers already ","Neutral",1
"13176","thats strict ","Negative",1
"13177","reseller worked ","Positive",1
"13178","chats always ","Neutral",1
"13179","pursuing take ","Neutral",1
"13180","especially call ","Neutral",1
"13181","occasionally contacts ","Neutral",1
"13182","wifi incredibly ","Positive",1
"13183","service sammy ","Neutral",1
"13184","indeed store ","Neutral",1
"13185","fact id ","Neutral",1
"13186","card ended ","Neutral",1
"13187","recommended apps ","Positive",1
"13188","abusive towards ","Negative",1
"13189","data thought ","Neutral",1
"13190","said lets ","Neutral",1
"13191","need waste ","Negative",1
"13192","days holiday ","Positive",1
"13193","choice music ","Positive",1
"13194","repaired guess ","Neutral",1
"13195","today taken ","Neutral",1
"13196","expensive tarrifs"", ","Negative",1
"13197","people past ","Neutral",1
"13198","scrap stars ","Negative",1
"13199","rap ported ","Neutral",1
"13200","""o served ","Neutral",1
"13201","system recognise ","Neutral",1
"13202","also let ","Neutral",1
"13203","towards fee ","Negative",1
"13204","entering contract ","Neutral",1
"13205","tether"", 
""useless ","Negative",1
"13206","blackspot phone ","Neutral",1
"13207","numbers twice ","Neutral",1
"13208","apparent since ","Neutral",1
"13209","roughly took ","Neutral",1
"13210","days returns ","Neutral",1
"13211","signal wrong ","Negative",1
"13212","o intu ","Neutral",1
"13213","
""taken another ","Neutral",1
"13214","majority year ","Positive",1
"13215","s made ","Neutral",1
"13216","arrange options ","Neutral",1
"13217","really dissapointed ","Neutral",1
"13218","minutes email ","Neutral",1
"13219","apology redoes ","Positive",1
"13220","new job ","Positive",1
"13221","like imbeciles ","Positive",1
"13222","arrogant downright ","Negative",1
"13223","agents either ","Neutral",1
"13224","put fraud ","Negative",1
"13225","market service ","Neutral",1
"13226","courier keeping ","Neutral",1
"13227","use computer ","Neutral",1
"13228","managed talking ","Neutral",1
"13229","see reasoning ","Neutral",1
"13230","eventually cut ","Negative",1
"13231","got chance ","Positive",1
"13232","starting contract ","Neutral",1
"13233","manager happy ","Positive",1
"13234","text exceed ","Positive",1
"13235","provided proof ","Neutral",1
"13236","stopped playing ","Negative",1
"13237","storenew employees ","Neutral",1
"13238","called free ","Positive",1
"13239","net seem ","Neutral",1
"13240","ever moreover ","Neutral",1
"13241","online phoned ","Neutral",1
"13242","said payments ","Neutral",1
"13243","away south ","Neutral",1
"13244","monday still ","Neutral",1
"13245","staff enough ","Negative",1
"13246","call september ","Neutral",1
"13247","matters seconds ","Neutral",1
"13248","attention instead ","Positive",1
"13249","wait even ","Negative",1
"13250","bill cant ","Neutral",1
"13251","useful days ","Positive",1
"13252","wrong admit ","Negative",1
"13253","explain promise ","Positive",1
"13254","shits customers ","Neutral",1
"13255","o sayput ","Neutral",1
"13256","elsewhere customer ","Neutral",1
"13257","know charge ","Neutral",1
"13258","back usually ","Neutral",1
"13259","contract runs"", ","Neutral",1
"13260","contract calls ","Neutral",1
"13261","bottle cheap ","Negative",1
"13262","mobile uk ","Neutral",1
"13263","refused account ","Negative",1
"13264","date online ","Neutral",1
"13265","assistants often ","Neutral",1
"13266","finally o ","Positive",1
"13267","selling countless ","Neutral",1
"13268","repairs contacted ","Neutral",1
"13269","issues one ","Neutral",1
"13270","taken quibble ","Negative",1
"13271","feedback online ","Neutral",1
"13272","regard contract ","Neutral",1
"13273","general calls ","Positive",1
"13274","senior technicians ","Neutral",1
"13275","issues automatically ","Neutral",1
"13276","email alerts ","Neutral",1
"13277","idiots told ","Negative",1
"13278","week never ","Neutral",1
"13279","lost way ","Negative",1
"13280","card wanted ","Neutral",1
"13281","clueless really ","Negative",1
"13282","via contact ","Positive",1
"13283","consider buying ","Neutral",1
"13284","website let ","Neutral",1
"13285","staff hounslow ","Neutral",1
"13286","sure mail ","Neutral",1
"13287","offered deal ","Positive",1
"13288","found screen ","Positive",1
"13289","running connected ","Neutral",1
"13290","ex o ","Neutral",1
"13291","atrocious customer ","Negative",1
"13292","never help ","Neutral",1
"13293","poor boy ","Negative",1
"13294","phone conflifting ","Neutral",1
"13295","hiding thing ","Neutral",1
"13296","really looking ","Neutral",1
"13297","keep took ","Neutral",1
"13298","custom else ","Neutral",1
"13299","sent device ","Neutral",1
"13300","corporate bulling ","Neutral",1
"13301","occasions last ","Neutral",1
"13302","hires humans ","Neutral",1
"13303","decided bar ","Neutral",1
"13304","going incredibly ","Positive",1
"13305","issue since ","Neutral",1
"13306","home delivery ","Positive",1
"13307","locked less ","Neutral",1
"13308","newer companies ","Neutral",1
"13309","aware minutes ","Neutral",1
"13310","eh mmm ","Neutral",1
"13311","took ages ","Neutral",1
"13312","offered online ","Neutral",1
"13313","however contact ","Positive",1
"13314","bring o ","Neutral",1
"13315","person however ","Neutral",1
"13316","extreme patience ","Positive",1
"13317","months ran ","Neutral",1
"13318","delivered chosen ","Positive",1
"13319","""always connected ","Neutral",1
"13320","pathetic shore ","Negative",1
"13321","use constantly ","Neutral",1
"13322","never store ","Neutral",1
"13323","mistakes said ","Negative",1
"13324","removed found ","Positive",1
"13325","card tenants ","Neutral",1
"13326","offer lucky ","Positive",1
"13327","top aint ","Neutral",1
"13328","point lose ","Negative",1
"13329","start calling ","Neutral",1
"13330","went also ","Neutral",1
"13331","answer never ","Neutral",1
"13332","knowledge almost ","Positive",1
"13333","""using years ","Neutral",1
"13334","given horrendous ","Negative",1
"13335","sensible amount ","Positive",1
"13336","pay fufuua ","Negative",1
"13337","wrong"", 
""o ","Negative",1
"13338","completely fault ","Negative",1
"13339","determined never ","Positive",1
"13340","problem data ","Negative",1
"13341","codes dont ","Neutral",1
"13342","lived london ","Neutral",1
"13343","promises o"", ","Positive",1
"13344","however good ","Positive",1
"13345","lot complaints ","Negative",1
"13346","write text ","Neutral",1
"13347","signal now"", ","Neutral",1
"13348","still texts ","Neutral",1
"13349","worse contract ","Negative",1
"13350","conversation also ","Neutral",1
"13351","promises callbacks ","Positive",1
"13352","karma evil ","Negative",1
"13353","avoid best ","Neutral",1
"13354","topped o ","Neutral",1
"13355","kind offer ","Positive",1
"13356","anything wife ","Neutral",1
"13357","subscribing even ","Neutral",1
"13358","soon manojbmanojb ","Neutral",1
"13359","customers bank ","Neutral",1
"13360","change sky ","Neutral",1
"13361","listened unbelievably ","Negative",1
"13362","effect paid ","Neutral",1
"13363","less hopeful ","Positive",1
"13364","welcome haris ","Positive",1
"13365","belief"", ""customer ","Neutral",1
"13366","conversation phones ","Neutral",1
"13367","stars possibly ","Neutral",1
"13368","back wait ","Negative",1
"13369","complaint case ","Negative",1
"13370","go"", ""give ","Neutral",1
"13371","soon avoid ","Negative",1
"13372","husband submitted ","Neutral",1
"13373","called want ","Neutral",1
"13374","team absolutely ","Neutral",1
"13375","week suffolk ","Neutral",1
"13376","friends work ","Positive",1
"13377","managed make ","Neutral",1
"13378","offered £month ","Neutral",1
"13379","lives police ","Negative",1
"13380","well extra ","Positive",1
"13381","anybody found ","Positive",1
"13382","
""simple issue ","Neutral",1
"13383","etc decided ","Neutral",1
"13384","networks number ","Neutral",1
"13385","carrier stuffed ","Neutral",1
"13386","case phoned ","Neutral",1
"13387","still expensive ","Negative",1
"13388","costumers details ","Neutral",1
"13389","initially refused ","Negative",1
"13390","youtube even ","Neutral",1
"13391","yet tomorrow ","Neutral",1
"13392","thousands various ","Neutral",1
"13393","
""never use"", ","Neutral",1
"13394","biweekly complained ","Negative",1
"13395","service isnt ","Neutral",1
"13396","figure getting ","Neutral",1
"13397","along bb ","Neutral",1
"13398","contact ombudsmen ","Positive",1
"13399","ago boy ","Positive",1
"13400","thieves like ","Negative",1
"13401","comes backnever ","Neutral",1
"13402","accumulative snowball ","Neutral",1
"13403","eventually finalised ","Neutral",1
"13404","week huge ","Neutral",1
"13405","actually paying ","Neutral",1
"13406","worry go ","Negative",1
"13407","deals comparison ","Neutral",1
"13408","networks continually ","Neutral",1
"13409","busy call ","Neutral",1
"13410","pay feel ","Negative",1
"13411","definitely better ","Positive",1
"13412","always morning ","Neutral",1
"13413","put multiple ","Neutral",1
"13414","else pick ","Neutral",1
"13415","texts abroad ","Neutral",1
"13416","total nearly ","Neutral",1
"13417","uphold avoid"", ","Positive",1
"13418","need regulatory ","Negative",1
"13419","discovered actually ","Neutral",1
"13420","let anyone ","Neutral",1
"13421","around se ","Neutral",1
"13422","best find ","Positive",1
"13423","later now ","Neutral",1
"13424","informed still ","Neutral",1
"13425","money shaft ","Positive",1
"13426","touch complaints ","Negative",1
"13427","fine paid ","Positive",1
"13428","payments authorised ","Neutral",1
"13429","yada yada ","Neutral",1
"13430","telstra bt ","Neutral",1
"13431","costumer advisor ","Neutral",1
"13432","month sometimes ","Neutral",1
"13433","record interaction ","Neutral",1
"13434","outstanding arrears ","Negative",1
"13435","year going ","Neutral",1
"13436","regularly aggressively ","Negative",1
"13437","badly o ","Negative",1
"13438","called chase ","Neutral",1
"13439","obtained cc ","Positive",1
"13440","holiday constantly ","Positive",1
"13441","bundle proved ","Neutral",1
"13442","upgrade mobile ","Neutral",1
"13443","owed us ","Neutral",1
"13444","cancelled subscription ","Negative",1
"13445","payments still ","Neutral",1
"13446","thinking protected ","Positive",1
"13447","however literally ","Neutral",1
"13448","mark comes ","Neutral",1
"13449","repairs refuse ","Negative",1
"13450","galaxy used ","Neutral",1
"13451","found started ","Positive",1
"13452","called company ","Neutral",1
"13453","send pic ","Neutral",1
"13454","readers"", 
""hate ","Negative",1
"13455","problem call ","Negative",1
"13456","earnedee well ","Positive",1
"13457","instead upgrade ","Neutral",1
"13458","revived minutes ","Neutral",1
"13459","charge twice ","Neutral",1
"13460","outcome oac ","Negative",1
"13461","arrogant csa ","Negative",1
"13462","put different ","Neutral",1
"13463","received sarah ","Positive",1
"13464","coming rubbish ","Negative",1
"13465","find terms ","Neutral",1
"13466","unable distribute ","Negative",1
"13467","network checker ","Neutral",1
"13468","fire phone ","Negative",1
"13469","hoops updating ","Neutral",1
"13470","one forget ","Negative",1
"13471","answer yes ","Positive",1
"13472","witch totally ","Negative",1
"13473","downside data ","Negative",1
"13474","overcharged anything ","Neutral",1
"13475","loyalty poor ","Positive",1
"13476","makes reluctant ","Negative",1
"13477","issue straight ","Positive",1
"13478","december simply ","Neutral",1
"13479","since work ","Positive",1
"13480","item chance ","Positive",1
"13481","checks etc ","Neutral",1
"13482","supposed communications ","Neutral",1
"13483","really slow ","Negative",1
"13484","known unreliable ","Negative",1
"13485","beginning realise ","Neutral",1
"13486","holiday call ","Positive",1
"13487","times given ","Neutral",1
"13488","going online ","Neutral",1
"13489","service communications ","Neutral",1
"13490","recent performance ","Positive",1
"13491","o rate ","Neutral",1
"13492","internet towns ","Neutral",1
"13493","many providers ","Neutral",1
"13494","lays bed ","Neutral",1
"13495","dont use ","Neutral",1
"13496","chase told ","Neutral",1
"13497","contract thwy ","Neutral",1
"13498","guaranteed speed ","Neutral",1
"13499","took bill ","Neutral",1
"13500","reviews im ","Neutral",1
"13501","rubbish"", ""o ","Negative",1
"13502","clearly said ","Positive",1
"13503","called settings ","Neutral",1
"13504","lease listened ","Neutral",1
"13505","member discount ","Neutral",1
"13506","contract false ","Negative",1
"13507","network disabled ","Negative",1
"13508","replacements one ","Neutral",1
"13509","cover phones ","Neutral",1
"13510","
""horrendous experience ","Negative",1
"13511","available told ","Positive",1
"13512","offered derisory ","Neutral",1
"13513","mind long ","Neutral",1
"13514","
""go put ","Neutral",1
"13515","ring yet ","Neutral",1
"13516","broken already ","Negative",1
"13517","useless registering ","Negative",1
"13518","bother checking"", ","Negative",1
"13519","away instructed ","Neutral",1
"13520","hate hate"", ","Negative",1
"13521","now new ","Positive",1
"13522","requests iphone ","Neutral",1
"13523","another m ","Neutral",1
"13524","etc call ","Neutral",1
"13525","negative effect ","Negative",1
"13526","new sony ","Positive",1
"13527","makes extremely ","Neutral",1
"13528","impossible leave ","Negative",1
"13529","customers instead ","Neutral",1
"13530","accounts department ","Neutral",1
"13531","account mess ","Negative",1
"13532","suffering mistake ","Negative",1
"13533","comes upgrade ","Neutral",1
"13534","back rep ","Neutral",1
"13535","ended speaking ","Neutral",1
"13536","data vouce ","Neutral",1
"13537","kids provide ","Positive",1
"13538","business £ ","Neutral",1
"13539","hope emailed ","Positive",1
"13540","debit first ","Neutral",1
"13541","ease speed ","Positive",1
"13542","telling nothing ","Neutral",1
"13543","hangs save ","Positive",1
"13544","see match ","Neutral",1
"13545","faced problem ","Negative",1
"13546","o woman ","Neutral",1
"13547","care support ","Positive",1
"13548","months"", 
""charged ","Neutral",1
"13549","fantastic servicerecently ","Positive",1
"13550","simcard another ","Neutral",1
"13551","pounds buffer ","Neutral",1
"13552","said anything ","Neutral",1
"13553","stock got ","Neutral",1
"13554","goes text ","Neutral",1
"13555","departmentefficiency"", ""expert ","Positive",1
"13556","hours rather ","Neutral",1
"13557","instead said ","Neutral",1
"13558","polite literally ","Positive",1
"13559","gave hard ","Negative",1
"13560","£ adding ","Neutral",1
"13561","due geographical ","Neutral",1
"13562","dropped letterbox ","Neutral",1
"13563","notoriously badly ","Negative",1
"13564","told top ","Neutral",1
"13565","experience need ","Neutral",1
"13566","""manager o ","Neutral",1
"13567","nothing least ","Neutral",1
"13568","windowwelcome o ","Neutral",1
"13569","good cant ","Positive",1
"13570","marcappallingsteer well ","Positive",1
"13571","advising owe ","Neutral",1
"13572","questions ask ","Neutral",1
"13573","call shame ","Negative",1
"13574","data available ","Positive",1
"13575","correct allowed ","Positive",1
"13576","got msgs ","Neutral",1
"13577","never problems"", ","Negative",1
"13578","contracts entire ","Neutral",1
"13579","""wanting cut ","Negative",1
"13580","number migrated ","Neutral",1
"13581","send final ","Neutral",1
"13582","someone authority ","Positive",1
"13583","back help"", ","Neutral",1
"13584","solution time ","Positive",1
"13585","know second ","Neutral",1
"13586","transferred fifth ","Neutral",1
"13587","account approved ","Positive",1
"13588","soon phone ","Neutral",1
"13589","waiting queue ","Neutral",1
"13590","offer two ","Positive",1
"13591","wherever worked ","Positive",1
"13592","now served ","Neutral",1
"13593","bill unknown ","Negative",1
"13594","system used ","Neutral",1
"13595","roaming work ","Positive",1
"13596","ever people ","Neutral",1
"13597","service previous ","Neutral",1
"13598","years onetwork ","Neutral",1
"13599","untoward recompense ","Negative",1
"13600","awful support ","Negative",1
"13601","like lady ","Positive",1
"13602","people matter ","Neutral",1
"13603","communication take ","Neutral",1
"13604","deal feel ","Positive",1
"13605","starting look ","Neutral",1
"13606","ordered evening ","Neutral",1
"13607","auto reply ","Neutral",1
"13608","phone complaint ","Negative",1
"13609","itselfs employees ","Neutral",1
"13610","hidden surprises ","Negative",1
"13611","give reduction ","Neutral",1
"13612","king sir ","Positive",1
"13613","mobile operator"", ","Neutral",1
"13614","staying clear ","Positive",1
"13615","see reward ","Positive",1
"13616","line dear ","Positive",1
"13617","time tried ","Neutral",1
"13618","withholding customers ","Neutral",1
"13619","long called ","Neutral",1
"13620","think recent ","Neutral",1
"13621","important things ","Positive",1
"13622","need rectify ","Positive",1
"13623","instead getting ","Neutral",1
"13624","right asked ","Positive",1
"13625","aloud send ","Neutral",1
