"","wordcloud_bigram_oo$ngrams","cat_sent_oo","wordcloud_bigram_oo$freq"
"212","using o ","Neutral",17
"213","wait days ","Negative",17
"214","phone even ","Neutral",17
"215","worst company ","Negative",16
"216","months contract ","Neutral",16
"217","phone asked ","Neutral",16
"218","one month ","Neutral",16
"219","month later ","Neutral",16
"220","contract cancelled ","Negative",16
"221","make calls ","Neutral",16
"222","airtime plan ","Neutral",16
"223","never problem ","Negative",16
"224","return phone ","Neutral",16
"225","week later ","Neutral",16
"226","cancelling contract ","Negative",16
"227","network provider ","Neutral",16
"228","back never ","Neutral",16
"229","away o ","Neutral",16
"230","last month ","Neutral",16
"231","received text ","Positive",16
"232","debit card ","Neutral",16
"233","first place ","Neutral",16
"234","o o ","Neutral",16
"235","contract ended ","Neutral",16
"236","cancel order ","Negative",16
"237","wait another ","Negative",16
"238","o staff ","Neutral",16
"239","like o ","Positive",16
"240","contract due ","Neutral",16
"241","wait contract ","Negative",16
"242","let know ","Neutral",16
"243","never received ","Positive",16
"244","used phone ","Neutral",16
"245","take days ","Neutral",16
"246","terms conditions ","Neutral",16
"247","told go ","Neutral",16
"248","phone now ","Neutral",16
"249","month £ ","Neutral",16
"250","extra £ ","Positive",16
"251","complaints team ","Negative",15
"252","speak customer ","Neutral",15
"253","pay phone ","Negative",15
"254","phone one ","Neutral",15
"255","contract months ","Neutral",15
"256","o now ","Neutral",15
"257","store told ","Neutral",15
"258","took money ","Positive",15
"259","next month ","Neutral",15
"260","wouldn t ","Neutral",15
"261","good customer ","Positive",15
"262","feel like ","Positive",15
"263","year old ","Neutral",15
"264","hours later ","Neutral",15
"265","o refresh ","Positive",15
"266","debt collection ","Negative",15
"267","every day ","Neutral",15
"268","paid bill ","Neutral",15
"269","go elsewhere ","Neutral",15
"270","phone got ","Neutral",15
"271","following day ","Neutral",15
"272","bill due ","Neutral",15
"273","sent back ","Neutral",15
"274","called back ","Neutral",15
"275","phoned o ","Neutral",15
"276","south africa ","Neutral",15
"277","contract ends ","Neutral",15
"278","got new ","Positive",15
"279","service said ","Neutral",15
"280","
""o customer ","Neutral",14
"281","galaxy s ","Neutral",14
"282","two days ","Neutral",14
"283","ring back ","Neutral",14
"284","took £ ","Neutral",14
"285","month phone ","Neutral",14
"286","ever experienced ","Positive",14
"287","half hour ","Neutral",14
"288","£ credit ","Positive",14
"289","third party ","Neutral",14
"290","still pay ","Negative",14
"291","make payment ","Negative",14
"292","£ account ","Neutral",14
"293","good deal ","Positive",14
"294","stopped working ","Negative",14
"295","contract £ ","Neutral",14
"296","one star ","Positive",14
"297","couldn t ","Neutral",14
"298","nothing done ","Neutral",14
"299","transfer number ","Neutral",14
"300","one thing ","Neutral",14
"301","contract even ","Neutral",14
"302","upfront cost ","Neutral",14
"303","email saying ","Neutral",14
"304","service agent ","Neutral",14
"305","got phone ","Neutral",14
"306","great deal ","Positive",14
"307","bad experience ","Negative",14
"308","never go ","Neutral",14
"309","phone delivered ","Neutral",14
"310","device plan ","Neutral",14
"311","sent text ","Neutral",14
"312","service never ","Neutral",14
"313","told call ","Neutral",14
"314","used o ","Neutral",14
"315","despite fact ","Neutral",13
"316","days ago ","Neutral",13
"317","leaving o ","Neutral",13
"318","took contract ","Neutral",13
"319","buy new ","Positive",13
"320","came back ","Neutral",13
"321","time time ","Neutral",13
"322","ten years ","Neutral",13
"323","make call ","Neutral",13
"324","staff member ","Neutral",13
"325","calls o ","Neutral",13
"326","avoid avoid ","Negative",13
"327","chat told ","Neutral",13
"328","rang customer ","Neutral",13
"329","pillar post ","Neutral",13
"330","contract told ","Neutral",13
"331","come across ","Neutral",13
"332","phone work ","Positive",13
"333","never got ","Neutral",13
"334","o want ","Neutral",13
"335","service provider ","Neutral",13
"336","mobile contract ","Neutral",13
"337","pay contract ","Negative",13
"338","phone customer ","Neutral",13
"339","e save ","Positive",13
"340","o time ","Neutral",13
"341","problems o ","Negative",13
"342","sent new ","Positive",13
"343","promised call ","Positive",13
"344","month ago ","Neutral",13
"345","received email ","Positive",13
"346","number years ","Neutral",13
"347","credit score ","Positive",13
"348","please please ","Positive",13
"349","told cancel ","Negative",13
"350","received phone ","Positive",13
"351","etc etc ","Neutral",13
"352","contract pay ","Negative",13
"353","another month ","Neutral",13
"354","put phone ","Neutral",13
"355","need pay ","Negative",13
"356","new customers ","Positive",13
"357","money bank ","Positive",13
"358","got text ","Neutral",12
"359","months now ","Neutral",12
"360","o since ","Neutral",12
"361","got email ","Neutral",12
"362","friends family ","Neutral",12
"363","bank details ","Neutral",12
"364","one o ","Neutral",12
"365","tesco mobile ","Neutral",12
"366","o last ","Neutral",12
"367","lady said ","Neutral",12
"368","day cooling ","Neutral",12
"369","wrong phone ","Negative",12
"370","go store ","Neutral",12
"371","customer experience ","Neutral",12
"372","o mobile ","Neutral",12
"373","service now ","Neutral",12
"374","service customer ","Neutral",12
"375","unlimited texts ","Positive",12
"376","able use ","Neutral",12
"377","o number ","Neutral",12
"378","phone unlocked ","Neutral",12
"379","late payment ","Negative",12
"380","per minute ","Neutral",12
"381","direct debits ","Neutral",12
"382","care customers ","Positive",12
"383","cancelled direct ","Negative",12
"384","o travel ","Neutral",12
"385","passed pillar ","Neutral",12
"386","contacted customer ","Neutral",12
"387","o worst ","Negative",12
"388","received letter ","Positive",12
"389","current contract ","Neutral",12
"390","still received ","Positive",12
"391","one phone ","Neutral",12
"392","around years ","Neutral",12
"393","made mistake ","Negative",12
"394","bad service ","Negative",12
"395","o pay ","Negative",12
"396","care less ","Positive",12
"397","contract without ","Neutral",12
"398","without phone ","Neutral",12
"399","debt recovery ","Negative",12
"400","service poor ","Negative",12
"401","months still ","Neutral",12
"402","couple months ","Neutral",12
"403","awful company ","Negative",12
"404","every single ","Neutral",12
"405","taking contract ","Neutral",12
"406","send new ","Positive",12
"407","via live ","Neutral",12
"408","""o customer ","Neutral",12
"409","service staff ","Neutral",12
"410","make receive ","Neutral",11
"411","time o ","Neutral",11
"412","called told ","Neutral",11
"413","time told ","Neutral",11
"414","o insurance ","Neutral",11
"415","nearly £ ","Neutral",11
"416","great customer ","Positive",11
"417","second time ","Neutral",11
"418","avoid costs ","Negative",11
"419","th december ","Neutral",11
"420","formal complaint ","Negative",11
"421","long story ","Neutral",11
"422","local o ","Neutral",11
"423","lost phone ","Negative",11
"424","high street ","Neutral",11
"425","broken phone ","Negative",11
"426","buy contract ","Neutral",11
"427","first bill ","Neutral",11
"428","need phone ","Neutral",11
"429","useless company ","Negative",11
"430","offered £ ","Neutral",11
"431","unlimited data ","Positive",11
"432","central london ","Neutral",11
"433","send back ","Neutral",11
"434","told nothing ","Neutral",11
"435","calling o ","Neutral",11
"436","contract came ","Neutral",11
"437","asked pac ","Neutral",11
"438","want pay ","Negative",11
"439","pay extra ","Positive",11
"440","manager told ","Neutral",11
"441","sim phone ","Neutral",11
"442","upgrade contract ","Neutral",11
"443","really good ","Positive",11
"444","local store ","Neutral",11
"445","needless say ","Negative",11
"446","phone store ","Neutral",11
"447","never heard ","Neutral",11
"448","o sim ","Neutral",11
"449","now wait ","Negative",11
"450","number new ","Positive",11
"451","rude unhelpful ","Negative",11
"452","decided upgrade ","Neutral",11
"453","staff rude ","Negative",11
"454","even worse ","Negative",11
"455","o app ","Neutral",11
"456","contract never ","Neutral",11
"457","refresh contract ","Positive",11
"458","contract end ","Neutral",11
"459","phone contacted ","Neutral",11
"460","speak anyone ","Neutral",11
"461","account details ","Neutral",11
"462","early termination ","Negative",11
"463","credit file ","Positive",11
"464","take hours ","Neutral",11
"465","within day ","Neutral",11
"466","debt collectors ","Negative",11
"467","credit account ","Positive",11
"468","legal action ","Positive",11
"469","like plague"", ","Neutral",11
"470","back account ","Neutral",11
"471","another company ","Neutral",11
"472","o need ","Neutral",11
"473","contact customer ","Positive",11
"474","phone went ","Neutral",11
"475","head office ","Neutral",11
"476","locked o ","Neutral",11
"477","mobile number ","Neutral",11
"478","service always ","Neutral",11
"479","o used ","Neutral",11
"480","around £ ","Neutral",11
"481","within working ","Positive",11
"482","well done ","Positive",11
"483","issue resolved ","Positive",11
"484","got told ","Neutral",11
"485","o still ","Neutral",11
"486","new provider ","Positive",11
"487","covered warranty ","Positive",10
"488","false information ","Negative",10
"489","anyone else ","Neutral",10
"490","via online ","Neutral",10
"491","dont know ","Neutral",10
"492","advise anyone ","Positive",10
"493","put back ","Neutral",10
"494","sent repair ","Neutral",10
"495","long wait ","Negative",10
"496","never problems ","Negative",10
"497","number o ","Neutral",10
"498","sim cards ","Neutral",10
"499","o months ","Neutral",10
"500","phone new ","Positive",10
"501","o priority ","Positive",10
"502","pac number ","Neutral",10
"503","taken account ","Neutral",10
"504","o tell ","Neutral",10
"505","business account ","Neutral",10
"506","touch o ","Neutral",10
"507","avoid costs"", ","Negative",10
"508","phone repair ","Neutral",10
"509","within minutes ","Neutral",10
"510","got cut ","Negative",10
"511","years contract ","Neutral",10
"512","wasting time ","Negative",10
"513","phone stock ","Neutral",10
"514","several years ","Neutral",10
"515","back told ","Neutral",10
"516","use data ","Neutral",10
"517","phone phoned ","Neutral",10
"518","new handset ","Positive",10
"519","multiple times ","Neutral",10
"520","""o since ","Neutral",10
"521","phone months ","Neutral",10
"522","g g ","Neutral",10
"523","text saying ","Neutral",10
"524","one best ","Positive",10
"525","owed money ","Positive",10
"526","receive text ","Neutral",10
"527","told o ","Neutral",10
"528","phone provider ","Neutral",10
"529","phone called ","Neutral",10
"530","new number ","Positive",10
"531","take new ","Positive",10
"532","collection agency ","Neutral",10
"533","another months ","Neutral",10
"534","working day ","Positive",10
"535","pretty much ","Positive",10
"536","said nothing ","Neutral",10
"537","placed order ","Neutral",10
"538","big mistake ","Negative",10
"539","refund money ","Positive",10
"540","manager call ","Neutral",10
"541","without knowledge ","Positive",10
"542","trading standards ","Neutral",10
"543","much money ","Positive",10
"544","told wait ","Negative",10
"545","next months ","Neutral",10
"546","send text ","Neutral",10
"547","th july ","Neutral",10
"548","years o ","Neutral",10
"549","said take ","Neutral",10
"550","want know ","Neutral",10
"551","uk mail ","Neutral",10
"552","o took ","Neutral",10
"553","number transferred ","Neutral",10
"554","ever since ","Neutral",10
"555","spoke o ","Neutral",10
"556","ipad pro ","Neutral",10
"557","say phone ","Neutral",10
"558","phone bought ","Neutral",10
"559","yet another ","Neutral",10
"560","trying sort ","Neutral",10
"561","data usage ","Neutral",10
"562","plan £ ","Neutral",10
"563","put new ","Positive",10
"564","story short ","Neutral",10
"565","account closed ","Neutral",10
"566","now o ","Neutral",10
"567","online account ","Neutral",10
"568","took back ","Neutral",10
"569","beats pill ","Negative",9
"570","due poor ","Negative",9
"571","good enough ","Positive",9
"572","never happened ","Neutral",9
"573","new customer ","Positive",9
"574","phone never ","Neutral",9
"575","access account ","Neutral",9
"576","always paid ","Neutral",9
"577","renewing contract ","Neutral",9
"578","say o ","Neutral",9
"579","problems phone ","Negative",9
"580","now sent ","Neutral",9
"581","account o ","Neutral",9
