"","wordcloud_bigram_th$ngrams","cat_sent_th","wordcloud_bigram_th$freq"
"213","cancelled direct ","Negative",14
"214","£ bill ","Neutral",14
"215","email address ","Neutral",14
"216","better deals ","Positive",14
"217","different people ","Neutral",14
"218","weeks ago ","Neutral",14
"219","wifi calling ","Neutral",14
"220","debt collectors ","Negative",14
"221","iphone plus ","Neutral",14
"222","months later ","Neutral",14
"223","service great ","Positive",14
"224","put phone ","Neutral",14
"225","upgrade phone ","Neutral",14
"226","spent hours ","Negative",13
"227","charge £ ","Neutral",13
"228","anyone else ","Neutral",13
"229","new customer ","Positive",13
"230","days ago ","Neutral",13
"231","phone service ","Neutral",13
"232","th january ","Neutral",13
"233","days notice ","Neutral",13
"234","credit card ","Positive",13
"235","past years ","Neutral",13
"236","day cooling ","Neutral",13
"237","£ credit ","Positive",13
"238","central london ","Neutral",13
"239","rang customer ","Neutral",13
"240","direct debits ","Neutral",13
"241","contract never ","Neutral",13
"242","service poor ","Negative",13
"243","great service ","Positive",13
"244","cancel account ","Negative",13
"245","one day ","Neutral",13
"246","good signal ","Positive",13
"247","credit account ","Positive",13
"248","minutes phone ","Neutral",13
"249","another company ","Neutral",13
"250","got told ","Neutral",13
"251","straight away ","Positive",12
"252","""great service ","Positive",12
"253","ring back ","Neutral",12
"254","cooling period ","Neutral",12
"255","service told ","Neutral",12
"256","replacement sim ","Neutral",12
"257","great customer ","Positive",12
"258","long story ","Neutral",12
"259","contract cancelled ","Negative",12
"260","receive calls ","Neutral",12
"261","good deals ","Positive",12
"262","contact details ","Positive",12
"263","abroad extra ","Positive",12
"264","see full ","Neutral",12
"265","half hour ","Neutral",12
"266","never problem ","Negative",12
"267","data minutes ","Neutral",12
"268","end month ","Neutral",12
"269","go store ","Neutral",12
"270","weeks later ","Neutral",12
"271","service really ","Neutral",12
"272","social media ","Neutral",12
"273","month gb ","Neutral",12
"274","week later ","Neutral",12
"275","family friends ","Neutral",12
"276","contract £ ","Neutral",12
"277","data unlimited ","Positive",12
"278","sim phone ","Neutral",12
"279","rolling contract ","Neutral",12
"280","collection agency ","Neutral",12
"281","best network ","Positive",12
"282","received text ","Positive",12
"283","highly recommend ","Positive",12
"284","data abroad ","Neutral",12
"285","speak english ","Neutral",12
"286","network ever ","Neutral",12
"287","without phone ","Neutral",12
"288","years never ","Neutral",12
"289","extra data ","Positive",12
"290","sat nav ","Neutral",12
"291","wait contract ","Negative",12
"292","poor signal ","Negative",12
"293","internet speed ","Neutral",12
"294","full contact ","Positive",12
"295","story short ","Neutral",12
"296","call center ","Positive",12
"297","data protection ","Positive",12
"298","last months ","Neutral",12
"299","resolve issue ","Positive",11
"300","g signal ","Neutral",11
"301","next bill ","Neutral",11
"302","told receive ","Neutral",11
"303","friends family ","Neutral",11
"304","phone new ","Positive",11
"305","time time ","Neutral",11
"306","""years now ","Neutral",11
"307","new network ","Positive",11
"308","staff member ","Neutral",11
"309","g service ","Neutral",11
"310","change contract ","Neutral",11
"311","service customer ","Neutral",11
"312","""customer service ","Neutral",11
"313","new mobile ","Positive",11
"314","fix problem ","Negative",11
"315","back never ","Neutral",11
"316","person spoke ","Neutral",11
"317","monthly contract ","Neutral",11
"318","never used ","Neutral",11
"319","phone customer ","Neutral",11
"320","bad experience ","Negative",11
"321","bad service ","Negative",11
"322","need call ","Neutral",11
"323","""saved £ ","Positive",11
"324","couple months ","Neutral",11
"325","data calls ","Neutral",11
"326","owed £ ","Neutral",11
"327","never use ","Neutral",11
"328","numerous times ","Neutral",11
"329","many people ","Neutral",11
"330","save money ","Positive",11
"331","really poor ","Negative",11
"332","stay touch ","Neutral",11
"333","hours hours ","Neutral",11
"334","let know ","Neutral",11
"335","
""feel home ","Neutral",11
"336","data usage ","Neutral",11
"337","service always ","Neutral",11
"338","difficult understand ","Negative",11
"339","really bad ","Negative",11
"340","month £ ","Neutral",11
"341","signal home ","Neutral",11
"342","customer relation ","Positive",10
"343","already paid ","Neutral",10
"344","said want ","Neutral",10
"345","two hours ","Neutral",10
"346","useless customer ","Negative",10
"347","£ phone ","Neutral",10
"348","touch family ","Neutral",10
"349","executive office ","Neutral",10
"350","bank card ","Neutral",10
"351","time phone ","Neutral",10
"352","phone trying ","Neutral",10
"353","consumer rights ","Neutral",10
"354","avoid avoid ","Negative",10
"355","trying sell ","Neutral",10
"356","shouldn t ","Neutral",10
"357","£ gb ","Neutral",10
"358","good service ","Positive",10
"359","spent hour ","Negative",10
"360","happy service ","Positive",10
"361","went back ","Neutral",10
"362","carphone warehouse ","Neutral",10
"363","multiple times ","Neutral",10
"364","pay extra ","Positive",10
"365","text saying ","Neutral",10
"366","bad reviews ","Negative",10
"367","extra cost"", ","Positive",10
"368","loyal customers ","Positive",10
"369","""excellent service ","Positive",10
"370","store phone ","Neutral",10
"371","phone provider ","Neutral",10
"372","long time ","Neutral",10
"373","charged extra ","Positive",10
"374","understand saying ","Neutral",10
"375","signed contract ","Neutral",10
"376","transfer phone ","Neutral",10
"377","back within ","Neutral",10
"378","home package ","Neutral",10
"379","cancel direct ","Negative",10
"380","much money ","Positive",10
"381","doesn t ","Neutral",10
"382","texts data ","Neutral",10
"383","relations team ","Neutral",10
"384","calls text ","Neutral",10
"385","pay months ","Negative",10
"386","using feel ","Neutral",10
"387","credit file ","Positive",10
"388","contract got ","Neutral",10
"389","legal action ","Positive",10
"390","customer care ","Positive",10
"391","terms conditions ","Neutral",10
"392","still paying ","Neutral",10
"393","iphone x ","Neutral",10
"394","online account ","Neutral",10
"395","worst company ","Negative",9
"396","also told ","Neutral",9
"397","false information ","Negative",9
"398","called told ","Neutral",9
"399","use mobile ","Neutral",9
"400","use google ","Neutral",9
"401","never happened ","Neutral",9
"402","galaxy s ","Neutral",9
"403","make feel ","Neutral",9
"404","hong kong ","Neutral",9
"405","service phone ","Neutral",9
"406","haven t ","Positive",9
"407","member staff ","Neutral",9
"408","phone signal ","Neutral",9
