"","wordcloud_bigram_te$ngrams","cat_sent_te","wordcloud_bigram_te$freq"
"205","text call ","Neutral",1
"206","course speak ","Neutral",1
"207","since found ","Positive",1
"208","
""hate buck ","Negative",1
"209","problems needs ","Negative",1
"210","badly let ","Negative",1
"211","mobile prices ","Neutral",1
"212","fix warranty ","Positive",1
"213","o downside ","Negative",1
"214","three network ","Neutral",1
"215","often bad ","Negative",1
"216","provide advice ","Positive",1
"217","quality gladly ","Positive",1
"218","service quick ","Neutral",1
"219","chinese denied ","Negative",1
"220","access account ","Neutral",1
"221","said hold ","Neutral",1
"222","much compensation ","Neutral",1
"223","emergency registered ","Negative",1
"224","make phone ","Neutral",1
"225","days ago ","Neutral",1
"226","serious mobility ","Neutral",1
"227","one agents ","Neutral",1
"228","basically pay ","Negative",1
"229","appear screen ","Neutral",1
"230","st october ","Neutral",1
"231","although wish ","Positive",1
"232","review systems ","Neutral",1
"233","keeping line ","Neutral",1
"234","£ gutted ","Neutral",1
"235","supported view ","Positive",1
"236","back still ","Neutral",1
"237","chap called ","Neutral",1
"238","want treated ","Neutral",1
"239","phone service ","Neutral",1
"240","s paying ","Neutral",1
"241","listened story ","Neutral",1
"242","""short far ","Neutral",1
"243","used say ","Neutral",1
"244","customer satisfaction ","Neutral",1
"245","bought turned ","Neutral",1
"246","reasoning felt ","Neutral",1
"247","wish companies ","Positive",1
"248","signal travel ","Neutral",1
"249","heart attack ","Negative",1
"250","sent repair ","Neutral",1
"251","systems ensure ","Positive",1
"252","network team ","Neutral",1
"253","agreement ticked ","Positive",1
"254","area phone ","Neutral",1
"255","luckily someone ","Positive",1
"256","minute comes ","Neutral",1
"257","shop customers ","Neutral",1
"258","untenable situation ","Negative",1
"259","unless thinking ","Neutral",1
"260","razr also ","Neutral",1
"261","received now ","Positive",1
"262","extent service ","Neutral",1
"263","working switched ","Positive",1
"264","brings personal ","Neutral",1
"265","uses o ","Neutral",1
"266","card assured ","Positive",1
"267","razr even ","Neutral",1
"268","problems work ","Negative",1
"269","know cambridge ","Neutral",1
"270","companies agreed ","Positive",1
"271","two days ","Neutral",1
"272","review see ","Neutral",1
"273","capped limit ","Negative",1
"274","thereafter told ","Neutral",1
