"","wordcloud_bigram_te$ngrams","cat_sent_te","wordcloud_bigram_te$freq"
"887","businessmoney think ","Neutral",1
"888","warranty told ","Positive",1
"889","hold said ","Neutral",1
"890","english beginning ","Neutral",1
"891","rip put ","Negative",1
"892","heavy data ","Neutral",1
"893","contact phone ","Positive",1
"894","approach years ","Neutral",1
"895","stroke heart ","Negative",1
"896","told actually ","Neutral",1
"897","incapable company ","Negative",1
"898","back mins ","Neutral",1
"899","due first ","Neutral",1
"900","told fix ","Neutral",1
"901","fixed replied ","Neutral",1
"902","team told ","Neutral",1
"903","cornwall odd ","Negative",1
"904","example basically ","Neutral",1
"905","avoided thereafter ","Negative",1
"906","company absolute ","Negative",1
"907","feels like ","Positive",1
"908","way treat ","Neutral",1
"909","complain ombudsman ","Negative",1
"910","talks bully ","Negative",1
"911","check know ","Neutral",1
"912","near customer ","Neutral",1
"913","card open ","Neutral",1
"914","ground im ","Neutral",1
"915","use spent ","Negative",1
"916","dangerously high ","Negative",1
"917","called magazine ","Neutral",1
"918","happy mobile ","Positive",1
"919","made difference ","Neutral",1
"920","something claimed ","Neutral",1
"921","telephoned customer ","Neutral",1
"922","sim phone ","Neutral",1
"923","help"", ""imbociles ","Neutral",1
"924","mobiles free ","Positive",1
"925","unlock pin ","Neutral",1
"926","take mast ","Neutral",1
"927","various ways ","Neutral",1
"928","star rating ","Positive",1
"929","told take ","Neutral",1
"930","remedied th ","Neutral",1
"931","done several ","Neutral",1
"932","company order ","Neutral",1
"933","story made ","Neutral",1
"934","treat customers"", ","Neutral",1
"935","breadline please ","Positive",1
"936","think might ","Neutral",1
"937","model months ","Positive",1
"938","arrange viewings ","Neutral",1
"939","beginning think ","Neutral",1
"940","line hold ","Neutral",1
"941","
""found phone ","Positive",1
"942","sonmust say ","Neutral",1
"943","give zero ","Neutral",1
"944","recently giffgaff ","Neutral",1
"945","helpful smiley ","Positive",1
"946","use"", ""recommended ","Positive",1
"947","problems non ","Negative",1
"948","denial service ","Negative",1
"949","ethical moral ","Positive",1
"950","saying fixed ","Neutral",1
"951","one iota ","Neutral",1
"952","mobile emergency ","Negative",1
"953","really good ","Positive",1
"954","surprised hours ","Neutral",1
"955","service also ","Neutral",1
"956","wifi works ","Positive",1
"957","keep engine ","Neutral",1
"958","drink albeit ","Neutral",1
"959","communications company ","Neutral",1
"960","japanese noticed ","Neutral",1
"961","empire also ","Neutral",1
"962","ended taking ","Neutral",1
"963","unacceptable review ","Negative",1
"964","razr contract ","Neutral",1
"965","signal lived ","Neutral",1
"966","downside roaming ","Negative",1
"967","broken car ","Negative",1
"968","phone claimed ","Neutral",1
"969","likely stroke ","Negative",1
"970","iota spot ","Neutral",1
"971","twits use ","Neutral",1
"972","says never ","Neutral",1
"973","doctor tells ","Neutral",1
"974","say deal ","Positive",1
"975","house seemed ","Neutral",1
"976","far"", ""mobile ","Neutral",1
"977","time believe ","Neutral",1
"978","s adverts ","Neutral",1
"979","running keep ","Neutral",1
"980","compensation denying ","Negative",1
"981","im heavy ","Neutral",1
"982","addition noted ","Positive",1
"983","kind problems ","Neutral",1
"984","usersmashes previous ","Neutral",1
"985","kevin opola ","Neutral",1
"986","""brilliant customer ","Positive",1
"987","landline surprised ","Neutral",1
"988","phones though ","Neutral",1
"989","call contact ","Positive",1
"990","hour starting ","Neutral",1
"991","demanding penalty ","Negative",1
"992","arm time ","Neutral",1
"993","deal fantastic ","Positive",1
"994","phone work ","Positive",1
"995","network hopeless"") ","Negative",1
"996","advised possibleven ","Neutral",1
"997","outrageous went ","Negative",1
"998","designed make ","Neutral",1
"999","ok transfer ","Neutral",1
"1000","phone daily ","Neutral",1
"1001","new number ","Positive",1
"1002","pleased service ","Positive",1
"1003","cancellation told ","Neutral",1
"1004","free well ","Positive",1
"1005","store today ","Neutral",1
"1006","phone runs ","Neutral",1
"1007","contract said ","Neutral",1
"1008","receive kind ","Positive",1
"1009","like separate ","Positive",1
"1010","viewing house ","Neutral",1
"1011","instead pay ","Negative",1
"1012","abdul thought ","Neutral",1
"1013","store well"", ","Positive",1
"1014","care customers ","Positive",1
"1015","meant send ","Neutral",1
"1016","phone selection ","Neutral",1
"1017","mobile provider ","Neutral",1
"1018","taking money ","Positive",1
"1019","three items ","Neutral",1
"1020","ridiculously expensive ","Negative",1
"1021","review mobile ","Neutral",1
"1022","vouchers price ","Neutral",1
"1023","denying access ","Negative",1
"1024","charge unlock ","Neutral",1
"1025","told think ","Neutral",1
"1026","second phone ","Neutral",1
"1027","recounting whole ","Neutral",1
"1028","denied course ","Negative",1
"1029","company tescomobile ","Neutral",1
"1030","listening problem ","Negative",1
"1031","manager serious ","Neutral",1
"1032","give service ","Neutral",1
"1033","absolutely disgraceful ","Negative",1
"1034","notice neighbours ","Neutral",1
"1035","purchase phone ","Positive",1
"1036","called travel ","Neutral",1
"1037","called customer ","Neutral",1
"1038","network never ","Neutral",1
"1039","contract writing ","Neutral",1
"1040","great web ","Positive",1
"1041","friendly designed ","Positive",1
"1042","leastevery little ","Neutral",1
"1043","signed contract ","Neutral",1
"1044","told since ","Neutral",1
"1045","know gone ","Neutral",1
"1046","reply st ","Neutral",1
"1047","hours later ","Neutral",1
"1048","keep track ","Neutral",1
"1049","middle nowhere ","Neutral",1
"1050","mainly due ","Neutral",1
"1051","avoid tescomobile ","Negative",1
"1052","people etcs ","Neutral",1
"1053","area outstandingtwelve ","Neutral",1
"1054","cancellation went ","Neutral",1
"1055","back disorder ","Negative",1
"1056","getting surrealistic ","Neutral",1
"1057","however also ","Neutral",1
"1058","mucking settings ","Neutral",1
"1059","good price ","Positive",1
"1060","meadows easy ","Positive",1
"1061","difference despite ","Neutral",1
"1062","another months ","Neutral",1
"1063","emanating heart ","Neutral",1
"1064","account currently ","Neutral",1
"1065","days got ","Neutral",1
"1066","see incapable ","Negative",1
"1067","time service ","Neutral",1
"1068","matter minute ","Neutral",1
"1069","send four ","Neutral",1
"1070","regarding practice"", ","Positive",1
"1071","mobile primary ","Positive",1
"1072","becomes much ","Neutral",1
"1073","easy sign ","Positive",1
"1074","sale house ","Neutral",1
"1075","last weeks ","Neutral",1
"1076","use phone ","Neutral",1
"1077","compensation refund ","Positive",1
"1078","hours course ","Neutral",1
"1079","""one best ","Positive",1
"1080","say alrady ","Neutral",1
"1081","told bought ","Neutral",1
"1082","complaint told ","Negative",1
"1083","sent pin ","Neutral",1
"1084","bought deal ","Positive",1
"1085","normal use ","Neutral",1
"1086","landline using ","Neutral",1
"1087","mobile device ","Neutral",1
"1088","story young ","Positive",1
"1089","none workedkeep ","Neutral",1
"1090","also issues ","Neutral",1
"1091","mobile bill ","Neutral",1
"1092","away option ","Positive",1
"1093","days three ","Neutral",1
"1094","suffer serious ","Negative",1
"1095","code unlock ","Neutral",1
"1096","app claimed ","Neutral",1
"1097","fees unused ","Neutral",1
"1098","identified ruan ","Neutral",1
"1099","satisfaction delivery ","Positive",1
"1100","wanted nothing ","Neutral",1
"1101","tatics obtain ","Neutral",1
"1102","travel lot ","Neutral",1
"1103","coming display ","Neutral",1
"1104","sold iphone ","Neutral",1
"1105","inconvenience stuck ","Negative",1
"1106","mobile customer ","Neutral",1
"1107","fantastic value ","Positive",1
"1108","assured decent ","Positive",1
"1109","phone call ","Neutral",1
"1110","months warranty ","Positive",1
"1111","new sim ","Positive",1
"1112","little helps"", ","Positive",1
"1113","try help ","Neutral",1
"1114","never kind ","Positive",1
"1115","damn device ","Negative",1
"1116","claimed insurance ","Neutral",1
"1117","send device ","Neutral",1
"1118","texts saying ","Neutral",1
"1119","even bother ","Negative",1
"1120","contact re ","Positive",1
"1121","despite expecting ","Neutral",1
"1122","convinced mucking ","Positive",1
"1123","ticked godawful ","Negative",1
"1124","use help ","Neutral",1
"1125","problem voided ","Negative",1
"1126","ruan thought ","Neutral",1
"1127","shouts talks ","Neutral",1
"1128","high handed ","Neutral",1
"1129","believe biased ","Negative",1
"1130","optimally gave ","Neutral",1
"1131","never mind ","Neutral",1
"1132","ruan s ","Neutral",1
"1133","personal details ","Neutral",1
"1134","items information ","Positive",1
"1135","last week ","Neutral",1
"1136","weeks old ","Neutral",1
"1137","properly sent ","Positive",1
"1138","lane pulled ","Neutral",1
"1139","number switch ","Neutral",1
"1140","kind service ","Positive",1
"1141","manger decide ","Neutral",1
"1142","trouble turning ","Negative",1
"1143","sim service ","Neutral",1
"1144","handle professional ","Positive",1
"1145","service meant ","Neutral",1
"1146","position within ","Neutral",1
"1147","broken contract ","Negative",1
"1148","trust"", 
""found ","Positive",1
"1149","want give ","Neutral",1
"1150","option wait ","Positive",1
"1151","big companies ","Positive",1
"1152","""otherwise boycott ","Negative",1
"1153","end getting ","Neutral",1
"1154","hung words ","Neutral",1
"1155","mental issues ","Neutral",1
"1156","frequently best ","Positive",1
"1157","cancelled contract ","Negative",1
"1158","eu happy ","Positive",1
"1159","s decision ","Neutral",1
"1160","weeks fixed ","Neutral",1
"1161","""mobile months ","Neutral",1
"1162","contract three ","Neutral",1
"1163","within company ","Neutral",1
"1164","microsoft lumia ","Neutral",1
"1165","payment damn ","Negative",1
"1166","mobile expect ","Positive",1
"1167","
""mob pulled ","Negative",1
"1168","amazing course ","Positive",1
"1169","known hassle ","Negative",1
"1170","ones however ","Neutral",1
"1171","thinking getting ","Neutral",1
"1172","services now ","Neutral",1
"1173","signed second ","Neutral",1
"1174","mostly great ","Positive",1
"1175","however problem ","Negative",1
"1176","bag something ","Neutral",1
"1177","advice telephone ","Neutral",1
"1178","weeks fix ","Neutral",1
"1179","resetting language ","Neutral",1
"1180","contract go ","Neutral",1
"1181","sorted still ","Neutral",1
"1182","wrote two ","Neutral",1
"1183","selection good ","Positive",1
"1184","contacted phone ","Neutral",1
"1185","since th ","Neutral",1
"1186","buy car ","Neutral",1
"1187","load crap ","Negative",1
"1188","customers around ","Neutral",1
"1189","noticed seemed ","Neutral",1
"1190","stuff phone ","Neutral",1
"1191","number able ","Neutral",1
"1192","expensive long ","Negative",1
"1193","takes s ","Neutral",1
"1194","appalling customer ","Negative",1
"1195","network price ","Neutral",1
"1196","asked ok ","Neutral",1
"1197","working getting ","Positive",1
"1198","pay contract ","Negative",1
"1199","enough first ","Negative",1
"1200","ever think ","Neutral",1
"1201","seemed bombarded ","Neutral",1
"1202","phone customer ","Neutral",1
"1203","surprise became ","Positive",1
"1204","back ask ","Neutral",1
"1205","connection g ","Neutral",1
"1206","e service ","Neutral",1
"1207","able go ","Neutral",1
"1208","finding simplest ","Positive",1
"1209","primary contact ","Positive",1
"1210","total warning ","Negative",1
"1211","much help"", ","Neutral",1
"1212","allowance important ","Positive",1
"1213","find something ","Neutral",1
"1214","company provide ","Positive",1
"1215","item back ","Neutral",1
"1216","service signed ","Neutral",1
"1217","needs attend ","Neutral",1
"1218","issues wanted ","Neutral",1
"1219","dilemmas sorted ","Neutral",1
"1220","read stupidly ","Negative",1
"1221","service proceeded ","Neutral",1
"1222","phone weeks ","Neutral",1
"1223","states case ","Neutral",1
"1224","right supply ","Positive",1
"1225","service worse ","Negative",1
"1226","writing escalated ","Neutral",1
"1227","email response ","Neutral",1
"1228","resulted continue ","Positive",1
"1229","ever use ","Neutral",1
"1230","scam little ","Negative",1
"1231","identity theft"", ","Negative",1
"1232","atmospheric conditions ","Neutral",1
"1233","now come ","Neutral",1
"1234","sell house ","Neutral",1
"1235","next days ","Neutral",1
"1236","dreaded service ","Negative",1
"1237","high blood ","Neutral",1
"1238","roaming options ","Neutral",1
"1239","circumstances promised ","Positive",1
"1240","best companies ","Positive",1
"1241","appear care ","Positive",1
"1242","legitimately robbed ","Negative",1
"1243","retried ended ","Neutral",1
"1244","explained keep ","Neutral",1
"1245","receiver voided ","Negative",1
"1246","speak days ","Neutral",1
"1247","use landline ","Neutral",1
"1248","public meanness ","Negative",1
"1249","professional way ","Positive",1
"1250","well management ","Positive",1
"1251","bill clear ","Positive",1
"1252","another review ","Neutral",1
"1253","corrosion returning ","Negative",1
"1254","noticed text ","Neutral",1
"1255","retailgeneral side ","Neutral",1
"1256","proper service ","Positive",1
"1257","however feels ","Neutral",1
"1258","need use ","Neutral",1
"1259","pic phone ","Neutral",1
"1260","contacted probably ","Neutral",1
"1261","turned faulty ","Negative",1
"1262","robbed stunned ","Negative",1
"1263","claimed needed ","Neutral",1
"1264","june trouble ","Negative",1
"1265","confirmed local ","Positive",1
"1266","weeks possibly ","Neutral",1
"1267","later nothing ","Neutral",1
"1268","sent pac ","Neutral",1
"1269","long using ","Neutral",1
"1270","continue insist ","Positive",1
"1271","ads switch ","Neutral",1
"1272","used remote ","Neutral",1
"1273","now form ","Neutral",1
"1274","contract reasons ","Neutral",1
"1275","work takes ","Positive",1
"1276","always nonservice ","Neutral",1
"1277","customers treat ","Neutral",1
"1278","value cant ","Neutral",1
"1279","time like ","Positive",1
"1280","ignored emails ","Negative",1
"1281","
""good value ","Positive",1
"1282","months gigs ","Neutral",1
"1283","david walliams ","Neutral",1
"1284","ago motorola ","Neutral",1
"1285","several caches ","Neutral",1
"1286","put points ","Neutral",1
"1287","customer service"", ","Neutral",1
"1288","phone shouts ","Neutral",1
"1289","decent signal ","Positive",1
"1290","time illegal ","Negative",1
"1291","said dirt ","Negative",1
"1292","back within ","Neutral",1
"1293","waiting meantime ","Neutral",1
"1294","tescomobile sent ","Neutral",1
"1295","works good ","Positive",1
"1296","contract never ","Neutral",1
"1297","bombarded s ","Neutral",1
"1298","whether want ","Neutral",1
"1299","internet works ","Positive",1
"1300","mile away ","Neutral",1
"1301","payment phoned ","Negative",1
"1302","charging socket ","Neutral",1
"1303","pensioner health ","Neutral",1
"1304","us like ","Positive",1
"1305","years treacherously ","Negative",1
"1306","absolutely unable ","Negative",1
"1307","set still ","Neutral",1
"1308","still account ","Neutral",1
"1309","account addition ","Neutral",1
"1310","police medical ","Negative",1
"1311","surprise last ","Positive",1
"1312","device mobiles ","Neutral",1
"1313","pleased far"", ","Positive",1
"1314","good wifi ","Positive",1
"1315","holding verbally ","Neutral",1
"1316","worse mobiles"", ","Negative",1
"1317","longer supportive ","Positive",1
"1318","compensation bearing ","Neutral",1
"1319","signal mostly ","Neutral",1
"1320","trading standards ","Neutral",1
"1321","able receive ","Neutral",1
"1322","away next ","Neutral",1
"1323","speak network ","Neutral",1
"1324","sending two ","Neutral",1
"1325","bothered"", ""brilliant ","Positive",1
"1326","warranty although ","Positive",1
"1327","paying something ","Neutral",1
"1328","back fix ","Neutral",1
"1329","services mobile ","Neutral",1
"1330","calling although ","Neutral",1
"1331","""bought gb ","Neutral",1
"1332","expected take ","Neutral",1
"1333","preach told ","Neutral",1
"1334","ruan recounted ","Neutral",1
"1335","always liked ","Positive",1
"1336","cornwall bought ","Neutral",1
"1337","mobile mast ","Neutral",1
"1338","message asked ","Neutral",1
"1339","end agent ","Neutral",1
"1340","fixed garbled ","Neutral",1
"1341","switched noticed ","Neutral",1
"1342","needed check ","Neutral",1
"1343","seemed sympathetic ","Positive",1
"1344","customers may ","Neutral",1
"1345","main reason ","Positive",1
"1346","higher per ","Neutral",1
"1347","happier people ","Positive",1
"1348","decided call ","Neutral",1
"1349","repairapparently corrosion ","Negative",1
"1350","phone g ","Neutral",1
"1351","bother accept ","Positive",1
"1352","claimed use ","Neutral",1
"1353","ago recounted ","Neutral",1
"1354","g gps ","Neutral",1
"1355","much likely ","Neutral",1
"1356","stuck broken ","Negative",1
"1357","much money ","Positive",1
"1358","problem went ","Negative",1
"1359","provided service ","Neutral",1
"1360","care g ","Positive",1
"1361","keys ask ","Neutral",1
"1362","error retried ","Negative",1
"1363","boot avoided ","Negative",1
"1364","left uk ","Neutral",1
"1365","manger call ","Neutral",1
"1366","called inform ","Neutral",1
"1367","phone reception ","Neutral",1
"1368","little used ","Neutral",1
"1369","mobile june ","Neutral",1
"1370","inform charging ","Neutral",1
"1371","guided resetting ","Neutral",1
"1372","go system ","Neutral",1
"1373","agent tried ","Neutral",1
"1374","ask couple ","Neutral",1
"1375","nonbrand drink ","Neutral",1
"1376","might vary ","Neutral",1
"1377","whether give ","Neutral",1
"1378","making decision ","Neutral",1
"1379","area asked ","Neutral",1
"1380","reported weeks ","Neutral",1
"1381","feeling badly ","Negative",1
"1382","bearing mind ","Neutral",1
"1383","one wrote ","Neutral",1
"1384","clear imbecile ","Negative",1
"1385","phone use"", ","Neutral",1
"1386","phone companies ","Neutral",1
"1387","others offer ","Positive",1
"1388","cynicism behind ","Negative",1
"1389","september nearly ","Neutral",1
"1390","dislike cynicism ","Negative",1
"1391","problems fact ","Negative",1
"1392","vile customer ","Negative",1
"1393","decision whether ","Neutral",1
"1394","nd october ","Neutral",1
"1395","call working ","Positive",1
"1396","£ months ","Neutral",1
"1397","come main ","Positive",1
"1398","back compensation ","Neutral",1
"1399","something worse ","Negative",1
"1400","every little ","Neutral",1
"1401","top dollar ","Neutral",1
"1402","s attitude ","Neutral",1
"1403","device asked ","Neutral",1
"1404","even heavy ","Neutral",1
"1405","use great ","Positive",1
"1406","send receive ","Neutral",1
"1407","effort try ","Neutral",1
"1408","longer someone ","Neutral",1
"1409","phone completely ","Positive",1
"1410","back nothing ","Neutral",1
"1411","mast problem ","Negative",1
"1412","anymore see ","Neutral",1
"1413","absolutely amazing ","Positive",1
"1414","mind manager ","Neutral",1
"1415","english easy ","Positive",1
"1416","""recommended swap ","Positive",1
"1417","nothing one ","Neutral",1
"1418","went reading ","Positive",1
"1419","settings switched ","Neutral",1
"1420","back said ","Neutral",1
"1421","compensation deal ","Positive",1
"1422","break ever ","Negative",1
"1423","still phone ","Neutral",1
"1424","spoke chap ","Neutral",1
"1425","said ask ","Neutral",1
"1426","reviews see ","Neutral",1
"1427","contract read ","Neutral",1
"1428","etcs mobile ","Neutral",1
"1429","around asked ","Neutral",1
"1430","great signal"", ","Positive",1
"1431","manager came ","Neutral",1
"1432","different part ","Neutral",1
"1433","wife spend ","Neutral",1
"1434","replied another ","Neutral",1
"1435","great uses ","Positive",1
"1436","behind approach ","Neutral",1
"1437","speak manager ","Neutral",1
"1438","provider well ","Positive",1
"1439","average person ","Neutral",1
"1440","claim problem ","Negative",1
"1441","anywhere away ","Neutral",1
"1442","data usersmashes ","Neutral",1
"1443","weeks september ","Neutral",1
"1444","car wasting ","Negative",1
"1445","yes wrong ","Positive",1
"1446","management help ","Positive",1
"1447","even london ","Neutral",1
"1448","penalty payment ","Negative",1
"1449","say unacceptable ","Negative",1
"1450","kings meadows ","Neutral",1
"1451","hours best ","Positive",1
"1452","total weeks ","Neutral",1
"1453","refused speak ","Negative",1
"1454","fix mobile ","Neutral",1
"1455","reset back ","Neutral",1
"1456","claiming web ","Neutral",1
"1457","pay £ ","Negative",1
"1458","mind inconvenience ","Negative",1
"1459","practice reporting ","Positive",1
"1460","shop another ","Neutral",1
"1461","caches much ","Neutral",1
"1462","home west ","Neutral",1
"1463","software time ","Neutral",1
"1464","take weeks ","Neutral",1
"1465","genuinely disgusting ","Negative",1
"1466","track mobile ","Neutral",1
"1467","leaving circumstances ","Neutral",1
"1468","charged euro ","Neutral",1
"1469","termination contract ","Negative",1
"1470","check phone ","Neutral",1
"1471","things getting ","Neutral",1
"1472","hours day ","Neutral",1
"1473","told publicise ","Neutral",1
"1474","supply service ","Neutral",1
"1475","signal mainly ","Neutral",1
"1476","experience complete ","Neutral",1
"1477","sink something ","Negative",1
"1478","read"", ""earlier ","Neutral",1
"1479","disabled diabetic ","Negative",1
"1480","little britain ","Neutral",1
"1481","even find ","Neutral",1
"1482","call police ","Negative",1
"1483","cough early ","Negative",1
"1484","told worry ","Negative",1
"1485","signed month ","Neutral",1
"1486","accept explained ","Positive",1
"1487","effectively making ","Positive",1
"1488","ago mast ","Neutral",1
"1489","want requested ","Neutral",1
"1490","price reduction ","Neutral",1
"1491","contract lousiest ","Neutral",1
"1492","provide outside ","Positive",1
"1493","mins blah ","Negative",1
"1494","biased favour ","Negative",1
"1495","chinese characters ","Neutral",1
"1496","euro going ","Neutral",1
"1497","one called ","Neutral",1
"1498","contract signed ","Neutral",1
"1499","signal calls ","Neutral",1
"1500","swap mobile ","Neutral",1
"1501","becauce says ","Neutral",1
"1502","additional payments ","Positive",1
"1503","menu date ","Neutral",1
"1504","signal etc"", ","Neutral",1
"1505","following day ","Neutral",1
"1506","went online ","Neutral",1
"1507","us much ","Neutral",1
"1508","show recommend"", ","Positive",1
"1509","workedkeep waiting ","Neutral",1
"1510","opinion whether ","Neutral",1
"1511","g area ","Neutral",1
"1512","web payment ","Negative",1
"1513","point expected ","Neutral",1
"1514","contract end ","Neutral",1
"1515","months said ","Neutral",1
"1516","back great ","Positive",1
"1517","make finding ","Neutral",1
"1518","say little ","Neutral",1
"1519","british anymore ","Neutral",1
"1520","misleading customers ","Negative",1
"1521","wondering gave ","Neutral",1
"1522","g phone ","Neutral",1
"1523","walliams used ","Neutral",1
"1524","customers"", 
""contacted ","Neutral",1
"1525","management well ","Positive",1
"1526","give keys ","Neutral",1
"1527","nowhere unable ","Negative",1
"1528","helps"", 
""weeks ","Positive",1
"1529","words absolutely ","Neutral",1
"1530","time though ","Neutral",1
"1531","providers motorola ","Neutral",1
"1532","almost constantly ","Neutral",1
"1533","call last ","Neutral",1
"1534","company regulator ","Neutral",1
"1535","needed provided ","Neutral",1
"1536","device customer ","Neutral",1
"1537","impossible find ","Negative",1
"1538","monthly account ","Neutral",1
"1539","bad compared ","Negative",1
"1540","telephone told ","Neutral",1
"1541","manager refused ","Negative",1
"1542","field anywhere ","Neutral",1
"1543","cambridgeshire left ","Neutral",1
"1544","seem problems ","Negative",1
"1545","resolve matter ","Positive",1
"1546","g menu ","Neutral",1
"1547","indication nearing ","Neutral",1
"1548","diminished now ","Negative",1
"1549","razr months ","Neutral",1
"1550","help keel ","Neutral",1
"1551","screen annoying ","Negative",1
"1552","heavy coat ","Neutral",1
"1553","informed opinion ","Neutral",1
"1554","stank told ","Neutral",1
"1555","phone"", ""never ","Neutral",1
"1556","uk eu ","Neutral",1
"1557","great mobile ","Positive",1
"1558","mobile internet ","Neutral",1
"1559","us back ","Neutral",1
"1560","back o ","Neutral",1
"1561","months afterwards ","Neutral",1
"1562","cornwall near ","Neutral",1
"1563","buyers arrange ","Neutral",1
"1564","phone th ","Neutral",1
"1565","mobile trying ","Neutral",1
"1566","chinese days ","Neutral",1
"1567","mobile piggy ","Neutral",1
"1568","contacted spoke ","Neutral",1
"1569","course pic ","Neutral",1
"1570","s customer ","Neutral",1
"1571","aldi better ","Positive",1
"1572","generally much ","Neutral",1
"1573","ayear appalling ","Negative",1
"1574","fixed asked ","Neutral",1
"1575","network g ","Neutral",1
"1576","great phone ","Positive",1
"1577","stage much ","Neutral",1
"1578","happens next ","Neutral",1
"1579","young lady ","Positive",1
"1580","owed still ","Neutral",1
"1581","easy chinese ","Positive",1
"1582","said need ","Neutral",1
"1583","helston bought ","Neutral",1
"1584","went away ","Neutral",1
"1585","services try ","Neutral",1
"1586","reduction shelf ","Neutral",1
"1587","please please ","Positive",1
"1588","bill another ","Neutral",1
"1589","opola current ","Neutral",1
"1590","many people ","Neutral",1
"1591","idea e ","Neutral",1
"1592","rental told ","Neutral",1
"1593","decent service ","Positive",1
"1594","line long ","Neutral",1
"1595","one day ","Neutral",1
"1596","done leastevery ","Neutral",1
"1597","benefit doubt ","Neutral",1
"1598","treacherously look ","Negative",1
"1599","although month ","Neutral",1
"1600","explained ruan ","Neutral",1
"1601","pay months ","Negative",1
"1602","even higher ","Neutral",1
"1603","lands end ","Neutral",1
"1604","blanket wearuse ","Neutral",1
"1605","two texts ","Neutral",1
"1606","scum advice ","Negative",1
"1607","good signal ","Positive",1
"1608","phone latest ","Neutral",1
"1609","sent item ","Neutral",1
"1610","later thing ","Neutral",1
"1611","uses"", ""mobile ","Neutral",1
"1612","advice avoid ","Negative",1
"1613","service network ","Neutral",1
"1614","quid know ","Neutral",1
"1615","waited line ","Neutral",1
"1616","anger management ","Negative",1
"1617","software mobile ","Neutral",1
"1618","o network ","Neutral",1
"1619","day surprise ","Positive",1
"1620","without repairing ","Neutral",1
"1621","expected cough ","Negative",1
"1622","electronic equipment ","Neutral",1
"1623","early termination ","Negative",1
"1624","diabetic suffer ","Negative",1
"1625","free charge ","Positive",1
"1626","also needed ","Neutral",1
"1627","
""contacted cancel ","Negative",1
"1628","days new ","Positive",1
"1629","may experiencing ","Neutral",1
"1630","day pc ","Neutral",1
"1631","important couple ","Positive",1
"1632","negative thing ","Negative",1
"1633","anticonsumer friendly ","Positive",1
"1634","doubt since ","Negative",1
"1635","stunned phone ","Negative",1
"1636","now seem ","Neutral",1
"1637","company impossible ","Negative",1
"1638","obtain signatures ","Neutral",1
"1639","th contacted ","Neutral",1
"1640","wouldnt bothered"", ","Negative",1
"1641","uk recently ","Neutral",1
"1642","providing recipe ","Positive",1
"1643","limit exceeded ","Positive",1
"1644","contract phone ","Neutral",1
"1645","ever possible ","Neutral",1
"1646","help said ","Neutral",1
"1647","screen almost ","Neutral",1
"1648","found favour ","Positive",1
"1649","week something ","Neutral",1
"1650","come along ","Neutral",1
"1651","shoplifters staff ","Neutral",1
"1652","engine running ","Neutral",1
"1653","display now ","Neutral",1
"1654","well know ","Positive",1
"1655","like mobile ","Positive",1
"1656","voicemail reported ","Neutral",1
"1657","life reduces ","Neutral",1
"1658","seeing service ","Neutral",1
"1659","outside eu ","Neutral",1
"1660","helston cornwall ","Neutral",1
"1661","warranty load ","Positive",1
"1662","mobile arm ","Neutral",1
"1663","""imbociles customer ","Neutral",1
"1664","expected give ","Neutral",1
"1665","used wanted ","Neutral",1
"1666","order access ","Neutral",1
"1667","started notice ","Neutral",1
"1668","like done ","Positive",1
"1669","practices claim ","Neutral",1
"1670","energy dilemmas ","Neutral",1
"1671","pulled fast ","Neutral",1
"1672","entity subliminally ","Positive",1
"1673","maybe japanese ","Neutral",1
"1674","much care ","Positive",1
"1675","waited hour ","Neutral",1
"1676","old dropped ","Neutral",1
"1677","tescomobile must ","Neutral",1
"1678","mobile saw ","Neutral",1
"1679","lady told ","Neutral",1
"1680","unable call ","Negative",1
"1681","service missus ","Neutral",1
"1682","simplest information ","Positive",1
"1683","due atmospheric ","Neutral",1
"1684","month total ","Neutral",1
"1685","since now ","Neutral",1
"1686","reduces mobile ","Neutral",1
"1687","back following ","Neutral",1
"1688","terminate contract ","Negative",1
"1689","emails wrote ","Neutral",1
"1690","night longer ","Neutral",1
"1691","payments sending ","Neutral",1
"1692","problems connection ","Negative",1
"1693","money now ","Positive",1
"1694","plan suits ","Neutral",1
"1695","little problem ","Negative",1
"1696","theft becomes ","Negative",1
"1697","message call ","Neutral",1
"1698","started check ","Neutral",1
"1699","signed even ","Neutral",1
"1700","considering new ","Positive",1
"1701","payment early ","Negative",1
"1702","rubbish dislike ","Negative",1
"1703","service must ","Neutral",1
"1704","expect give ","Positive",1
"1705","like plague"", ","Neutral",1
"1706","flat rate ","Neutral",1
"1707","go one ","Neutral",1
"1708","failed honour ","Negative",1
"1709","making phone ","Neutral",1
"1710","though actually ","Neutral",1
"1711","lumia yes ","Positive",1
"1712","empire bombarded ","Neutral",1
"1713","gladly go ","Positive",1
"1714","heart empire ","Neutral",1
"1715","experience ever ","Neutral",1
"1716","refund £ ","Positive",1
"1717","much better ","Positive",1
"1718","british provider ","Neutral",1
"1719","characters maybe ","Neutral",1
"1720","became aware ","Neutral",1
"1721","media revenge ","Negative",1
"1722","four unlocking ","Neutral",1
"1723","gb data ","Neutral",1
"1724","delivery phone ","Positive",1
"1725","seems diminished ","Negative",1
"1726","without kind ","Positive",1
"1727","invoice purchase ","Positive",1
"1728","back say ","Neutral",1
"1729","heard went ","Neutral",1
"1730","talk valued ","Positive",1
"1731","notice home ","Neutral",1
