"","wordcloud_bigram_vo$ngrams","cat_sent_vo","wordcloud_bigram_vo$freq"
"9617","even taking ","Neutral",2
"9618","trying money ","Positive",2
"9619","old ones ","Neutral",2
"9620","charge us ","Neutral",2
"9621","router back ","Neutral",2
"9622","situation agreed ","Positive",2
"9623","asking going ","Neutral",2
"9624","vod network ","Neutral",2
"9625","go whole ","Neutral",2
"9626","numbers free ","Positive",2
"9627","also wanted ","Neutral",2
"9628","asked numerous ","Neutral",2
"9629","branch manager ","Neutral",2
"9630","unacceptable behaviour ","Negative",2
"9631","call offer ","Positive",2
"9632","scamming company ","Neutral",2
"9633","years make ","Neutral",2
"9634","service phoned ","Neutral",2
"9635","blank screen ","Neutral",2
"9636","agreed another ","Positive",2
"9637","call reference ","Neutral",2
"9638","never connected ","Neutral",2
"9639","outrageous customer ","Negative",2
"9640","contract yet ","Neutral",2
"9641","change home ","Neutral",2
"9642","reputation company ","Neutral",2
"9643","phone wasted ","Negative",2
"9644","call anyone ","Neutral",2
"9645","
""avoid costs ","Negative",2
"9646","never consider ","Neutral",2
"9647","data mins ","Neutral",2
"9648","listen calls ","Neutral",2
"9649","th every ","Neutral",2
"9650","charging data ","Neutral",2
"9651","citizens advice ","Neutral",2
"9652","connect mobile ","Neutral",2
"9653","staff help ","Neutral",2
"9654","code transfer ","Neutral",2
"9655","signal got ","Neutral",2
"9656","cost fortune ","Positive",2
"9657","add gb ","Neutral",2
"9658","care se ","Positive",2
"9659","making excuses ","Negative",2
"9660","supposedly going ","Neutral",2
"9661","light go ","Neutral",2
"9662","taken bill ","Neutral",2
"9663","repeating times ","Neutral",2
"9664","never write ","Neutral",2
"9665","pen paper ","Neutral",2
"9666","nine days ","Neutral",2
"9667","day last ","Neutral",2
"9668","english told ","Neutral",2
"9669","away"", ""worst ","Negative",2
"9670","issue refund ","Positive",2
"9671","stop service ","Negative",2
"9672","back nearly ","Neutral",2
"9673","data pack ","Neutral",2
"9674","""give less ","Neutral",2
"9675","delivery problems ","Positive",2
"9676","issue times ","Neutral",2
"9677","hours working ","Positive",2
"9678","rate pay ","Negative",2
"9679","hard earned ","Negative",2
"9680","calls asking ","Neutral",2
"9681","hours work ","Positive",2
"9682","still ongoing ","Neutral",2
"9683","though d ","Neutral",2
"9684","date confirmed ","Positive",2
"9685","reads previous ","Neutral",2
"9686","today never ","Neutral",2
"9687","end next ","Neutral",2
"9688","next working ","Positive",2
"9689","time anyone ","Neutral",2
"9690","suddenly got ","Neutral",2
"9691","team threatening ","Negative",2
"9692","recieved email ","Neutral",2
"9693","guys absolutely ","Neutral",2
"9694","since moving ","Neutral",2
"9695","good luck"", ","Positive",2
"9696","made told ","Neutral",2
"9697","lot waiting ","Neutral",2
"9698","thier staff ","Neutral",2
"9699","give correct ","Positive",2
"9700","straight complaints ","Negative",2
"9701","told way ","Neutral",2
"9702","need come ","Neutral",2
"9703","account agent ","Neutral",2
"9704","experience pay ","Negative",2
"9705","line refund ","Positive",2
"9706","deal pay ","Positive",2
"9707","requested refund ","Positive",2
"9708","dealt company ","Neutral",2
"9709","problem left ","Negative",2
"9710","nothing worry ","Negative",2
"9711","things different ","Neutral",2
"9712","told contacted ","Neutral",2
"9713","package call ","Neutral",2
"9714","said technical ","Neutral",2
"9715","five days ","Neutral",2
"9716","repeatedly lying ","Negative",2
"9717","white spots ","Positive",2
"9718","data whilst ","Neutral",2
"9719","lost faith ","Negative",2
"9720","whilst holiday ","Positive",2
"9721","spent week ","Negative",2
"9722","enter property ","Neutral",2
"9723","across europe ","Neutral",2
"9724","number calling ","Neutral",2
"9725","time want ","Neutral",2
"9726","phone using ","Neutral",2
"9727","service suddenly ","Neutral",2
"9728","now agreed ","Positive",2
"9729","weeks cut ","Negative",2
"9730","ever avoid ","Negative",2
"9731","month charging ","Neutral",2
"9732","useless now ","Negative",2
"9733","sky willing ","Positive",2
"9734","gives u ","Neutral",2
"9735","call m ","Neutral",2
"9736","phone replaced ","Neutral",2
"9737","ordering new ","Positive",2
"9738","leg stand ","Neutral",2
"9739","recorded call ","Neutral",2
"9740","network sucks ","Negative",2
"9741","man phone ","Neutral",2
"9742","fault fact ","Negative",2
"9743","help set ","Neutral",2
"9744","chatted refused ","Negative",2
"9745","charges call ","Neutral",2
"9746","still online ","Neutral",2
"9747","wifi took ","Neutral",2
"9748","receive handset ","Neutral",2
"9749","months using ","Neutral",2
"9750","days earlier ","Neutral",2
"9751","mth contract ","Neutral",2
"9752","months went ","Neutral",2
"9753","never gets ","Neutral",2
"9754","sort compensation ","Neutral",2
"9755","deal mobile ","Positive",2
"9756","ample opportunity ","Positive",2
"9757","called yet ","Neutral",2
"9758","price one ","Neutral",2
"9759","went told ","Neutral",2
"9760","customers happy ","Positive",2
"9761","make deal ","Positive",2
"9762","spent nearly ","Negative",2
"9763","telling order ","Neutral",2
"9764","company actually ","Neutral",2
"9765","s error ","Negative",2
"9766","consumers issues ","Neutral",2
"9767","company staff ","Neutral",2
"9768","realised made ","Neutral",2
"9769","shocking behaviour ","Negative",2
"9770","messages even ","Neutral",2
"9771","company say ","Neutral",2
"9772","asked move ","Neutral",2
"9773","use chat ","Neutral",2
"9774","able answer ","Neutral",2
"9775","day th ","Neutral",2
"9776","longstanding customer ","Neutral",2
"9777","text stating ","Neutral",2
"9778","full time ","Neutral",2
"9779","try follow ","Neutral",2
"9780","phoned find ","Neutral",2
"9781","top bill ","Neutral",2
"9782","speed lower ","Neutral",2
"9783","customers offer ","Positive",2
"9784","guess one ","Neutral",2
"9785","able provide ","Positive",2
"9786","thought sorted ","Neutral",2
"9787","switch work ","Positive",2
"9788","days m ","Neutral",2
"9789","mobile hotspot ","Neutral",2
"9790","one spoke ","Neutral",2
"9791","also says ","Neutral",2
"9792","call man ","Neutral",2
"9793","problem store ","Negative",2
"9794","hard believe ","Negative",2
"9795","told tough ","Positive",2
"9796","time new ","Positive",2
"9797","go still ","Neutral",2
"9798","may well ","Positive",2
"9799","contact twitter ","Positive",2
"9800","caused much ","Neutral",2
"9801","taken th ","Neutral",2
"9802","failed provide ","Positive",2
"9803","use recommend ","Positive",2
"9804","got promised ","Positive",2
"9805","update system ","Neutral",2
"9806","service however ","Neutral",2
"9807","network really ","Neutral",2
"9808","joining please ","Positive",2
"9809","go recommend ","Positive",2
"9810","place broadband ","Neutral",2
"9811","since activated ","Neutral",2
"9812","etc nothing ","Neutral",2
"9813","paying much ","Neutral",2
"9814","signed service ","Neutral",2
"9815","situation said ","Neutral",2
"9816","please anyone ","Positive",2
"9817","good review ","Positive",2
"9818","basically useless ","Negative",2
"9819","service feel ","Neutral",2
"9820","contracts bill ","Neutral",2
"9821","uk said ","Neutral",2
"9822","company scam ","Negative",2
"9823","day let ","Neutral",2
"9824","scottish accent ","Neutral",2
"9825","issue say ","Neutral",2
"9826","s plus ","Neutral",2
"9827","last three ","Neutral",2
"9828","one lady ","Neutral",2
"9829","refund never ","Positive",2
"9830","thursday th ","Neutral",2
"9831","day able ","Neutral",2
"9832","even took ","Neutral",2
"9833","upfront charge ","Neutral",2
"9834","finally offered ","Positive",2
"9835","online called ","Neutral",2
"9836","agency letter ","Neutral",2
"9837","say customer ","Neutral",2
"9838","bad years ","Negative",2
"9839","t tell ","Neutral",2
"9840","o never ","Neutral",2
"9841","tells due ","Neutral",2
"9842","yet received ","Positive",2
"9843","love know ","Positive",2
"9844","last person ","Neutral",2
"9845","eventually put ","Neutral",2
"9846","made many ","Neutral",2
"9847","received cancellation ","Positive",2
"9848","without trade ","Neutral",2
"9849","team end ","Neutral",2
"9850","network strongly ","Positive",2
"9851","contract well ","Positive",2
"9852","upgrade got ","Neutral",2
"9853","rude saying ","Negative",2
"9854","different reasons ","Neutral",2
"9855","customers way ","Neutral",2
"9856","said sorted ","Neutral",2
"9857","getting cut ","Negative",2
"9858","still stuck ","Negative",2
"9859","one even ","Neutral",2
"9860","bills due ","Neutral",2
"9861","money want ","Positive",2
"9862","enough reason ","Positive",2
"9863","touch tell ","Neutral",2
"9864","every opportunity ","Positive",2
"9865","phone hand ","Neutral",2
"9866","information regarding ","Positive",2
"9867","ever experienced"", ","Positive",2
"9868","internet customer ","Neutral",2
"9869","connection running ","Neutral",2
"9870","code keep ","Neutral",2
"9871","offering call ","Neutral",2
"9872","sign new ","Positive",2
"9873","payment overdue ","Negative",2
"9874","deal insurance ","Positive",2
"9875","engineer fix ","Neutral",2
"9876","£ credited ","Positive",2
"9877","managed back ","Neutral",2
"9878","keep share ","Positive",2
"9879","anything made ","Neutral",2
"9880","prepaid customer ","Neutral",2
"9881","us without ","Neutral",2
"9882","support always ","Positive",2
"9883","phone blacklisted ","Neutral",2
"9884","ombudsman make ","Neutral",2
"9885","though fault ","Negative",2
"9886","said oh ","Neutral",2
"9887","account new ","Positive",2
"9888","t phones ","Neutral",2
"9889","later promised ","Positive",2
"9890","ability make ","Positive",2
"9891","router said ","Neutral",2
"9892","team friday ","Neutral",2
"9893","really attempting ","Neutral",2
"9894","given previous ","Neutral",2
"9895","amount credited ","Positive",2
"9896","feel though ","Neutral",2
"9897","upgrade cancelled ","Negative",2
"9898","left hold ","Neutral",2
"9899","team take ","Neutral",2
"9900","november contract ","Neutral",2
"9901","phone adviser ","Positive",2
"9902","brilliant never ","Positive",2
"9903","team another ","Neutral",2
"9904","going delivered ","Neutral",2
"9905","absolute mess ","Negative",2
"9906","£ watch ","Neutral",2
"9907","poor communication ","Negative",2
"9908","complaint ombudsman ","Negative",2
"9909","waiting speak ","Neutral",2
"9910","give run ","Neutral",2
"9911","spent hold ","Negative",2
"9912","second call ","Neutral",2
"9913","chat first ","Neutral",2
"9914","s stock ","Neutral",2
"9915","ever available ","Positive",2
"9916","customer offer ","Positive",2
"9917","know deal ","Positive",2
"9918","things one ","Neutral",2
"9919","service record ","Neutral",2
"9920","working within ","Positive",2
"9921","act together ","Neutral",2
"9922","nightmare deal ","Negative",2
"9923","d heard ","Neutral",2
"9924","account left ","Neutral",2
"9925","got point ","Neutral",2
"9926","bills direct ","Neutral",2
"9927","calling work ","Positive",2
"9928","ee years ","Neutral",2
"9929","never"", ""give ","Neutral",2
"9930","send cost ","Neutral",2
"9931","reason even ","Positive",2
"9932","us £ ","Neutral",2
"9933","store spoke ","Neutral",2
"9934","tried top ","Neutral",2
"9935","company told ","Neutral",2
"9936","complete nightmare ","Negative",2
"9937","someone team ","Neutral",2
"9938","pay time ","Negative",2
"9939","calling mate ","Positive",2
"9940","""avoid like ","Neutral",2
"9941","town hall ","Neutral",2
"9942","change postpaid ","Neutral",2
"9943","phone therefore ","Neutral",2
"9944","got wait ","Negative",2
"9945","now give ","Neutral",2
"9946","broadband nothing ","Neutral",2
"9947","month line ","Neutral",2
"9948","spending hour ","Neutral",2
"9949","telling lies ","Negative",2
"9950","still problems ","Negative",2
"9951","choice pay ","Positive",2
"9952","fixed come ","Neutral",2
"9953","service exist ","Neutral",2
"9954","without access ","Neutral",2
"9955","error months ","Negative",2
"9956","vodaphone emailed ","Neutral",2
"9957","check account ","Neutral",2
"9958","want move ","Neutral",2
"9959","years couple ","Neutral",2
"9960","debit taken ","Neutral",2
"9961","running tomorrow ","Neutral",2
"9962","update contract ","Neutral",2
"9963","look elsewhere ","Neutral",2
"9964","code ordered ","Neutral",2
"9965","contract never"", ","Neutral",2
"9966","connected next ","Neutral",2
"9967","s right ","Positive",2
"9968","charges going ","Neutral",2
"9969","work sim ","Positive",2
"9970","free months ","Positive",2
"9971","
""absolutely worst ","Negative",2
"9972","deal bought ","Positive",2
"9973","month cut ","Negative",2
"9974","avoid company"", ","Negative",2
"9975","international calling ","Neutral",2
"9976","network going ","Neutral",2
"9977","really mean ","Neutral",2
"9978","credit back ","Positive",2
"9979","payg phone ","Neutral",2
"9980","resolve matter ","Positive",2
"9981","march called ","Neutral",2
"9982","charged nearly ","Neutral",2
"9983","service without ","Neutral",2
"9984","s bad ","Negative",2
"9985","fibre connection ","Neutral",2
"9986","always found ","Positive",2
"9987","speed network ","Neutral",2
"9988","tariff extra ","Positive",2
"9989","day someone ","Neutral",2
"9990","details said ","Neutral",2
"9991","service beyond ","Neutral",2
"9992","properly since ","Positive",2
"9993","pay issues ","Negative",2
"9994","back seriously ","Neutral",2
"9995","customer services"", ","Neutral",2
"9996","site takes ","Neutral",2
"9997","resolve things ","Positive",2
"9998","favour go ","Neutral",2
"9999","left years ","Neutral",2
"10000","taxi driver ","Neutral",2
"10001","sim due ","Neutral",2
"10002","money went ","Positive",2
"10003","closed pm ","Neutral",2
"10004","dealt avoid ","Negative",2
"10005","company got ","Neutral",2
"10006","three calls ","Neutral",2
"10007","sure one ","Neutral",2
"10008","number transferred ","Neutral",2
"10009","texts emails ","Neutral",2
"10010","sim plans ","Neutral",2
"10011","cancellation request ","Neutral",2
"10012","time last ","Neutral",2
"10013","customer £ ","Neutral",2
"10014","experienced customer ","Positive",2
"10015","still disconnected ","Negative",2
"10016","due next ","Neutral",2
"10017","return envelope ","Neutral",2
"10018","tried phone ","Neutral",2
"10019","messages saying ","Neutral",2
"10020","messed took ","Negative",2
"10021","trying change ","Neutral",2
"10022","got restricted ","Negative",2
"10023","ha ha ","Neutral",2
"10024","plan free ","Positive",2
"10025","victoria street ","Neutral",2
"10026","left hand ","Neutral",2
"10027","company speak ","Neutral",2
"10028","broadband called ","Neutral",2
"10029","purchased new ","Positive",2
"10030","gave minutes ","Neutral",2
"10031","gone back ","Neutral",2
"10032","spent waiting ","Negative",2
"10033","like liar ","Negative",2
"10034","call come ","Neutral",2
"10035","utterly appalling ","Negative",2
"10036","data took ","Neutral",2
"10037","long conversations ","Neutral",2
"10038","mile round ","Neutral",2
"10039","account hours ","Neutral",2
"10040","error nothing ","Negative",2
"10041","though asked ","Neutral",2
"10042","customer avoid ","Negative",2
"10043","better phone ","Positive",2
"10044","worries recreate ","Negative",2
"10045","needed internet ","Neutral",2
"10046","issues arise ","Neutral",2
"10047","
""absolutely useless ","Negative",2
"10048","back staff ","Neutral",2
"10049","always polite ","Positive",2
"10050","internet mobile ","Neutral",2
"10051","going completely ","Positive",2
"10052","however case ","Neutral",2
"10053","poor experience ","Negative",2
"10054","data caps ","Neutral",2
"10055","billing amount ","Neutral",2
"10056","phone upgraded ","Positive",2
"10057","already taken ","Neutral",2
"10058","data overseas ","Neutral",2
"10059","say s ","Neutral",2
"10060","speaking manager ","Neutral",2
"10061","happened said ","Neutral",2
"10062","days due ","Neutral",2
"10063","snack games ","Positive",2
"10064","getting sorted ","Neutral",2
"10065","service shocking"", ","Negative",2
"10066","back guess ","Neutral",2
"10067","home longer ","Neutral",2
"10068","say like ","Positive",2
"10069","since april ","Neutral",2
"10070","day next ","Neutral",2
"10071","calls tell ","Neutral",2
"10072","promised speed ","Positive",2
"10073","time later ","Neutral",2
"10074","high hopes ","Positive",2
"10075","things want ","Neutral",2
"10076","contract law ","Neutral",2
"10077","store store ","Neutral",2
"10078","happened tried ","Neutral",2
"10079","went week ","Neutral",2
"10080","taking ages ","Neutral",2
"10081","talk customer ","Positive",2
"10082","end earlier ","Neutral",2
"10083","team based ","Neutral",2
"10084","phone say ","Neutral",2
"10085","hrs waiting ","Neutral",2
"10086","new place ","Positive",2
"10087","stay line ","Neutral",2
"10088","broadband deal ","Positive",2
"10089","decent g ","Positive",2
"10090","said payment ","Negative",2
"10091","getting really ","Neutral",2
"10092","costs unless ","Neutral",2
"10093","settings still ","Neutral",2
"10094","spent min ","Negative",2
"10095","sending screenshots ","Neutral",2
"10096","problem yet ","Negative",2
"10097","number time ","Neutral",2
"10098","friday pm ","Neutral",2
"10099","cause ve ","Neutral",2
"10100","give false ","Negative",2
"10101","still activated ","Neutral",2
"10102","now customer ","Neutral",2
"10103","though l ","Neutral",2
"10104","phone apparently ","Neutral",2
"10105","contract spent ","Negative",2
"10106","lose job ","Negative",2
"10107","time keep ","Neutral",2
"10108","security check ","Neutral",2
"10109","year absolutely ","Neutral",2
"10110","bought broadband ","Neutral",2
"10111","chat waited ","Neutral",2
"10112","mistake took ","Negative",2
"10113","went away ","Neutral",2
"10114","customers trust ","Positive",2
"10115","sell something ","Neutral",2
"10116","let contract ","Neutral",2
"10117","order system ","Neutral",2
"10118","give bad ","Negative",2
"10119","racking £ ","Neutral",2
"10120","cant unlock ","Neutral",2
"10121","insurance now ","Neutral",2
"10122","previously sold ","Neutral",2
"10123","write review ","Neutral",2
"10124","now well ","Positive",2
"10125","rip offs ","Negative",2
"10126","go process ","Neutral",2
"10127","per phone ","Neutral",2
"10128","saying must ","Neutral",2
"10129","now stuck ","Negative",2
"10130","wish choose ","Positive",2
"10131","contract discount ","Neutral",2
"10132","deduct balance ","Positive",2
"10133","come today ","Neutral",2
"10134","trying offer ","Positive",2
"10135","poorest services ","Negative",2
"10136","refused put ","Negative",2
"10137","sim got ","Neutral",2
"10138","day two ","Neutral",2
"10139","problems took ","Negative",2
"10140","now fault ","Negative",2
"10141","problem within ","Negative",2
"10142","cut paying ","Negative",2
"10143","wanted top ","Neutral",2
"10144","
""good network ","Positive",2
"10145","company back ","Neutral",2
"10146","previous month ","Neutral",2
"10147","confirmation contract ","Neutral",2
"10148","mobile telephone ","Neutral",2
"10149","telecoms company ","Neutral",2
"10150","year told ","Neutral",2
"10151","experience never ","Neutral",2
"10152","phone almost ","Neutral",2
"10153","router wrong ","Negative",2
"10154","network"", ""avoid ","Negative",2
"10155","gb two ","Neutral",2
"10156","wifi router ","Neutral",2
"10157","back cant ","Neutral",2
"10158","deal new ","Positive",2
"10159","lie time ","Negative",2
"10160","ahmed karim ","Neutral",2
"10161","
""left years ","Neutral",2
"10162","switched data ","Neutral",2
"10163","later check ","Neutral",2
"10164","purchased £ ","Neutral",2
"10165","hard sell ","Negative",2
"10166","higher speed ","Neutral",2
"10167","
""months ago ","Neutral",2
"10168","enough also ","Negative",2
"10169","th still ","Neutral",2
"10170","major providers ","Positive",2
"10171","business customers ","Neutral",2
"10172","give internet ","Neutral",2
"10173","first adviser ","Positive",2
"10174","time always ","Neutral",2
"10175","another week ","Neutral",2
"10176","sick note ","Negative",2
"10177","waited hours ","Neutral",2
"10178","problem router ","Negative",2
"10179","cost company ","Neutral",2
"10180","sure let ","Neutral",2
"10181","current provider ","Neutral",2
"10182","line installed ","Neutral",2
"10183","understand situation ","Neutral",2
"10184","service tech ","Neutral",2
"10185","thought sign ","Neutral",2
"10186","monthly costs ","Neutral",2
"10187","called straight ","Positive",2
"10188","rest weekend ","Neutral",2
"10189","pay months ","Negative",2
"10190","filled online ","Neutral",2
"10191","also add ","Neutral",2
"10192","internet day ","Neutral",2
"10193","due contract ","Neutral",2
"10194","day rang ","Neutral",2
"10195","£ first ","Neutral",2
"10196","service assistant ","Neutral",2
"10197","less original ","Neutral",2
"10198","car phone ","Neutral",2
"10199","save month ","Positive",2
"10200","months keep ","Neutral",2
"10201","something even ","Neutral",2
"10202","start another ","Neutral",2
"10203","refund saying ","Positive",2
"10204","original price ","Neutral",2
"10205","contact yet ","Positive",2
"10206","line running ","Neutral",2
"10207","system keeps ","Neutral",2
"10208","went sim ","Neutral",2
"10209","later phoned ","Neutral",2
"10210","good signal ","Positive",2
"10211","extend contract"", ","Positive",2
"10212","reads customers ","Neutral",2
"10213","bt engineer ","Neutral",2
"10214","communication different ","Neutral",2
"10215","change ee ","Neutral",2
"10216","thing done ","Neutral",2
"10217","instead call ","Neutral",2
"10218","cancellation due ","Neutral",2
"10219","whilst usa ","Neutral",2
"10220","service laughed ","Positive",2
"10221","data turned ","Neutral",2
"10222","late still ","Negative",2
"10223","now call ","Neutral",2
"10224","month year ","Neutral",2
"10225","seem stop ","Negative",2
"10226","issue due ","Neutral",2
"10227","makes wonder ","Neutral",2
"10228","see fault ","Negative",2
"10229","saying account ","Neutral",2
"10230","spoke nice ","Positive",2
"10231","need start ","Neutral",2
"10232","fix took ","Neutral",2
"10233","guess happened ","Neutral",2
"10234","every chance ","Positive",2
"10235","touch told ","Neutral",2
"10236","helpful made ","Positive",2
"10237","years thought ","Neutral",2
"10238","said ll ","Neutral",2
"10239","company"", 
""terrible ","Negative",2
"10240","far trying ","Neutral",2
"10241","even tho ","Neutral",2
"10242","dont dont ","Neutral",2
"10243","£ towards ","Neutral",2
"10244","come bank ","Neutral",2
"10245","today cancel ","Negative",2
"10246","friendly helpful ","Positive",2
"10247","issues take ","Neutral",2
"10248","away lied ","Negative",2
"10249","working hard ","Neutral",2
"10250","waited couple ","Neutral",2
"10251","gave benefit ","Positive",2
"10252","think customers ","Neutral",2
"10253","call issue ","Neutral",2
"10254","computer screen ","Neutral",2
"10255","keep happening ","Neutral",2
"10256","vodaphone since ","Neutral",2
"10257","find happening ","Neutral",2
"10258","waited line ","Neutral",2
"10259","shocking broadband ","Negative",2
"10260","money way ","Positive",2
"10261","really needed ","Neutral",2
"10262","letter arrives ","Neutral",2
"10263","problem promised ","Negative",2
"10264","company know ","Neutral",2
"10265","almost two ","Neutral",2
"10266","notes lengthy ","Negative",2
"10267","ever avoid"", ","Negative",2
"10268","account almost ","Neutral",2
"10269","even getting ","Neutral",2
"10270","even going ","Neutral",2
"10271","network soon ","Neutral",2
"10272","thing another ","Neutral",2
"10273","soon enough ","Negative",2
"10274","nice words ","Positive",2
"10275","booked engineer ","Neutral",2
"10276","called next ","Neutral",2
"10277","month took ","Neutral",2
"10278","cancelled service ","Negative",2
"10279","able cancel ","Negative",2
"10280","stay contract ","Neutral",2
"10281","times years ","Neutral",2
"10282","cheap deal ","Negative",2
"10283","spent years ","Negative",2
"10284","try luck ","Positive",2
"10285","t act ","Neutral",2
"10286","company closed ","Neutral",2
"10287","pin number ","Neutral",2
"10288","charges also ","Neutral",2
"10289","week told ","Neutral",2
"10290","taking broadband ","Neutral",2
"10291","somewhere else ","Neutral",2
"10292","despite promised ","Positive",2
"10293","told refunded ","Positive",2
"10294","activated without ","Neutral",2
"10295","similar issues ","Neutral",2
"10296","outright scam ","Negative",2
"10297","uses bt ","Neutral",2
"10298","go services ","Neutral",2
"10299","around something ","Neutral",2
"10300","web chats ","Neutral",2
"10301","short term ","Neutral",2
"10302","speed guarantee ","Positive",2
"10303","next weeks ","Neutral",2
"10304","truly horrible ","Negative",2
"10305","cancelled spoke ","Negative",2
"10306","try someone ","Neutral",2
"10307","escalation team ","Neutral",2
"10308","s name ","Neutral",2
"10309","high prices ","Neutral",2
"10310","broadband nd ","Neutral",2
"10311","also one ","Neutral",2
"10312","still call ","Neutral",2
"10313","using chat ","Neutral",2
"10314","wifi absolutely ","Neutral",2
"10315","told removed ","Neutral",2
"10316","website find ","Neutral",2
"10317","additional cost ","Positive",2
"10318","treated poorly ","Negative",2
"10319","shop still ","Neutral",2
"10320","days original ","Neutral",2
"10321","try cancel ","Negative",2
"10322","find charged ","Neutral",2
"10323","services limited ","Negative",2
"10324","now money ","Positive",2
"10325","happened yet ","Neutral",2
"10326","lied constantly ","Negative",2
"10327","phone resolve ","Positive",2
"10328","increased bill ","Positive",2
"10329","find another ","Neutral",2
"10330","happened cancelled ","Negative",2
"10331","changed mind ","Neutral",2
"10332","st december ","Neutral",2
"10333","highly suggest ","Neutral",2
"10334","screwed phone ","Negative",2
"10335","early cancellation ","Neutral",2
"10336","told id ","Neutral",2
"10337","easy way ","Positive",2
"10338","cost provided ","Neutral",2
"10339","kept charged ","Neutral",2
"10340","store assured ","Positive",2
"10341","really poor ","Negative",2
"10342","needed change ","Neutral",2
"10343","online want ","Neutral",2
"10344","colleague asked ","Neutral",2
"10345","month front ","Neutral",2
"10346","data apparently ","Neutral",2
"10347","trying take ","Neutral",2
"10348","installed th ","Neutral",2
"10349","staff friendly ","Positive",2
"10350","bill trying ","Neutral",2
"10351","delivered dpd ","Neutral",2
"10352","going issues ","Neutral",2
"10353","company continues ","Neutral",2
"10354","sir see ","Positive",2
"10355","may try ","Neutral",2
"10356","painful process ","Negative",2
"10357","acceptable response ","Positive",2
"10358","money provide ","Positive",2
"10359","countries including ","Positive",2
"10360","chat good ","Positive",2
"10361","day arranged ","Neutral",2
"10362","now cant ","Neutral",2
"10363","days times ","Neutral",2
"10364","help said ","Neutral",2
"10365","asked someone ","Neutral",2
"10366","time upgrade ","Neutral",2
"10367","causing problems ","Negative",2
"10368","care answering ","Positive",2
"10369","go months ","Neutral",2
"10370","contract soon ","Neutral",2
"10371","impossible resolve ","Positive",2
"10372","resolve issue"", ","Positive",2
"10373","lose many ","Negative",2
"10374","know given ","Neutral",2
"10375","recieve text ","Neutral",2
"10376","online tried ","Neutral",2
"10377","still rectified ","Neutral",2
"10378","cant access ","Neutral",2
"10379","option one ","Positive",2
"10380","work take ","Positive",2
"10381","provider"", ""customer ","Neutral",2
"10382","staff kept ","Neutral",2
"10383","back one ","Neutral",2
"10384","re still ","Neutral",2
"10385","data mobile ","Neutral",2
"10386","tell oh ","Neutral",2
"10387","decided end ","Neutral",2
"10388","£ wifi ","Neutral",2
"10389","need take ","Neutral",2
"10390","low cost ","Neutral",2
"10391","now guess ","Neutral",2
"10392","might slightly ","Neutral",2
"10393","help advised ","Neutral",2
"10394","promised send ","Positive",2
"10395","worse network ","Negative",2
"10396","purchase received ","Positive",2
"10397","£ deal ","Positive",2
"10398","refused anything ","Negative",2
"10399","received past ","Positive",2
"10400","help call ","Neutral",2
"10401","precious time ","Positive",2
"10402","going one ","Neutral",2
"10403","advice stay ","Neutral",2
"10404","even begin ","Neutral",2
"10405","back confirm ","Neutral",2
"10406","worst enemy ","Negative",2
"10407","issue last ","Neutral",2
"10408","want help ","Neutral",2
"10409","days rang ","Neutral",2
"10410","
""cold called ","Negative",2
"10411","south africa ","Neutral",2
"10412","recently bought ","Neutral",2
"10413","members team ","Neutral",2
"10414","s store ","Neutral",2
"10415","connection th ","Neutral",2
"10416","service found ","Positive",2
"10417","times day ","Neutral",2
"10418","review account ","Neutral",2
"10419","broadband router ","Neutral",2
"10420","even care ","Positive",2
"10421","customer information ","Positive",2
"10422","calls problem ","Negative",2
"10423","number business ","Neutral",2
"10424","also spent ","Negative",2
"10425","hr mins ","Neutral",2
"10426","concept customer ","Positive",2
"10427","plan month ","Neutral",2
"10428","always charged ","Neutral",2
"10429","time sort ","Neutral",2
"10430","like done ","Positive",2
"10431","slow g ","Negative",2
"10432","email within ","Neutral",2
"10433","work told ","Positive",2
"10434","letting know ","Neutral",2
"10435","service may ","Neutral",2
"10436","later find ","Neutral",2
"10437","service pay ","Negative",2
"10438","refuse put ","Negative",2
"10439","matter ombudsman ","Neutral",2
"10440","taking phone ","Neutral",2
"10441","deal situation ","Positive",2
"10442","anything avoid ","Negative",2
"10443","hide behind ","Neutral",2
"10444","contact within ","Positive",2
"10445","paid even ","Neutral",2
"10446","delivered called ","Neutral",2
"10447","back asap"", ","Neutral",2
"10448","hear went ","Neutral",2
"10449","spoke said ","Neutral",2
"10450","happen ever ","Neutral",2
"10451","saying ve ","Neutral",2
"10452","want renew ","Neutral",2
"10453","deliver phone ","Neutral",2
"10454","away even ","Neutral",2
"10455","contacted back ","Neutral",2
"10456","agree reviews ","Positive",2
"10457","enough got ","Negative",2
"10458","plus years ","Neutral",2
"10459","one seems ","Neutral",2
"10460","afternoon slot ","Neutral",2
"10461","told going ","Neutral",2
"10462","solved yet ","Positive",2
"10463","network company ","Neutral",2
"10464","rpi increase ","Positive",2
"10465","gone pay ","Negative",2
"10466","choose delivery ","Positive",2
"10467","month know ","Neutral",2
"10468","asked give ","Neutral",2
"10469","many mistakes ","Negative",2
"10470","text someone ","Neutral",2
"10471","got old ","Neutral",2
"10472","account overdue ","Negative",2
"10473","honestly thought ","Neutral",2
"10474","£ transfer ","Neutral",2
"10475","time giving ","Positive",2
"10476","got another ","Neutral",2
"10477","contact go ","Positive",2
"10478","£ leave ","Negative",2
