"","wordcloud_bigram_vo$ngrams","cat_sent_vo","wordcloud_bigram_vo$freq"
"212","phone still ","Neutral",16
"213","monthly bill ","Neutral",16
"214","experience ever ","Neutral",16
"215","provider ever ","Neutral",16
"216","contract years ","Neutral",16
"217","account closed ","Neutral",16
"218","terrible customer ","Negative",16
"219","service received ","Positive",15
"220","never happened ","Neutral",15
"221","advise anyone ","Positive",15
"222","£ phone ","Neutral",15
"223","calls texts ","Neutral",15
"224","th november ","Neutral",15
"225","avoid costs"", ","Negative",15
"226","speak someone ","Neutral",15
"227","go live ","Neutral",15
"228","good deal ","Positive",15
"229","stopped working ","Negative",15
"230","carphone warehouse ","Neutral",15
"231","contract £ ","Neutral",15
"232","first month ","Neutral",15
"233","text saying ","Neutral",15
"234","come across ","Neutral",15
"235","cancelled direct ","Negative",15
"236","took months ","Neutral",15
"237","even worse ","Negative",15
"238","promised call ","Positive",15
"239","back store ","Neutral",15
"240","minutes phone ","Neutral",15
"241","told go ","Neutral",15
"242","two years ","Neutral",15
"243","month £ ","Neutral",15
"244","phone even ","Neutral",15
"245","issue resolved ","Positive",15
"246","rang back ","Neutral",15
"247","
""worst customer ","Negative",14
"248","paid £ ","Neutral",14
"249","want cancel ","Negative",14
"250","ring back ","Neutral",14
"251","got email ","Neutral",14
"252","contract months ","Neutral",14
"253","time phone ","Neutral",14
"254","called said ","Neutral",14
"255","home phone ","Neutral",14
"256","come back ","Neutral",14
"257","different departments ","Neutral",14
"258","call backs ","Neutral",14
"259","one worst ","Negative",14
"260","web chat ","Neutral",14
"261","pillar post ","Neutral",14
"262","phone unlocked ","Neutral",14
"263","late payment ","Negative",14
"264","good customer ","Positive",14
"265","feel like ","Positive",14
"266","phone bill ","Neutral",14
"267","owe money ","Positive",14
"268","stay away"", ","Neutral",14
"269","another months ","Neutral",14
"270","owe £ ","Neutral",14
"271","money account ","Positive",14
"272","avoid like ","Neutral",14
"273","contract due ","Neutral",14
"274","wrong address ","Negative",14
"275","visit store ","Positive",14
"276","spoke someone ","Neutral",14
"277","hours hours ","Neutral",14
"278","now told ","Neutral",14
"279","th march ","Neutral",14
"280","phone now ","Neutral",14
"281","wait days ","Negative",14
"282","nothing happened ","Neutral",14
"283","called told ","Neutral",13
"284","absolutely useless ","Negative",13
"285","th time ","Neutral",13
"286","phone service ","Neutral",13
"287","phone said ","Neutral",13
"288","came back ","Neutral",13
"289","new one ","Positive",13
"290","wanted cancel ","Negative",13
"291","free gift ","Positive",13
"292","bad reviews ","Negative",13
"293","back never ","Neutral",13
"294","taking money ","Positive",13
"295","one thing ","Neutral",13
"296","collection agency ","Neutral",13
"297","never got ","Neutral",13
"298","month even ","Neutral",13
"299","later got ","Neutral",13
"300","another network ","Neutral",13
"301","hour phone ","Neutral",13
"302","appalling customer ","Negative",13
"303","ever use ","Neutral",13
"304","got phone ","Neutral",13
"305","told wait ","Negative",13
"306","got touch ","Neutral",13
"307","took weeks ","Neutral",13
"308","number years ","Neutral",13
"309","£ monthly ","Neutral",13
"310","mobile wifi ","Neutral",13
"311","contact customer ","Positive",13
"312","order number ","Neutral",13
"313","put phone ","Neutral",13
"314","iphone x ","Neutral",13
"315","got told ","Neutral",13
"316","phone hours ","Neutral",12
"317","good enough ","Positive",12
"318","new customer ","Positive",12
"319","extra charges ","Positive",12
"320","got text ","Neutral",12
"321","took contract ","Neutral",12
"322","final bill ","Neutral",12
"323","service told ","Neutral",12
"324","credit card ","Positive",12
"325","staff member ","Neutral",12
"326","make calls ","Neutral",12
"327","received call ","Positive",12
"328","store told ","Neutral",12
"329","go sim ","Neutral",12
"330","social media ","Neutral",12
"331","took minutes ","Neutral",12
"332","use data ","Neutral",12
"333","customer relations ","Neutral",12
"334","multiple times ","Neutral",12
"335","tech support ","Positive",12
"336","absolute joke ","Positive",12
"337","year ago ","Neutral",12
"338","sort problem ","Negative",12
"339","go shop ","Neutral",12
"340","charged extra ","Positive",12
"341","system error ","Negative",12
"342","mobile contract ","Neutral",12
"343","email saying ","Neutral",12
"344","still nothing ","Neutral",12
"345","isn t ","Neutral",12
"346","much time ","Neutral",12
"347","unlimited calls ","Positive",12
"348","paid bill ","Neutral",12
"349","still resolved ","Positive",12
"350","using phone ","Neutral",12
"351","following day ","Neutral",12
"352","chat service ","Neutral",12
"353","hour half ","Neutral",12
"354","goodwill gesture ","Positive",12
"355","service never ","Neutral",12
"356","really bad ","Negative",12
"357","t want ","Neutral",12
"358","contract finished ","Neutral",12
"359","time told ","Neutral",11
"360","£ upfront ","Neutral",11
"361","two hours ","Neutral",11
"362","service agents ","Neutral",11
"363","worst ever ","Negative",11
"364","t give ","Neutral",11
"365","hold minutes ","Neutral",11
"366","read reviews ","Neutral",11
"367","phone contracts ","Neutral",11
"368","another days ","Neutral",11
"369","need wait ","Negative",11
"370","someone call ","Neutral",11
"371","wasting time ","Negative",11
"372","broadband contract ","Neutral",11
"373","£ account ","Neutral",11
"374","data limit ","Negative",11
"375","unlimited texts ","Positive",11
"376","rang customer ","Neutral",11
"377","want pay ","Negative",11
"378","network provider ","Neutral",11
"379","phone sent ","Neutral",11
"380","star rating ","Positive",11
"381","live date ","Neutral",11
"382","phone provider ","Neutral",11
"383","told need ","Neutral",11
"384","line rental ","Neutral",11
"385","old phone ","Neutral",11
"386","contract even ","Neutral",11
"387","said go ","Neutral",11
"388","called cancel ","Negative",11
"389","£ bill ","Neutral",11
"390","big mistake ","Negative",11
"391","service terrible ","Negative",11
"392","text message ","Neutral",11
"393","email address ","Neutral",11
"394","service agent ","Neutral",11
"395","company years ","Neutral",11
"396","£ extra ","Positive",11
"397","cancel order ","Negative",11
"398","wait another ","Negative",11
"399","per day ","Neutral",11
"400","paying bill ","Neutral",11
"401","send text ","Neutral",11
"402","receive phone ","Neutral",11
"403","th september ","Neutral",11
"404","worst service ","Negative",11
"405","bill due ","Neutral",11
"406","said need ","Neutral",11
"407","explained situation ","Neutral",11
"408","avoid company ","Negative",11
"409","debt collectors ","Negative",11
"410","terminate contract ","Negative",11
"411","credit account ","Positive",11
"412","like plague"", ","Neutral",11
"413","cancelled account ","Negative",11
"414","going back ","Neutral",11
"415","additional charges ","Positive",11
"416","yet another ","Neutral",11
"417","mobile network ","Neutral",11
"418","internet connection ","Neutral",11
"419","bill time ","Neutral",11
"420","told pay ","Negative",11
"421","new customers ","Positive",11
"422","months bill ","Neutral",11
"423","one person ","Neutral",11
"424","service staff ","Neutral",11
"425","extra £ ","Positive",11
"426","without permission ","Positive",10
"427","complaints team ","Negative",10
"428","phone broadband ","Neutral",10
"429","another phone ","Neutral",10
"430","dont know ","Neutral",10
"431","another minutes ","Neutral",10
