"","wordcloud_bigram_ee$ngrams","cat_sent_ee","wordcloud_bigram_ee$freq"
"14806","still part ","Neutral",1
"14807","little boys ","Neutral",1
"14808","onto network ","Neutral",1
"14809","like barry ","Positive",1
"14810","even easy ","Positive",1
"14811","providers stiff ","Negative",1
"14812","wrong began ","Negative",1
"14813","problems discussing ","Negative",1
"14814","mother blocked ","Negative",1
"14815","app traffic ","Neutral",1
"14816","boxed reconditioned ","Neutral",1
"14817","products contract ","Neutral",1
"14818","follow information ","Positive",1
"14819","phone comes ","Neutral",1
"14820","issues main ","Positive",1
"14821","card turn ","Neutral",1
"14822","prices failed ","Negative",1
"14823","earlier believe ","Neutral",1
"14824","unresolved"", ""one ","Negative",1
"14825","unblocked"", ""sim ","Neutral",1
"14826","ok need ","Neutral",1
"14827","results respect ","Positive",1
"14828","phonesu price ","Neutral",1
"14829","contract behalf ","Neutral",1
"14830","excess now ","Negative",1
"14831","called jessie ","Neutral",1
"14832","basically sold ","Neutral",1
"14833","doubtful match ","Negative",1
"14834","refusedwhats worse ","Negative",1
"14835","party scams ","Negative",1
"14836","phone coverage ","Neutral",1
"14837","value companies ","Neutral",1
"14838","recommend"", ""cancellation ","Positive",1
"14839","im losing ","Negative",1
"14840","providers found ","Positive",1
"14841","happened times ","Neutral",1
"14842","felt due ","Neutral",1
"14843","better bad ","Positive",1
"14844","totally crap"", ","Negative",1
"14845","investigation proceeded ","Neutral",1
"14846","immediately reassured ","Positive",1
"14847","never debited ","Neutral",1
"14848","much"", ""don ","Neutral",1
"14849","phone total ","Neutral",1
"14850","data quality ","Neutral",1
"14851","waiting terrible ","Negative",1
"14852","people accounts ","Neutral",1
"14853","friendly anyway ","Positive",1
"14854","internet running ","Neutral",1
"14855","unfortunately broadband ","Negative",1
"14856","calm pointless ","Neutral",1
"14857","hardest avoid ","Negative",1
"14858","give upgrade ","Neutral",1
"14859","want ever ","Neutral",1
"14860","thanks goodbye"", ","Positive",1
"14861","monthlyim ready ","Positive",1
"14862","way changed ","Neutral",1
"14863","question middle ","Neutral",1
"14864","contract bamboozled ","Negative",1
"14865","also signal ","Neutral",1
"14866","waiting connectionmoved ","Neutral",1
"14867","upset angry ","Negative",1
"14868","anywhere built ","Neutral",1
"14869","easily covered ","Neutral",1
"14870","sure needed ","Neutral",1
"14871","call youve ","Neutral",1
"14872","
""awful go ","Negative",1
"14873","area also ","Neutral",1
"14874","anywhere signal ","Neutral",1
"14875","app told ","Neutral",1
"14876","struck traffic ","Negative",1
"14877","rather flat ","Neutral",1
"14878","begin slowly ","Negative",1
"14879","told security ","Neutral",1
"14880","key helping ","Positive",1
"14881","well communication ","Positive",1
"14882","none explained ","Neutral",1
"14883","think"", 
""spoke ","Neutral",1
"14884","rarely connection ","Neutral",1
"14885","machine throw ","Neutral",1
"14886","time review ","Neutral",1
"14887","time thought ","Neutral",1
"14888","time frustration ","Negative",1
"14889","deal request ","Positive",1
"14890","therefore cost ","Neutral",1
"14891","emphasis fault ","Negative",1
"14892","wanted transfer ","Neutral",1
"14893","aggressive conversation ","Negative",1
"14894","called change ","Neutral",1
"14895","course times ","Neutral",1
"14896","centre india ","Neutral",1
"14897","mobile datanumber ","Neutral",1
"14898","poor shame ","Negative",1
"14899","fault wouldnt ","Negative",1
"14900","let think ","Neutral",1
"14901","goes beyond ","Neutral",1
"14902","better line ","Positive",1
"14903","away call ","Neutral",1
"14904","weeks previous ","Neutral",1
"14905","time helped ","Positive",1
"14906","screw account ","Neutral",1
"14907","bothered refreshes ","Negative",1
"14908","back empathetic ","Positive",1
"14909","now ironically ","Negative",1
"14910","occasions quite ","Neutral",1
"14911","fact migrated ","Neutral",1
"14912","left horrible ","Negative",1
"14913","bored like ","Neutral",1
"14914","signed internet ","Neutral",1
"14915","bill using ","Neutral",1
"14916","appreciate good ","Positive",1
"14917","go pay ","Negative",1
"14918","""breached data ","Neutral",1
"14919","company sold ","Neutral",1
"14920","engineer called ","Neutral",1
"14921","incorrect error ","Negative",1
"14922","came end ","Neutral",1
"14923","shop kind ","Positive",1
"14924","anything apologising ","Neutral",1
"14925","discovered surprise ","Positive",1
"14926","huge problem ","Negative",1
"14927","engineers still ","Neutral",1
"14928","many inconsistencies ","Negative",1
"14929","recommend everyone"", ","Positive",1
"14930","failures conducted ","Negative",1
"14931","closed days ","Neutral",1
"14932","someone signs ","Neutral",1
"14933","todays date ","Neutral",1
"14934","details ring ","Neutral",1
"14935","payg credit ","Positive",1
"14936","saturday came ","Neutral",1
"14937","promotional deal ","Positive",1
"14938","seemed cure ","Positive",1
"14939","meanwhile reactivate ","Neutral",1
"14940","major inconvenience ","Negative",1
"14941","banking noticed ","Neutral",1
"14942","seriously"", ""hopeless ","Negative",1
"14943","amazing brilliant ","Positive",1
"14944","likeadmittedly fault ","Negative",1
"14945","lying snakes ","Negative",1
"14946","shower reviews ","Neutral",1
"14947","ve company ","Neutral",1
"14948","important data ","Positive",1
"14949","back morning ","Neutral",1
"14950","service offers ","Neutral",1
"14951","like quality ","Positive",1
"14952","last review ","Neutral",1
"14953","mbit something ","Neutral",1
"14954","requested option ","Positive",1
"14955","reopen matter ","Neutral",1
"14956","device gone ","Neutral",1
"14957","manually processed ","Neutral",1
"14958","problem t ","Negative",1
"14959","billing tantamount ","Neutral",1
"14960","conclude purchase ","Positive",1
"14961","totally messed ","Negative",1
"14962","westfield shepards ","Neutral",1
"14963","rare occasion ","Neutral",1
"14964","""best company ","Positive",1
"14965","disgusting using ","Negative",1
"14966","week moving ","Neutral",1
"14967","go since ","Neutral",1
"14968","mentioned jiles ","Neutral",1
"14969","network"", ""customer ","Neutral",1
"14970","unprofessionalapparently store ","Neutral",1
"14971","month card ","Neutral",1
"14972","trustpilot review ","Neutral",1
"14973","ireland iphones ","Neutral",1
"14974","face timed ","Neutral",1
"14975","three routers ","Neutral",1
"14976","department asked ","Neutral",1
"14977","removed £ ","Neutral",1
"14978","opposed enforce ","Negative",1
"14979","record keeping ","Neutral",1
"14980","contractor many ","Neutral",1
"14981","answer matter ","Neutral",1
"14982","told told ","Neutral",1
"14983","password agent ","Neutral",1
"14984","store sunday ","Neutral",1
"14985","data though ","Neutral",1
"14986","sounds likeadmittedly ","Neutral",1
"14987","return old ","Neutral",1
"14988","u suspended ","Negative",1
"14989","details sign ","Neutral",1
"14990","onto promotion ","Positive",1
"14991","heart use ","Neutral",1
"14992","refused admit ","Negative",1
"14993","charge inflated ","Negative",1
"14994","months getting ","Neutral",1
"14995","long update ","Neutral",1
"14996","need"", ""years ","Neutral",1
"14997","th thought ","Neutral",1
"14998","ending year ","Neutral",1
"14999","tell nothing ","Neutral",1
"15000","tells text ","Neutral",1
"15001","service"", 
""got ","Neutral",1
"15002","message number ","Neutral",1
"15003","spoke three ","Neutral",1
"15004","name employed ","Neutral",1
"15005","annoyed point ","Negative",1
"15006","expected standard ","Neutral",1
"15007","adviser lying ","Positive",1
"15008","add daughter ","Positive",1
"15009","orange unless ","Neutral",1
"15010","october g ","Neutral",1
"15011","told clear ","Positive",1
"15012","website alleviate ","Positive",1
"15013","call bad ","Negative",1
"15014","go automated ","Neutral",1
"15015","registered wasnt ","Neutral",1
"15016","allows scam ","Negative",1
"15017","life way ","Neutral",1
"15018","mistake switching ","Negative",1
"15019","option worked ","Positive",1
"15020","account local ","Neutral",1
"15021","mums messenger ","Neutral",1
"15022","see resolved ","Positive",1
"15023","information phoned ","Positive",1
"15024","broadband iv ","Neutral",1
"15025","nice one ","Positive",1
"15026","zero g ","Neutral",1
"15027","ve waited ","Neutral",1
"15028","blocked mobile ","Negative",1
"15029","code second ","Neutral",1
"15030","boost signal ","Positive",1
"15031","expired needless ","Negative",1
"15032","athlone banbridge ","Neutral",1
"15033","cause stress ","Negative",1
"15034","never went ","Neutral",1
"15035","numbers said ","Neutral",1
"15036","supposedly offer ","Positive",1
"15037","look computer ","Neutral",1
"15038","inform leaving ","Neutral",1
"15039","expensive current ","Negative",1
"15040","especially given ","Neutral",1
"15041","outside europelike ","Neutral",1
"15042","disregard customer"", ","Negative",1
"15043","contact asking ","Positive",1
"15044","messages including ","Positive",1
"15045","clue returned ","Neutral",1
"15046","want top ","Neutral",1
"15047","merged recently ","Neutral",1
"15048","care honestly ","Positive",1
"15049","pearson s ","Neutral",1
"15050","fuk fooking ","Neutral",1
"15051","effort stress ","Negative",1
"15052","wrong website ","Negative",1
"15053","mouth take ","Neutral",1
"15054","mile trip ","Neutral",1
"15055","poor although ","Negative",1
"15056","ownership month ","Positive",1
"15057","written compliant ","Positive",1
"15058","signal woohoo ","Neutral",1
"15059","emergency doctor ","Negative",1
"15060","x customer ","Neutral",1
"15061","time needed ","Neutral",1
"15062","router reception ","Neutral",1
"15063","seeing loyal ","Positive",1
"15064","subscribed apple ","Neutral",1
"15065","allowed upgrade ","Neutral",1
"15066","still facing ","Neutral",1
"15067","like search ","Positive",1
"15068","rights never ","Neutral",1
"15069","happened two ","Neutral",1
"15070","previous handset ","Neutral",1
"15071","door rain ","Neutral",1
"15072","due immense ","Positive",1
"15073","assured issue ","Positive",1
"15074","knowledgeable genuinely ","Positive",1
"15075","registered official ","Neutral",1
"15076","wants know ","Neutral",1
"15077","house lifeedit ","Neutral",1
"15078","pounds rang ","Neutral",1
"15079","
""wish put ","Positive",1
"15080","st century ","Neutral",1
"15081","roaming package ","Neutral",1
"15082","remain customer ","Neutral",1
"15083","bills insubstantial ","Negative",1
"15084","unlock phone"", ","Neutral",1
"15085","phone issues ","Neutral",1
"15086","takes couple ","Neutral",1
"15087","excited g ","Positive",1
"15088","account logging ","Neutral",1
"15089","shoddy insurance ","Negative",1
"15090","telecommunications engineer ","Neutral",1
"15091","returns told ","Neutral",1
"15092","paying extremely ","Neutral",1
"15093","sign recently ","Neutral",1
"15094","compared expect ","Positive",1
"15095","account manger ","Neutral",1
"15096","always explanation ","Neutral",1
"15097","beyond awful ","Negative",1
"15098","work believe ","Positive",1
"15099","refund due ","Positive",1
"15100","told silly ","Negative",1
"15101","bewildered angry ","Negative",1
"15102","jack sick ","Negative",1
"15103","switches ordinary ","Neutral",1
"15104","protect customer ","Positive",1
"15105","customer"", 
""shop ","Neutral",1
"15106","shocked even ","Negative",1
"15107","screw say ","Neutral",1
"15108","day give ","Neutral",1
"15109","threat leaving ","Negative",1
"15110","means obtaining ","Positive",1
"15111","bundle wanted ","Neutral",1
"15112","arranged returns ","Neutral",1
"15113","kings needed ","Neutral",1
"15114","away first ","Neutral",1
"15115","prices shocking ","Negative",1
"15116","added track ","Neutral",1
"15117","slow ended ","Negative",1
"15118","become high ","Neutral",1
"15119","customer dust ","Negative",1
"15120","experienced always ","Positive",1
"15121","sent another ","Neutral",1
"15122","pac free ","Positive",1
"15123","add mentioned ","Neutral",1
"15124","go samsung ","Neutral",1
"15125","delivery addresses ","Positive",1
"15126","contact courier ","Positive",1
"15127","date kudos"", ","Neutral",1
"15128","providedisappointed say ","Neutral",1
"15129","towards travel ","Neutral",1
"15130","wrong provide ","Positive",1
"15131","sort accurate ","Positive",1
"15132","tried blame ","Negative",1
"15133","phones payg ","Neutral",1
"15134","originally thought ","Neutral",1
"15135","hours issue ","Neutral",1
"15136","now also ","Neutral",1
"15137","ill hospital ","Negative",1
"15138","identified reasonable ","Positive",1
"15139","fill job ","Neutral",1
"15140","winning formula ","Positive",1
"15141","drove way ","Neutral",1
"15142","advance price ","Positive",1
"15143","deal ipad"", ","Positive",1
"15144","interested needless ","Negative",1
"15145","ava provided ","Neutral",1
"15146","go location ","Neutral",1
"15147","orpington shop ","Neutral",1
"15148","owning house ","Neutral",1
"15149","add options ","Neutral",1
"15150","turned data ","Neutral",1
"15151","lasts week ","Neutral",1
"15152","idea never ","Neutral",1
"15153","amounts try ","Neutral",1
"15154","g outdoors ","Neutral",1
"15155","online instead ","Neutral",1
"15156","phone changed ","Neutral",1
"15157","mobile calls ","Neutral",1
"15158","instructed debt ","Negative",1
"15159","
""left switched ","Neutral",1
"15160","said sod ","Neutral",1
"15161","thing months ","Neutral",1
"15162","deep ground ","Neutral",1
"15163","fcked time ","Neutral",1
"15164","put fone"", ","Neutral",1
"15165","go jason ","Neutral",1
"15166","weeks put ","Neutral",1
"15167","leaving since ","Neutral",1
"15168","divulge health ","Neutral",1
"15169","actually refer ","Neutral",1
"15170","scumbags miss ","Neutral",1
"15171","norm"", 
""catalogue ","Neutral",1
"15172","accent bent ","Negative",1
"15173","use services"", ","Neutral",1
"15174","hanging shocking ","Negative",1
"15175","signal near ","Neutral",1
"15176","serious thought ","Neutral",1
"15177","expires weeks ","Neutral",1
"15178","end connected ","Neutral",1
"15179","spent half ","Negative",1
"15180","contact essentially ","Positive",1
"15181","building london ","Positive",1
"15182","probably hold ","Neutral",1
"15183","refund"", 
""miss ","Positive",1
"15184","customer team ","Neutral",1
"15185","wish hear ","Positive",1
"15186","adding acceptable ","Positive",1
"15187","cut reason ","Positive",1
"15188","emails sent ","Neutral",1
"15189","number went ","Neutral",1
"15190","explanation mistakes ","Negative",1
"15191","ofcom regulates ","Neutral",1
"15192","peoples decisions ","Neutral",1
"15193","customers slove ","Neutral",1
"15194","poor setup ","Negative",1
"15195","counts nothing"", ","Neutral",1
"15196","complained four ","Negative",1
"15197","pack system ","Neutral",1
"15198","various offers ","Neutral",1
"15199","dd usual ","Positive",1
"15200","cancel regularly ","Negative",1
"15201","letting agent ","Neutral",1
"15202","days counting ","Neutral",1
"15203","error keep ","Negative",1
"15204","s water ","Neutral",1
"15205","services asked ","Neutral",1
"15206","away providing ","Positive",1
"15207","last date ","Neutral",1
"15208","deals take ","Neutral",1
"15209","avoid longer ","Negative",1
"15210","delivery failed ","Positive",1
"15211","ever unfortunate ","Negative",1
"15212","said device ","Neutral",1
"15213","clowns make ","Neutral",1
"15214","lost work ","Negative",1
"15215","served gentleman ","Positive",1
"15216","mb last ","Neutral",1
"15217","cambridge even ","Neutral",1
"15218","anything mobile ","Neutral",1
"15219","take instant ","Neutral",1
"15220","£ close ","Neutral",1
"15221","facebook twitter ","Neutral",1
"15222","establish running ","Neutral",1
"15223","inc lost ","Negative",1
"15224","every submission ","Neutral",1
"15225","bordering criminal ","Negative",1
"15226","conversations raised ","Neutral",1
"15227","given piece ","Neutral",1
"15228","fault post ","Negative",1
"15229","work"", ""please ","Positive",1
"15230","switched willing ","Positive",1
"15231","sorted first ","Neutral",1
"15232","""service since ","Neutral",1
"15233","morning yeah ","Neutral",1
"15234","everyone everywhere ","Neutral",1
"15235","asked rid ","Neutral",1
"15236","found tablet ","Positive",1
"15237","orange probably ","Neutral",1
"15238","expensive turn ","Negative",1
"15239","one travel ","Neutral",1
"15240","advise issue ","Positive",1
"15241","
""hard sell ","Negative",1
"15242","since becoming ","Neutral",1
"15243","advising purchasing ","Neutral",1
"15244","seeing reply ","Neutral",1
"15245","number statements ","Neutral",1
"15246","discuss outside"", ","Neutral",1
"15247","like going ","Positive",1
"15248","network south ","Neutral",1
"15249","reimbursed us ","Neutral",1
"15250","months wanted ","Neutral",1
"15251","details previous ","Neutral",1
"15252","system fucki ","Neutral",1
"15253","faulty router ","Negative",1
"15254","back way ","Neutral",1
"15255","time user ","Neutral",1
"15256","asked good ","Positive",1
"15257","insured even ","Neutral",1
"15258","surprise actual ","Positive",1
"15259","explaining operator ","Neutral",1
"15260","told firm ","Neutral",1
"15261","came collected ","Neutral",1
"15262","hours completely ","Positive",1
"15263","aware type ","Neutral",1
"15264","choose smth ","Neutral",1
"15265","cards minutes ","Neutral",1
"15266","anything wanted ","Neutral",1
"15267","option take ","Positive",1
"15268","old vulnerable ","Negative",1
"15269","trade excited ","Positive",1
"15270","omsbudman disband ","Neutral",1
"15271","info lead ","Positive",1
"15272","plan unbarred ","Neutral",1
"15273","told telephone ","Neutral",1
"15274","pay around ","Negative",1
"15275","best deals ","Positive",1
"15276","following steps ","Neutral",1
"15277","however unlimited ","Positive",1
"15278","
""fraudulent network ","Negative",1
"15279","promised absolutely ","Positive",1
"15280","issue ofcom ","Neutral",1
"15281","spoken lovely ","Positive",1
"15282","nothing offer ","Positive",1
"15283","£ avoid ","Negative",1
"15284","provide support ","Positive",1
"15285","weeks neither ","Neutral",1
"15286","bank n ","Neutral",1
"15287","consultant joshua ","Neutral",1
"15288","claimed problem ","Negative",1
"15289","say x ","Neutral",1
"15290","promised originally ","Positive",1
"15291","anything wasn ","Neutral",1
"15292","switch phone ","Neutral",1
"15293","across arrogant ","Negative",1
"15294","fault s ","Negative",1
"15295","service notably ","Positive",1
"15296","block third ","Negative",1
"15297","competition rather ","Negative",1
"15298","complete bunch ","Neutral",1
"15299","regiseted asked ","Neutral",1
"15300","point everyone ","Neutral",1
"15301","prices orange ","Neutral",1
"15302","providing internetees ","Positive",1
"15303","stated poster ","Neutral",1
"15304","manager alan ","Neutral",1
"15305","staffed shaun ","Neutral",1
"15306","year phoned ","Neutral",1
"15307","pricing now ","Neutral",1
"15308","team sellingupgrade ","Neutral",1
"15309","communication people ","Neutral",1
"15310","decent thing ","Positive",1
"15311","pop minutes ","Neutral",1
"15312","persuaded cancellations ","Neutral",1
"15313","ring person ","Neutral",1
"15314","since make ","Neutral",1
"15315","rude never ","Negative",1
"15316","calling problems ","Negative",1
"15317","professional clearly ","Positive",1
"15318","response"", ""excelent ","Neutral",1
"15319","called buy ","Neutral",1
"15320","understatement loyal ","Positive",1
"15321","careful"", ""company ","Positive",1
"15322","late paying ","Negative",1
"15323","one entire ","Neutral",1
"15324","staff work ","Positive",1
"15325","rang report ","Neutral",1
"15326","opinion underhand ","Neutral",1
"15327","ask data ","Neutral",1
"15328","smaller wireless ","Positive",1
"15329","page added ","Neutral",1
"15330","still complete ","Neutral",1
"15331","services helped ","Positive",1
"15332","homeplease keep ","Neutral",1
"15333","glasgow store ","Neutral",1
"15334","message unavailable ","Negative",1
"15335","money £ ","Positive",1
"15336","back anytime ","Neutral",1
"15337","gave dad ","Neutral",1
"15338","sent regular ","Neutral",1
"15339","gave step ","Neutral",1
"15340","exactly needed ","Neutral",1
"15341","one indicator ","Positive",1
"15342","daughter blocked ","Positive",1
"15343","centre interpersonal ","Neutral",1
"15344","copy credit ","Positive",1
"15345","compensation leaving ","Neutral",1
"15346","reality signal ","Neutral",1
"15347","back four ","Neutral",1
"15348","calling going ","Neutral",1
"15349","another misconfiguration ","Neutral",1
"15350","mb download ","Neutral",1
"15351","regret stay ","Negative",1
"15352","left customer ","Neutral",1
"15353","weeks time"", ","Neutral",1
"15354","surprisingly sales ","Neutral",1
"15355","talked sounded ","Neutral",1
"15356","years state ","Neutral",1
"15357","believe acceptable ","Positive",1
"15358","weeksengineer came ","Neutral",1
"15359","comms providers ","Neutral",1
"15360","please sort ","Positive",1
"15361","spoke knew ","Neutral",1
"15362","gorgeous teach ","Positive",1
"15363","saved device ","Positive",1
"15364","years feel ","Neutral",1
"15365","ratings people ","Neutral",1
"15366","questions placed ","Neutral",1
"15367","rip"", 
""unhappy ","Negative",1
"15368","spoke u ","Neutral",1
"15369","accusations tell ","Negative",1
"15370","highly company ","Neutral",1
"15371","visit policy ","Positive",1
"15372","lovely deal ","Positive",1
"15373","management complaints ","Negative",1
"15374","proved enough ","Negative",1
"15375","pm weekdayssite ","Neutral",1
"15376","job denial ","Negative",1
"15377","g issues ","Neutral",1
"15378","promises unlocking ","Positive",1
"15379","payments"", 
""awful ","Negative",1
"15380","confusing new ","Positive",1
"15381","t reduce ","Neutral",1
"15382","signal"", ""right ","Positive",1
"15383","keep connection ","Neutral",1
"15384","transferred nice ","Positive",1
"15385","rubbish poor ","Negative",1
"15386","billwell months ","Neutral",1
"15387","way customer ","Neutral",1
"15388","raise official ","Neutral",1
"15389","issue every ","Neutral",1
"15390","free refuse ","Negative",1
"15391","investing staff ","Neutral",1
"15392","took live ","Neutral",1
"15393","takes card ","Neutral",1
"15394","contracts post ","Neutral",1
"15395","already come ","Neutral",1
"15396","fortune data ","Positive",1
"15397","someone quote ","Neutral",1
"15398","safe measure ","Positive",1
"15399","moved chaos ","Negative",1
"15400","shop spoke ","Neutral",1
"15401","th uk ","Neutral",1
"15402","directly first ","Neutral",1
"15403","chat timed ","Neutral",1
"15404","firm advise ","Positive",1
"15405","call sometime ","Neutral",1
"15406","couple subscribed ","Neutral",1
"15407","re technical ","Neutral",1
"15408","sky broadband ","Neutral",1
"15409","leaving appalling ","Negative",1
"15410","claimed put ","Neutral",1
"15411","t force ","Negative",1
"15412","country fact ","Neutral",1
"15413","said sent ","Neutral",1
"15414","years ok ","Neutral",1
"15415","business ring ","Neutral",1
"15416","members public ","Neutral",1
"15417","allow give ","Positive",1
"15418","like neil ","Positive",1
"15419","couple payments ","Neutral",1
"15420","one due ","Neutral",1
"15421","internet fault ","Negative",1
"15422","impulse pay ","Negative",1
"15423","back pack ","Neutral",1
"15424","disconnected phone ","Negative",1
"15425","compass whatsoever ","Neutral",1
"15426","however manager ","Neutral",1
"15427","around"", 
""well ","Positive",1
"15428","phone reach ","Neutral",1
"15429","become frustrated ","Negative",1
"15430","provide delivery ","Positive",1
"15431","changed expect ","Positive",1
"15432","staff earning ","Neutral",1
"15433","every tariff ","Negative",1
"15434","bills second ","Neutral",1
"15435","suit breach ","Negative",1
"15436","state otherwise ","Neutral",1
"15437","stocks hurry ","Neutral",1
"15438","rogue trader ","Negative",1
"15439","contract useful ","Positive",1
"15440","service"", ""dose ","Neutral",1
"15441","credit cover ","Positive",1
"15442","differing levels ","Neutral",1
"15443","ceo apparently ","Neutral",1
"15444","broadband didn ","Neutral",1
"15445","prepared offer ","Positive",1
"15446","money makes ","Positive",1
"15447","helped helpful"", ","Positive",1
"15448","already sick ","Negative",1
"15449","keep ringing ","Neutral",1
"15450","area"", 
""accidentally ","Negative",1
"15451","month looked ","Neutral",1
"15452","later yeah ","Neutral",1
"15453","speak lauren ","Neutral",1
"15454","got standard ","Neutral",1
"15455","advisor friendly ","Positive",1
"15456","text mate ","Positive",1
"15457","say timeframe ","Neutral",1
"15458","getting unhappy ","Negative",1
"15459","issues technical ","Neutral",1
"15460","london much ","Neutral",1
"15461","misselling contract ","Neutral",1
"15462","new yorker ","Positive",1
"15463","servicedisappointed warned"", ","Negative",1
"15464","absolutely help ","Neutral",1
"15465","help tried ","Neutral",1
"15466","replacement working ","Positive",1
"15467","back security ","Neutral",1
"15468","positive thank ","Positive",1
"15469","remain puzzled ","Negative",1
"15470","bag crap ","Negative",1
"15471","store wanted ","Neutral",1
"15472","confirm credit ","Positive",1
"15473","asked allowed ","Neutral",1
"15474","effort beginning ","Neutral",1
"15475","click bait ","Neutral",1
"15476","£ topped ","Neutral",1
"15477","reception s ","Neutral",1
"15478","charge u ","Neutral",1
"15479","years mugged ","Neutral",1
"15480","adviser clearly ","Positive",1
"15481","come ok ","Neutral",1
"15482","although phone ","Neutral",1
"15483","wanted certain ","Positive",1
"15484","know products ","Neutral",1
"15485","data previously ","Neutral",1
"15486","come way ","Neutral",1
"15487","gutted due ","Neutral",1
"15488","us years ","Neutral",1
"15489","without talk ","Positive",1
"15490","therefor make ","Neutral",1
"15491","tell d ","Neutral",1
"15492","faffing around ","Neutral",1
"15493","absurd"", ""took ","Negative",1
"15494","leave problemdefiantly ","Negative",1
"15495","confirm based ","Neutral",1
"15496","sent special ","Positive",1
"15497","dropped bill ","Neutral",1
"15498","using never"", ","Neutral",1
"15499","great experience ","Positive",1
"15500","switch insurance ","Neutral",1
"15501","website believe ","Neutral",1
"15502","use quite ","Neutral",1
"15503","bills since ","Neutral",1
"15504","taken custom ","Neutral",1
"15505","deal internally ","Positive",1
"15506","answer advice ","Neutral",1
"15507","delivery even ","Positive",1
"15508","even outside ","Neutral",1
"15509","recently given ","Neutral",1
"15510","jesus christ ","Neutral",1
"15511","repair branch ","Neutral",1
"15512","professional patient ","Positive",1
"15513","person helped ","Positive",1
"15514","fifa blame ","Negative",1
"15515","sent since ","Neutral",1
"15516","set address ","Neutral",1
"15517","contracts ordered ","Neutral",1
"15518","ten times ","Neutral",1
"15519","daughter holiday ","Positive",1
"15520","odd bit ","Negative",1
"15521","phoned confirm ","Neutral",1
"15522","others aware ","Neutral",1
"15523","provider decided ","Neutral",1
"15524","text twice ","Neutral",1
"15525","private messaged"", ","Neutral",1
"15526","well give ","Positive",1
"15527","warning everyone ","Negative",1
"15528","though pc ","Neutral",1
"15529","name area ","Neutral",1
"15530","prior someone ","Neutral",1
"15531","partner called ","Positive",1
"15532","properly blame ","Positive",1
"15533","easily store ","Neutral",1
"15534","company"", ""afford ","Positive",1
"15535","none existent ","Neutral",1
"15536","idea first ","Neutral",1
"15537","left plusnet ","Neutral",1
"15538","technical problems ","Negative",1
"15539","reps say ","Neutral",1
"15540","instead working ","Positive",1
"15541","cut went ","Negative",1
"15542","take seconds ","Neutral",1
"15543","
""orange years ","Neutral",1
"15544","talked us ","Neutral",1
"15545","speaking resolving ","Positive",1
"15546","card utility ","Positive",1
"15547","go use ","Neutral",1
"15548","surprise payment ","Positive",1
"15549","run network ","Neutral",1
"15550","customers hire ","Positive",1
"15551","issues way ","Neutral",1
"15552","tell email ","Neutral",1
"15553","paid bills ","Neutral",1
"15554","august early ","Neutral",1
"15555","still unsuccessful ","Negative",1
"15556","illegal behaviour ","Negative",1
"15557","time avoid ","Negative",1
"15558","useless still ","Negative",1
"15559","anything afterwards"", ","Neutral",1
"15560","ridiculously slow ","Negative",1
"15561","straight answers ","Positive",1
"15562","needs sent ","Neutral",1
"15563","product executive ","Neutral",1
"15564","confirmation say ","Neutral",1
"15565","even mind ","Neutral",1
"15566","leaving found ","Positive",1
"15567","amazing phone ","Positive",1
"15568","always finisng ","Neutral",1
"15569","done according ","Neutral",1
"15570","improve thier ","Positive",1
"15571","company try ","Neutral",1
"15572","whats husband ","Neutral",1
"15573","everyday london ","Neutral",1
"15574","vodaphone let ","Neutral",1
"15575","stood boggle ","Neutral",1
"15576","earlier regardless ","Neutral",1
"15577","monthly fees ","Neutral",1
"15578","phones ahd ","Neutral",1
"15579","waiting yet ","Neutral",1
"15580","needed contact ","Positive",1
"15581","matter play ","Neutral",1
"15582","boosters already ","Neutral",1
"15583","contract ongoing ","Neutral",1
"15584","
""reiterating others ","Neutral",1
"15585","one little ","Neutral",1
"15586","update need ","Neutral",1
"15587","replacement sight ","Neutral",1
"15588","ipad back ","Neutral",1
"15589","expert customer ","Positive",1
"15590","broadband talked ","Neutral",1
"15591","worked outside ","Positive",1
"15592","code either ","Neutral",1
"15593","rubbish tell ","Negative",1
"15594","else recommend ","Positive",1
"15595","hardly hear ","Neutral",1
"15596","costs approx ","Neutral",1
"15597","book yet ","Neutral",1
"15598","away day ","Neutral",1
"15599","search internet ","Neutral",1
"15600","haggle renewal ","Negative",1
"15601","control tariff ","Negative",1
"15602","new custumer ","Positive",1
"15603","networks might ","Neutral",1
"15604","store problematic ","Negative",1
"15605","centre rang ","Neutral",1
"15606","happen signed ","Neutral",1
"15607","awsome dave ","Neutral",1
"15608","back claimed ","Neutral",1
"15609","expired last ","Negative",1
"15610","far fingars ","Neutral",1
"15611","rude hung ","Negative",1
"15612","slapped face ","Neutral",1
"15613","amount keep ","Neutral",1
"15614","test received ","Positive",1
"15615","example big ","Positive",1
"15616","phone automated ","Neutral",1
"15617","used card ","Neutral",1
"15618","far helpful ","Positive",1
"15619","though thing ","Neutral",1
"15620","broadband went ","Neutral",1
"15621","working tonight ","Positive",1
"15622","ipad"", 
""nice ","Positive",1
"15623","shift time ","Neutral",1
"15624","paying receiving ","Positive",1
"15625","t lose ","Negative",1
"15626","wrong please ","Positive",1
"15627","iphone continued ","Neutral",1
"15628","corporate scale ","Neutral",1
"15629","complaining emailing ","Negative",1
"15630","proof b ","Neutral",1
"15631","team need ","Neutral",1
"15632","coverage better ","Positive",1
