"","wordcloud_bigram_ee$ngrams","cat_sent_ee","wordcloud_bigram_ee$freq"
"212","repair centre ","Neutral",15
"213","straight away ","Positive",14
"214","data allowance ","Neutral",14
"215","ring back ","Neutral",14
"216","days notice ","Neutral",14
"217","home phone ","Neutral",14
"218","text messages ","Neutral",14
"219","apple watch ","Neutral",14
"220","£ gb ","Neutral",14
"221","working days ","Positive",14
"222","good service ","Positive",14
"223","contract now ","Neutral",14
"224","brand new ","Positive",14
"225","told take ","Neutral",14
"226","loyal customers ","Positive",14
"227","data plan ","Neutral",14
"228","month now ","Neutral",14
"229","
""customer service ","Neutral",14
"230","go elsewhere ","Neutral",14
"231","wasn t ","Neutral",14
"232","month ago ","Neutral",14
"233","contract end ","Neutral",14
"234","received email ","Positive",14
"235","treat customers ","Neutral",14
"236","old number ","Neutral",14
"237","contract pay ","Negative",14
"238","within hours ","Neutral",14
"239","upgrade phone ","Neutral",14
"240","new customers ","Positive",14
"241","also told ","Neutral",13
"242","£ upfront ","Neutral",13
"243","days ago ","Neutral",13
"244","asked speak ","Neutral",13
"245","second time ","Neutral",13
"246","stay well ","Positive",13
"247","receive calls ","Neutral",13
"248","£ credit ","Positive",13
"249","received call ","Positive",13
"250","like plague ","Neutral",13
"251","another £ ","Neutral",13
"252","text saying ","Neutral",13
"253","manager told ","Neutral",13
"254","come across ","Neutral",13
"255","bad reviews ","Negative",13
"256","company customer ","Neutral",13
"257","needless say ","Negative",13
"258","taking money ","Positive",13
"259","long term ","Neutral",13
"260","company one ","Neutral",13
"261","one phone ","Neutral",13
"262","without phone ","Neutral",13
"263","following day ","Neutral",13
"264","payg sim ","Neutral",13
"265","cancel account ","Negative",13
"266","extra data ","Positive",13
"267","many people ","Neutral",13
"268","told cancel ","Negative",13
"269","monthly bill ","Neutral",13
"270","let know ","Neutral",13
"271","put phone ","Neutral",13
"272","around £ ","Neutral",13
"273","three months ","Neutral",13
"274","last time ","Neutral",13
"275","extra £ ","Positive",13
"276","bill came ","Neutral",12
"277","good enough ","Positive",12
"278","nearly £ ","Neutral",12
"279","£ phone ","Neutral",12
"280","cooling period ","Neutral",12
"281","excellent customer ","Positive",12
"282","staff member ","Neutral",12
"283","guy called ","Neutral",12
"284","avoid costs"", ","Negative",12
"285","send back ","Neutral",12
"286","go live ","Neutral",12
"287","""customer service ","Neutral",12
"288","next month ","Neutral",12
"289","replacement phone ","Neutral",12
"290","first month ","Neutral",12
"291","phone work ","Positive",12
"292","hours later ","Neutral",12
"293","contract even ","Neutral",12
"294","another months ","Neutral",12
"295","time work ","Positive",12
"296","contacted customer ","Neutral",12
"297","imei number ","Neutral",12
"298","months left ","Neutral",12
"299","great deal ","Positive",12
"300","promised call ","Positive",12
"301","t even ","Neutral",12
"302","looks like ","Positive",12
"303","years never ","Neutral",12
"304","using phone ","Neutral",12
"305","take phone ","Neutral",12
"306","avoid company ","Negative",12
"307","service good ","Positive",12
"308","sim deal ","Positive",12
"309","upgraded phone ","Positive",12
"310","mobile data ","Neutral",12
"311","orange years ","Neutral",12
"312","signal home ","Neutral",12
"313","spent hours ","Negative",11
"314","time money ","Positive",11
"315","take time ","Neutral",11
"316","months now ","Neutral",11
"317","took contract ","Neutral",11
"318","time phone ","Neutral",11
