Sr.no.,Review_body,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,sent.val1,category_senti1,Date,Weekday,Month and Year,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18
15, customer however long dispute bank told communicate direct debits coming account rang customer cant help spokespeople needing hang recall finally got spokesperson understood odd predicament customer yet six months missed payments credit record told person friday course urgent matter send evidence hour resolved days also explained bank told needed evidence monday told financial ombudsman keep chasing via online help via call centre friday evening chased online chat told clear cut case already solved due resolution call within hours sunday rang back well hours later hung call centre person simply said wait five days cut losses call centre used live chat service time told case marked resolved receive call monday morning thank god s deadline bank gave rang monday evening told team case waiting response santander back tomorrow point utterly furious waiting days resolution clear problem end top today tuesday th day complaint day banks deadline told gentleman phone complaints centre complaint even assigned team wait hours reply absolutely infuriating passed deadline bank contact daily everyone talked far either completely disrespectful forced communicate via means absolutely delightful fed false information lied every step way reply received constantly use web chat service ones kept telling call within hours guess ts now hours days passed initial contact told resolved within hours days gotten live chat representative opening second case telling wait hours person telling theyll chase matter call back within hour hours ago ,4,11,3,7,3,3,3,11,11,13,-3.15,Negative,30-Oct-18,Tuesday,Oct-18,0,4.45,1.8,0.5,1.9,1,-0.5,-2.95,-2.7,-0.15,-1.95,-0.95,1.45,-0.25,4.85,-1.15,-0.75,-3.65,
16, phone network self ok problem customer service call centre staff poorly trained personal follow script means ask anything sheet scripted answer back end going circles biggest problem appreciate long standing loyal customers anything make couple extra buck screw wherever possible expect call see good deal customer years plus normally offer something costs website recently left quibble £ month quoted amount new iphone xs next day honour put price nutshell told elsewhere cheaper repeat business number one money maker done ,1,6,0,3,4,1,6,6,3,11,2.5,Positive,30-Oct-18,Tuesday,Oct-18,1.05,2.95,1,1.85,-0.1,0.9,2.4,0.7,-1.3,-2.4,-6.3,1.5,2.3,-2.25,-0.1,-2.25,-0.1,1,
17, one month new iphone xs still turned  m paying new contract phone received call saturday say phone store collect went collect told mistake idea told arrived customer years phone turn week cancelling ,0,1,0,0,0,1,0,0,1,3,-0.15,Negative,29-Oct-18,Monday,Oct-18,4.8,-2.15,3.6,4.1,2.45,3.65,-2.4,2.3,-6.85,-1.95,1,0.5,-0.7,-1.5,2,-0.05,-1.45,3.9,
18,  t fault  ve nearly two years now far  ve absolutely fuss difficulty like providers mention recently went usa tariff cost nothing extra didn t worry switching mobile data thumbs ,3,2,1,2,0,4,0,0,5,1,-1.6,Negative,29-Oct-18,Monday,Oct-18,3.95,2.35,3.5,1,-0.2,-0.65,-1.3,2.35,1.3,3.5,-0.85,0,-7,1.15,-0.5,0.4,0.35,0,
19, sim contract ages truly believe best network one thing stops perfecttesco mobile lets lower allowance well lets increase allowance let decrease sometimes circumstances change might need unlimited texts minutes one thing wish contract reduce texts minutes also reduce monthly cost recommend network anyone ,0,2,0,1,0,1,0,1,2,3,2.95,Positive,29-Oct-18,Monday,Oct-18,2.6,1.35,-0.5,1.6,0.35,1.8,-0.9,-2.5,0.55,-0.05,-0.9,3,0.65,2.2,0.65,-2.6,-2.75,-1,
20, took year contract months back phone already repair weeks back bought another phone use goes back repair told signal live bad yet husband also problems home phone cheap crappy one job phone hand total waste spacere reply find threeuksupport found said pm speaking wrong department ,1,0,2,1,1,1,0,1,4,2,-3.65,Negative,29-Oct-18,Monday,Oct-18,1.3,-3.6,2.3,1.1,0.05,1.75,2.25,2.7,-2.5,-1.25,-0.3,1.2,-0.35,3.65,0.05,-1.55,-3.45,1.7,
21, take extra money every now charged times one month ,1,1,0,0,1,0,1,1,0,2,1,Positive,29-Oct-18,Monday,Oct-18,1.6,1.5,3.9,-5.8,2.5,6,3.2,-3.35,-1.25,-1.35,1.4,-0.45,1.25,4.55,-0.7,2.85,3.55,1.3,
22,  ve nearly ten years great coverage generous tariff allowance excellent customer service s example contract couk unlimited text messages phone called data continually surf internet watch youtube videos stream music extra cost also turn iphone router turning personal hotspot able stream much youtube possible via ipad iphone completely freeamazing company never go anywhere else ever ,1,1,1,1,3,1,0,3,1,7,3.9,Positive,28-Oct-18,Sunday,Oct-18,2.25,1.4,-0.75,-2.4,1.25,3.65,2,10.7,0.15,0.7,-4.3,-0.1,3.6,2.5,-0.35,0.5,1,-0.1,
23, don t even go ,0,0,0,0,0,0,0,1,0,1,0,Neutral,28-Oct-18,Sunday,Oct-18,1.95,2.25,4.4,0.9,-2.45,1.75,2.55,-0.45,-0.5,-1.9,2.35,0.8,-0.25,-2.05,0.2,0.2,-0.25,2.05,
24, rubbish bought £ sim card use usaabsoute rubbish hours hours chatline eventually got calls last days day holsthis uis s rip use ,0,1,1,0,0,0,0,1,2,0,-1,Negative,27-Oct-18,Saturday,Oct-18,2.15,1.5,1.1,5.8,1.25,1.85,0.35,0.75,-1.7,0.2,1.6,1.8,1.55,2.55,-0.25,-1.05,-0.2,1.95,
25, great coverable half price ee offer app wuntu excellent often serving free costa missing th star wifi calling poor ,0,1,0,1,2,1,0,2,1,3,1.7,Positive,27-Oct-18,Saturday,Oct-18,-0.5,-2.15,-0.75,5.35,-3.6,0.5,3.15,0.25,2.75,-5.2,0.5,0.8,2.5,-0.35,2.85,-2.7,-2.15,-0.35,
26, extremely good value roamingapparently l saved excess £ last monthhorrifying thought eh must remember send texts make phone calls numbers within country roaming unless roaming within eu ,0,3,0,0,1,0,1,2,2,2,1.3,Positive,27-Oct-18,Saturday,Oct-18,1.3,1.5,3.5,1.8,3.25,3.1,1.35,1.85,-1.95,8.05,1.45,1.6,2.1,-1.75,0.3,-0.15,1.9,-2.85,
27, called refused contract told took month month sim contract months upgrade new phone months applied contract phone refused told salesman didn t say oops yes credit rating fine checked tried talk taking years sim contract conmen got contract problem lying salesmen worse customer service avoid possible reply makes sense wouldn t trust told planet earth ,2,0,1,4,0,4,0,2,6,4,-0.1,Negative,26-Oct-18,Friday,Oct-18,1.9,0.5,3.5,0.75,-0.45,-1.25,0,-1.85,1.8,1.75,1,0.5,-2,-0.65,-1.35,4.1,-1.95,0.5,
28, saved £ using network abroad advanced sim suitable using usaall use part bundleso chuffed ,0,1,0,0,0,0,0,0,0,2,2.05,Positive,26-Oct-18,Friday,Oct-18,0,-1.1,2.05,-1.4,-0.5,1.2,3.25,-2.15,2.1,2.3,-0.8,0.5,-0.1,0.5,0.25,-0.75,3.4,-1.85,
29, rubbish make promises come back state never agreement took money account months one go spoke rubbish customer service team said every month issue prepared pay one month contract nd month promised write balance issues since jan rep told nothing said nice day rude switching another network soon contract renewal advising go rubbish network warned ,1,5,1,1,2,0,2,6,2,7,1.95,Positive,26-Oct-18,Friday,Oct-18,-0.25,-0.05,1.3,2.25,-0.25,1.3,-2.25,-0.3,-1.95,3.7,1.65,1.7,-0.5,-3.35,5.6,1.2,-2.3,0.75,
30, good contract sold number marketing companies calls world yes block report tps complain say change number last yearsnice one doubt say sell numbers gdpr etc heard ,1,2,0,2,1,2,1,3,3,2,-0.35,Negative,26-Oct-18,Friday,Oct-18,3.6,10.95,0.75,1.1,2.4,0.8,0.6,-0.3,-1.2,0.75,1,-0.95,1.9,1.55,0.25,1.55,1.75,1.55,
31, switched thought network service great value money zero roaming charges wide range countries sounded like good deal complaints network servicehowever regret making switch misfortune suffering utterly dismal customer service customer service personnel understand english unable resolve billing issues even telling one instance company complaints department months still ongoing issues company completely inefficient unprofessional ,1,6,2,3,3,6,3,3,6,5,-2.85,Negative,26-Oct-18,Friday,Oct-18,-0.4,-2,3.4,-9.75,1.3,2.6,-4.75,-1,-2.45,-3.2,-2.2,-1.35,-2.3,-2.55,-1.55,1,0.75,0,
32, long time say tried rest now best ,0,2,0,0,0,0,0,0,0,1,0.5,Positive,25-Oct-18,Thursday,Oct-18,0.9,0.7,1.05,2.7,0.8,2.2,0.25,0.4,1.85,-2.45,1.05,-0.9,-2,-6.6,0.4,-1.9,-2.4,3.95,
33, coverage terrible especially london even worse central london live literally connection data situation general absolutely appalling ,1,0,2,3,0,2,0,1,3,1,-1.85,Negative,25-Oct-18,Thursday,Oct-18,-0.15,2.15,-0.15,1.35,1.4,-0.75,-0.5,-2.4,-1.25,-0.85,0.25,3,1.35,4,0.3,0.35,8.33E-17,-1.95,
