Sr.no.,Review_body,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,sent.val1,category_senti1,Date,Weekday,Month and Year,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18
205, years reporting issues customer approximately years finally enough manually switch g g coverage network congestion putting enough funds infrasructure calls connecting phone people call limit reason sticking roaming offering exceptionally good unlimited data now vodafone offering gb £ per month sim well roaming us included now reason stick s substandard uk service fundamentally disappointed customer service never anything offer way assistance remedial action totally unacceptable standards listen customers make right ,1,4,2,0,2,2,2,4,5,9,3.1,Positive,03-Sep-18,Monday,Sep-18,,,,,,,,,,,,,,,,,,,
206, whilst fair share negative reviews whenever issue complaints team always efficient ,0,2,0,0,1,1,0,3,1,3,0.25,Positive,03-Sep-18,Monday,Sep-18,,,,,,,,,,,,,,,,,,,
207, years used half decent phone company now put prices mid term contract offer poor customer support via indian call centres time leave  m thinking fufuau ,0,1,0,0,0,1,1,0,1,3,0.35,Positive,03-Sep-18,Monday,Sep-18,,,,,,,,,,,,,,,,,,,
208, paid £ topup account told account still active wait till next day went days sent bank statement sms confirming topup credit account say accept documents manager authorize amount applied claim back bank ,0,1,0,0,0,0,0,5,1,2,1.4,Positive,02-Sep-18,Sunday,Sep-18,,,,,,,,,,,,,,,,,,,
209, first time took insurance customer service poor dpd delivered phone went give someone else almost two weeks now still investigating one call discuss explain anything advice anyone take insurance ,0,1,0,0,0,0,0,2,0,2,-0.5,Negative,01-Sep-18,Saturday,Sep-18,,,,,,,,,,,,,,,,,,,
210, whilst found customer service good network coverage poor strabane often signal extremely poor signal great difficulty making receiving phone calls ,1,4,0,1,3,1,2,3,2,4,1.45,Positive,01-Sep-18,Saturday,Sep-18,,,,,,,,,,,,,,,,,,,
211, g years contract finish change vodafone vodafone s company dealing proper angry leave g best company dealing star ,1,1,1,1,1,1,1,1,2,2,0.6,Positive,31-Aug-18,Friday,Aug-18,,,,,,,,,,,,,,,,,,,
212, bad service came ee shocking worst mobile company s ,1,1,1,1,0,1,0,0,1,0,-2,Negative,31-Aug-18,Friday,Aug-18,,,,,,,,,,,,,,,,,,,
213, palmed somebody live chat first attempt calling today discuss plan finally got helpful friendly polite customer service representative named zibran mumbai went beyond help really made day honestly lost hope changed mind completely thank zibran ,0,5,1,0,4,1,2,4,1,7,3.05,Positive,31-Aug-18,Friday,Aug-18,,,,,,,,,,,,,,,,,,,
214, years ended finding new provider offering better deal giff gaff thought years gotten bonuses rewards loyal customer paying much bare minimum came leaving gave hell phone mins trying persuade staying wanted pac code kept switching different provider everytime eventually sent pac code now leave alone payed last balance switched giff gaff kept number now somehow put restrictions number call listen voicemails done closed account finally rung now demanding cancellation fee contract terms conditions website says cancellation fee charged contract brought end minimum date sim valid months ended keeping years therefore permitted pay anythingnever go never ending downward spiral let leave without squeezing every last penny refuse pay penny want leave alone ,2,4,2,2,4,2,4,7,6,6,1.3,Positive,31-Aug-18,Friday,Aug-18,,,,,,,,,,,,,,,,,,,
215, honest cant fault pay go £ month unlimted net cant complain however abroad contract horrendously slow even g painfully slow spain yoigoo network horrible time using feel home end stopped using together ,3,3,2,2,2,4,0,2,4,2,-3.5,Negative,31-Aug-18,Friday,Aug-18,,,,,,,,,,,,,,,,,,,
216, poor customer service wont solve problems keep waiting forever keep transfering operators give miracle someone speaks english ,0,2,0,0,1,0,1,1,0,2,0.55,Positive,31-Aug-18,Friday,Aug-18,,,,,,,,,,,,,,,,,,,
217, always switch networks every year sick making extra money services hardware prefer purchase phone outright put sim go offered gb plan eat mins texts £ monthinternet always fast reliable never hit allowances app constantly improved perks wuntu nice added bonus wish built app honest minor gripe often signal faster internet colleagues friends happy network pay go experience bit hit miss problems topping hassles plusnet switched sim deal fan pay go always sim deal nownice one slowing data speeds go binge great share data via hotspot devices winnerthanks everything great sticking unless better deal comes along now recommend networks point time ,3,9,2,1,7,2,3,10,2,13,6.55,Positive,31-Aug-18,Friday,Aug-18,,,,,,,,,,,,,,,,,,,
218, tried contract tree due turning dont really credit history got rejected saying take contract £ funny gone competitor got contract without rejected waste time company ,1,2,2,0,1,0,1,2,2,2,-0.55,Negative,31-Aug-18,Friday,Aug-18,,,,,,,,,,,,,,,,,,,
219, liked leave stars pay go sims work phones site every month difficulty topping top one number day website converting vouchers add ons equally painful disgraceful customer service £ month yep laters pile pants ,3,2,2,2,1,3,1,2,4,4,-0.5,Negative,31-Aug-18,Friday,Aug-18,,,,,,,,,,,,,,,,,,,
220, let preface saying contract six years never received sort loyalty bonus ve data abroad according package never asked said data clearly poor coverage area limited contract options honestly ve cancelled long time ago contacted cancel explain great detail cancelling provider switching hassled guy line stay fix problems guy nothing talk smack new provider spewed utter nonsense good minutes finally agreeing cancel contract top £ cancellation fee top one final bill squeezed another £ laughable customer service terrible service never even consider recommending anyone ,4,6,3,1,3,3,3,6,7,10,-2.6,Negative,31-Aug-18,Friday,Aug-18,,,,,,,,,,,,,,,,,,,
221, internet coverage performance joke ,0,0,0,0,0,0,0,0,1,0,1,Positive,30-Aug-18,Thursday,Aug-18,,,,,,,,,,,,,,,,,,,
222, dishonest company awful customer service added add account mobile app realise recurring add noticed months afterwards recurring charged months decided disable figure app website decided phone unable name characters arbitrary memorable place name require set make account different password online account help easy add add app yet difficult disable perhaps want keep taking money absolutely unacceptable make complaint able verify account using aforementioned memorable place name refused put complaints ,4,2,2,3,2,6,2,3,7,3,-4.5,Negative,30-Aug-18,Thursday,Aug-18,,,,,,,,,,,,,,,,,,,
223, diabolical years now previously hesitated recommend since taking new contract beginning year lied constantly now left sim card use phone apart one paying mobile phone partially use whist connected wifi seems incapable sorting issue caused first instance ,1,1,1,1,0,0,0,2,1,1,-0.45,Negative,30-Aug-18,Thursday,Aug-18,,,,,,,,,,,,,,,,,,,
224, since always great signal excellent loyalty offers friendly customer service needed lots perks including feel home wuntu work phones spare phones vodafone signal cust service horrific ,1,1,1,1,2,1,0,3,1,5,2.85,Positive,29-Aug-18,Wednesday,Aug-18,,,,,,,,,,,,,,,,,,,
225, ever try dealingl company one month ago closed account paid bills even called week closed make sure everything fine owe anything guess one month later charge pounds addition back charged overdraft funds account already paid day notice cancelation month called asked charge employee manager refused speak steal money even try hide avoid ,2,1,0,3,1,2,2,2,3,1,-1.15,Negative,29-Aug-18,Wednesday,Aug-18,,,,,,,,,,,,,,,,,,,
226, worst mobile company thinking joining think wait contract end leave look back unprofessional company charge hidden costs ,0,2,0,0,0,1,1,0,3,0,-2.25,Negative,29-Aug-18,Wednesday,Aug-18,,,,,,,,,,,,,,,,,,,
227, mobile might worst mobile provider uk used offers one year decided swap another provider gives much better deal called pac code interrogated many many questions got annoying end got answer procedure two hours receive pac code hours two hours waiting message received called time answered send pac now wait hours ,1,4,0,1,1,0,1,1,2,3,-0.05,Negative,29-Aug-18,Wednesday,Aug-18,,,,,,,,,,,,,,,,,,,
228, got free mb data monthly deal paying zero nothing dislike spare mobile data speed coverage always greatalso pay go plan needed anytime good p call p text ,1,5,1,0,3,0,2,3,1,3,0.4,Positive,29-Aug-18,Wednesday,Aug-18,,,,,,,,,,,,,,,,,,,
229, far worse network ever customer service hurrendous signal overcharged subscription service £ somehow managed details without consenting help told subscribed pay may look cheap worth hassle rubbish signal time  t even use phone signals bad ,1,3,2,2,1,2,0,1,4,3,-2.6,Negative,29-Aug-18,Wednesday,Aug-18,,,,,,,,,,,,,,,,,,,
230, worst customer service ever experienced took new contract decided cancel day call centre bad told buy contract know nonsense contracts cooling period scare mongering trap year contract go customer service leading sapped energy response reply ordered contract phone definitely right cooling period ,2,1,1,2,0,2,1,2,4,2,-1.55,Negative,28-Aug-18,Tuesday,Aug-18,,,,,,,,,,,,,,,,,,,
231, allow share data chosen pay gb data share children car oh yes extra pissing cost major networks allow tethering login accounts complicatedadult content disabeling day never ,0,2,0,0,3,0,0,4,0,6,2.85,Positive,28-Aug-18,Tuesday,Aug-18,,,,,,,,,,,,,,,,,,,
232, unlimited binge really unlimited got told today phone using gb data month contacting asa ofcom report ,0,0,0,0,0,0,0,0,0,1,0.5,Positive,28-Aug-18,Tuesday,Aug-18,,,,,,,,,,,,,,,,,,,
233, mobile contract cancelled october last year number transferred new provider reviewing bank account see still debiting cancelled contract nearly years worth instalments reported weeks ago refund still made now tell need wait new bill generated next month refuse pay interest monies shocking ,0,3,0,0,1,0,0,3,2,3,0.2,Positive,28-Aug-18,Tuesday,Aug-18,,,,,,,,,,,,,,,,,,,
234, worst experience upgrade tried offer deals old phones told online found better deals ripp beware go another company way overpriced customer service sucks cancelled contract dont like ripped ,1,1,1,1,1,1,0,1,2,3,-1.05,Negative,28-Aug-18,Tuesday,Aug-18,,,,,,,,,,,,,,,,,,,
235, edit response danielle australia uk got went store told aus need sim card purchased pay go sim topped big mistake service shocking example spent week hostel next st pauls central london managed h incredibly slow another time central edinburgh lost complete service hrs travelling friend another network many times full g service nothing shocking purchasing credit another story find supermarket newsagent sell network credit went four stores searching told store staff member go came back nothing store even help wanted £ make one international phone call went away annoyed empty handed worry using sim card back aus deposited bin second monthly credit used best part network longer complain network back australia given wrong information upon purchasing sim buy credit online without uk issued bank card service drops random places really slow buy credit anywhere store even though tell ,1,5,0,1,2,4,0,4,6,6,-2.7,Negative,27-Aug-18,Monday,Aug-18,,,,,,,,,,,,,,,,,,,
236, like share cancellation process phoned cancel apparently fine girl tells need transferred confirm cancellation minutes later hang call new customer advisor went steps expected offers cancellation right ask put hold last advisor said shows trying cancel account lost connection ask need transferred confirm cancellation said know needed little scrub first call taking mick apart terrible customer service network also muck ,1,3,3,1,1,3,0,2,5,2,-0.15,Negative,27-Aug-18,Monday,Aug-18,,,,,,,,,,,,,,,,,,,
237, best network years really looked customer service great helpful friendly even got stressed always sorted anything rarely phone apart done sumink settings phone eat data truly use much like use gig months never slowed internet speed said anything great network defo worth changing ,0,2,0,0,2,0,0,2,0,5,4.1,Positive,26-Aug-18,Sunday,Aug-18,,,,,,,,,,,,,,,,,,,
238, absolutely rubbish ,0,0,1,0,0,0,0,0,1,0,-0.75,Negative,25-Aug-18,Saturday,Aug-18,,,,,,,,,,,,,,,,,,,
239, beware recommend friend pay months kept promising vouchers within days still joy beware frauds ,0,2,0,1,3,0,0,3,1,5,1.2,Positive,25-Aug-18,Saturday,Aug-18,,,,,,,,,,,,,,,,,,,
240, supposed note th told th now told stock blue say phone taken £ upfront cost really nice well done happy customer bad service different members staff giving answer fufuua ,1,1,1,1,1,2,0,1,1,3,1.55,Positive,25-Aug-18,Saturday,Aug-18,,,,,,,,,,,,,,,,,,,
241, wow talk shoddy customer service say least complained network looks like case complaints ever friend paid bill automated service now asking confirm card details even though damn account go mate say oh btw commit data protection breach passing details without permission customer service ring back say account verification one thing account friends account want details ,2,1,2,1,1,1,0,4,4,6,1,Positive,25-Aug-18,Saturday,Aug-18,,,,,,,,,,,,,,,,,,,
242, cancelled account phone later received outstanding bill busy knowing phone support often difficult understand due strong accents annoyingly sticking scripts used online chat service check account cancelled said agreed cancel asked confirm cancelled leaving chat paid outstanding bill see overlapped current account months later outstanding bill contact phone support system say confirmed suspended cancelled remember conversation otherwise contacted also asked getting bill consisting months apparent nonpayments contacted earlier paying bills now ridiculous bill pay account used months requested cancelled unacceptable frustrated another contract wait finished never going ,2,2,1,1,2,2,0,5,6,7,-1.9,Negative,25-Aug-18,Saturday,Aug-18,,,,,,,,,,,,,,,,,,,
243, never buy contract always payg never top £ much lose things go wrong loyal company switch needed years now anything complain last year needed replace sim went local shop got sorted quickly issues holidays usa australia europe used gb packages without problems nice able use data freely without worry racking £s bills daughter problem activating data usa phoned customer service uk got working next good experience far happy wife switching lyca next week think things bad read lyca network reviews jumping ship ,3,6,2,5,5,5,3,5,6,8,0.35,Positive,25-Aug-18,Saturday,Aug-18,,,,,,,,,,,,,,,,,,,
244, absolute rubbish wuntu reply danielle well code amazon prime absolute shambles work like ,0,0,1,0,0,0,0,0,2,2,-0.1,Negative,25-Aug-18,Saturday,Aug-18,,,,,,,,,,,,,,,,,,,
245, horrible customer service long waiting time want contact via phone hung agent stated able verify despite fact gave date birth postcode nameavoid costedit edit address reply panel opened able clearly see details encourage conscious hiring staff gentleman exactly attitude agent spoke blaming customer best customer experience definitely changing networks thank danielle confirming want anything ,1,3,1,2,2,0,0,4,2,5,3.1,Positive,24-Aug-18,Friday,Aug-18,,,,,,,,,,,,,,,,,,,
246, rip refuse let pay contract early indian call centers staff stuck script absolutely appalling ,0,1,1,1,1,0,0,1,2,2,-2.1,Negative,24-Aug-18,Friday,Aug-18,,,,,,,,,,,,,,,,,,,
247, complained got nothing sorry sir customer service terrible head round making call using internet difficult city london everywhere else go thought always improving services clearly avoid costs ,1,1,1,3,0,1,0,1,2,3,-1.5,Negative,23-Aug-18,Thursday,Aug-18,,,,,,,,,,,,,,,,,,,
248, years now think hardly ever problem recently went europe used roam loved even always delight ,0,1,0,1,1,1,0,0,1,1,0.75,Positive,23-Aug-18,Thursday,Aug-18,,,,,,,,,,,,,,,,,,,
249, worst customer service ever spent mins talking charges ended hanging reply ended going fb twitter help either last bill £ even though contract capped £ month ,1,0,1,1,0,1,0,0,2,1,-1,Negative,23-Aug-18,Thursday,Aug-18,,,,,,,,,,,,,,,,,,,
250, honest rate customers service less star month talked people working customer service department plus one manager none able provide document use make claim phone insurance company plus went stratfordlondon store help either totally disaster angry furious thinking contracts zero interest helping request disappointing run away ,4,2,4,2,2,3,1,3,4,7,-0.35,Negative,23-Aug-18,Thursday,Aug-18,,,,,,,,,,,,,,,,,,,
251, contracts may good customer service poor contract daughter inadvertently caused charges account happened months ago assured happen spent minutes chatting line help put customer relations spent minutes listening inane music gentleman hardly understand told unable anything waste time energy want decent customer relations go ,0,3,1,0,3,2,1,4,4,7,1.35,Positive,23-Aug-18,Thursday,Aug-18,,,,,,,,,,,,,,,,,,,
252, terrible experience needed stop direct debit keep number pay go moved another country europe wanted keep english number month number longer active canceled contract told asked specified wanted keep number waiting several important calls got english number anymore thanks awful operators helpful desperate requests nobody tried fix issue recommended ,2,2,2,2,2,2,0,4,4,3,0.1,Positive,22-Aug-18,Wednesday,Aug-18,,,,,,,,,,,,,,,,,,,
253, come end contract mobile rang cancelled contract plenty time prewarned leaving go back carphone warehouse old network provider vodaphone customer service appalling rude unhelpful call center agents apparently based india barely speak clear spoken english appear trained properly seem give different conflicting information rang times agree outstanding balance claim owe seem cancelled contract think cancel internet legs dongle well obvious leaving want leave dongle running exclusive use network year old pensioner considered sold without even needing gizmo first place hard sell tactics never taken box used never knew now dam cheek say owe money dongle sent outstanding balance moorcroft debt collects hell pay something never used even wanted ripped view worst mobile phone provider going honest opinion even nerve offer let go back pay never consider fault told last phone conversation one called agents dongle c still active cancelled time gave pac code move new provider vodaphone bad customer service agents actually reading information screen front also partially deaf hearing aid makes difficult understand broken english foreign call center agents treated unfairly really bad customer experiencems shirley lang uk ,5,5,4,8,4,8,2,6,13,14,-3.95,Negative,22-Aug-18,Wednesday,Aug-18,,,,,,,,,,,,,,,,,,,
254, nearly year now believe  ve found took contract iphone offered rescue insurance £ something month told cancel time wasn t told apple gives year warranty every iphone didn t know months paying insurance explained customer services made aware defiantly taken rescue knew warranty asked make claim back  ve paid already waiting weeks even though told  d response days told refund think unacceptable considering mistake scam good thing say online chat operators friendly however phone completely different story ,0,4,0,0,4,3,2,5,3,7,0.65,Positive,21-Aug-18,Tuesday,Aug-18,,,,,,,,,,,,,,,,,,,
255, avoid costs lied deceived read consider switching worst mobile phone company ever deal went sheffield meadowhall store told great signal amazing g supervoice technology meant signal new home good selling service assured signal cancel cost within days took two contracts one mobile one mobile internet returned home dismay signal worse ees home almost nonexistent shame returned sheffield meadowhall store cancel pac code take number elsewheredays later disconnection pac code meantime used never come across mobile phone network bad worst signal ever tried call ask disconnected yet told us talk ryan phone sounded weird store trip hour round trip called customer services signal lost call went store filled another disconnection form waited disconnection another hour round trip later speak guy tells manager available simply keyholder anyways long story short trips later still managed promised disconnection two contracts signal like hitting head brick wall see frsutration staffs faces meadowhall sheffield store even look helpless bad customer service trying promised left worst taste ever mouth wishing read trust pilot trusted businessnever ever please avoid costs worst customer service ever worst network ever onto ombudsman social media nextterrible terrible terribleps selling said aspirations target worlds best brand apple coca cola never toward goal run reading need sort ,4,7,4,7,2,9,5,5,13,9,-0.45,Negative,21-Aug-18,Tuesday,Aug-18,,,,,,,,,,,,,,,,,,,
256, absolutely awful service cancelled phone bill november months still taking monthly payments different amounts whatever amount takes pick querying advise record cancelation done store phone apart incapable individual phone manage cancel phone bill correctly customer service okay however service shocking avoid costs massive con company incapability cost lot ,1,1,1,2,0,2,0,2,3,5,-2.55,Negative,21-Aug-18,Tuesday,Aug-18,,,,,,,,,,,,,,,,,,,
257, bought contract external website checked s signal coverage checker make sure signal acceptable area using phone work well personal usephone came signal absolutely shocking poor signal calls texts g old house work site numerous places even g northumberland street newcastle city centre main problem however missing phonecalls receiving incoming call notification missed call notification voicemail etcopened ticket resolver received one reply within first month opened contacted customer service via phone live chat numerous times must easily course next months told exactly things time helping resolution really offered use wifi calling acceptable paying money acceptable signal even tried new sim card request effect end months contact problem going months point received advisor told fact poor signal area meaning online coverage checker even remotely accurate displaying clear lies agents decided tell another hour live chat managed contract termination fee tried push wifi calling offered last month free months credit compensationgiving star review instead couple advisors actually ok resolved issue end still recommend services anyone whole process felt like smashing face brick wall unnecessarily stressful ,2,6,0,2,3,3,2,8,5,11,3.65,Positive,21-Aug-18,Tuesday,Aug-18,,,,,,,,,,,,,,,,,,,
258, worst customer service ever experienced try raise concern threatened call terminated even screamed phone dediced end call write chief executive instead ,0,0,0,0,0,0,0,1,0,2,-1.6,Negative,20-Aug-18,Monday,Aug-18,,,,,,,,,,,,,,,,,,,
259, bad language barriers won t pass manager won t let make complaint ,2,0,1,1,0,1,0,0,2,0,-1,Negative,20-Aug-18,Monday,Aug-18,,,,,,,,,,,,,,,,,,,
260, poor network bad costomer services dont replay complaints dont call back told ,1,1,1,1,0,1,0,0,1,0,-2.25,Negative,20-Aug-18,Monday,Aug-18,,,,,,,,,,,,,,,,,,,
261, ridiculous company claims forefront mobile internet services  ve nothing poor connection issues since contract started poor fact forced pay hotspot add although internet running slow sapping data allowance following month charged add made clear recurring terrible customer service advisors indian call centres adamant speak anybody uk tell want cancel course recommend anybody go ee used four years issues like appalling ,2,2,3,3,1,2,0,3,5,3,-2.85,Negative,20-Aug-18,Monday,Aug-18,,,,,,,,,,,,,,,,,,,
262, awful customer service ring multiple times ask proof usage order make insurance claim time told receive week week month later given switching networks soon contract ,1,1,1,1,0,1,0,1,1,1,-0.75,Negative,20-Aug-18,Monday,Aug-18,,,,,,,,,,,,,,,,,,,
263, well begin experience joining ridiculous wait days number ported paying two mobile phone companies nowhere paperwork say deadlines porting numberspelt name wrong contract email address name tried name contract changed made calls told quoting wrong phone number repeated question answers speak extremely clearly good english never spoke anyone english yet told understood must holding phone away mouth speaker phone etc etc gave calls phone number web phone contact details given contract turned online chat another bad experience started chat time person end waited check something threatened cut inactivity transferred customer relations person acceleration complaint gave details requested chat operator thanked patients asked wait system cut inactivity couple minutes precisely nowhere thought ee bad company takes beating deeply regret transferring return phone ported number across dreading next months advice want totally frustrated wasting time anything sorted network ,5,7,3,3,1,4,2,4,12,4,-5.6,Negative,20-Aug-18,Monday,Aug-18,,,,,,,,,,,,,,,,,,,
264, left poor signal overall also customer service representative go extra mile ee waive extra month payment told going leave ,0,0,0,0,0,1,1,0,2,2,-0.45,Negative,20-Aug-18,Monday,Aug-18,,,,,,,,,,,,,,,,,,,
265, charging call make receive use whatsup even within data allowance sim data allowance mb recently changed price contract gives gb charged making call mexico using whatsup facebook twitter please give answer platform uktrustpilotcomthanks help ,0,0,0,0,0,0,0,0,0,0,1,Positive,19-Aug-18,Sunday,Aug-18,,,,,,,,,,,,,,,,,,,
266, discovered following death dear partner like mobile phone service providers steal deceased unused credit matter little large goes towards s bank balance company even provide basic service edith lay hospital bed outskirts edinburghscum ,2,2,1,3,0,4,1,4,3,5,1.1,Positive,19-Aug-18,Sunday,Aug-18,,,,,,,,,,,,,,,,,,,
267, dreadful dreadful company interact called may cancel account cancelled phoned today spoke different people equally obsequious fault shocking customer service limited understanding calling family o now difference service unbelievable glad moved ,2,2,1,1,1,4,0,2,6,4,-2.7,Negative,18-Aug-18,Saturday,Aug-18,,,,,,,,,,,,,,,,,,,
268, lack network infrastructure upgradespeak times getting dial speeds gneeds networks upgrade lte advanced right mast tested speeds throughout peak times daytraffic sense way push people slower connectionmbs ammbs ammbs pmmbs pmmbs pmmbs pmif want speed look elsewhere ,0,1,0,0,0,0,0,0,1,2,0.55,Positive,18-Aug-18,Saturday,Aug-18,,,,,,,,,,,,,,,,,,,
269, lie shops rights zte mobile going wrong consumer rights art also check team conditions go charging going data team charging nothing cap data ,1,3,1,0,1,2,1,2,2,1,-0.65,Negative,18-Aug-18,Saturday,Aug-18,,,,,,,,,,,,,,,,,,,
270, many years customer service really getting poor agents hang phone never call back renewed contract phone honor s rubish overheating ended sending phones repair buy new phone noy renew contracts ,0,0,0,0,0,0,0,1,0,2,0.3,Positive,17-Aug-18,Friday,Aug-18,,,,,,,,,,,,,,,,,,,
271, st customer service service used think another company make much money make enough stop giving good service lazy miserable incompetent low lives fact ,3,2,1,0,2,2,2,3,3,4,-1.55,Negative,17-Aug-18,Friday,Aug-18,,,,,,,,,,,,,,,,,,,
272, tell disappointed customers service see spend time thinking excuses cant help everything seems like much trouble requested someone call back making told cant make going calls yea read correctly phone company cant make outgoing calls limited choice providers put crap ,2,2,2,0,0,2,0,1,4,1,-1.8,Negative,17-Aug-18,Friday,Aug-18,,,,,,,,,,,,,,,,,,,
273, year half wifi time never missed single payment upgraded twice last month hospital weeks cancer operation direct debit go within hrs disconnected service day came hospital rang straight immediate payment using debit card reinstated direct debit ready next month service reconnected later day shop hull talking upgrading possibly include phone well manager said extremely sorry given circumstances illness insisting £ penalty using debit card rang complain told today charges stand nothing asked worth asking ceo mr david dyson possibly look helping difficult time told tell thing said may move another company told beware treat loyal customers yrs never missed single payment terrible sad time customer loyalty means nothing even time need ,5,4,3,10,2,8,2,5,9,6,-0.5,Negative,17-Aug-18,Friday,Aug-18,,,,,,,,,,,,,,,,,,,
274, customer quite time recently travelled abroad country feel home usedencountered issues first days ended bill £ £ calls network another £ trying data passportobviously happy raised complaint received call lady dealing complaint extremely dismissive unhelpful seemed really enjoy unhelpful possible often talking lease apologised able nothing keep customer bravoneedless say cancelled contract never use ,1,5,0,0,2,0,0,3,2,4,-1.25,Negative,17-Aug-18,Friday,Aug-18,,,,,,,,,,,,,,,,,,,
275, im costumer horrible service never keep taking money account fraud reported polices ,3,1,1,1,1,0,1,2,2,1,-0.9,Negative,16-Aug-18,Thursday,Aug-18,,,,,,,,,,,,,,,,,,,
276, worst service ever received mobile phone service provider ,0,1,0,0,0,0,0,0,0,1,0.1,Positive,16-Aug-18,Thursday,Aug-18,,,,,,,,,,,,,,,,,,,
277, terrible stuck holiday without working phonenever ,1,1,1,1,1,1,0,0,1,2,0.05,Positive,15-Aug-18,Wednesday,Aug-18,,,,,,,,,,,,,,,,,,,
278, like provide transparent pricing help control expenditure reach usage allowance unlike companies automatically switch high cost mobile data customer support quite good ,0,2,0,0,1,0,1,2,1,3,2.05,Positive,15-Aug-18,Wednesday,Aug-18,,,,,,,,,,,,,,,,,,,
279, great internet feel home customer service floor sales people trained enough apparently yelling phone insurance missold clear enough indicator want keep paying said insurance talked phone excellent experience bootoh lets forget random call drops eventually turn useless special offer ,0,0,0,0,2,0,0,1,2,4,1.65,Positive,15-Aug-18,Wednesday,Aug-18,,,,,,,,,,,,,,,,,,,
280, absolutely ridiculously hopeless customer service son account prior going canada now credit rang explained situation operator asked whether send refund home address uk asked speak account holder clearly didn t listen word said went round circles won t speak without authority couldn t  verify  account pathetically also couldn t transfer supervisor reason kept repeating son need call canada mobile cost refundabsolutely infuriating speak keep repeating  crib  sheet clearly based overseas whatever happened good old british customer service ,0,2,0,1,1,1,1,5,1,6,1.6,Positive,15-Aug-18,Wednesday,Aug-18,,,,,,,,,,,,,,,,,,,
281, good deals poor customer services charged feb year called online chatted numerous times still sort complained via resolver month progress yesterday even got response said discuss issue account holder beyond ridiculous month communication back forth think communicating common sense ,1,2,1,0,2,0,1,3,1,4,-0.5,Negative,15-Aug-18,Wednesday,Aug-18,,,,,,,,,,,,,,,,,,,
282, middle call interrupted message credit limit £ even know calls now barred till next billing period warning anywhere near limit never problem rang customer service find put calling plan extent unable unwilling tell suggest waited till next bill find unacceptablealthough still know incurred cost note calls excess plan cost p per minute gb plus minutes cost £ month means another minutes allowance cost monthly package ryan air approach pricingluckily plan runs october search trustworthy supplier sad years always thought reliable ,0,3,0,2,0,3,0,4,6,3,-2.9,Negative,15-Aug-18,Wednesday,Aug-18,,,,,,,,,,,,,,,,,,,
283, put complaint recue days ago sent replacement headset wrong delivery address put complaint rescue said dealt days say days now september th won t even give telephone number contact complaints department literally stuck broken handset contact speak anyone claim keep saying telephone number give bang order ,3,2,1,2,1,2,2,1,4,3,-1.75,Negative,15-Aug-18,Wednesday,Aug-18,,,,,,,,,,,,,,,,,,,
284, store customer service excellent good line telephone ,0,2,0,0,2,0,1,2,0,4,1.75,Positive,14-Aug-18,Tuesday,Aug-18,,,,,,,,,,,,,,,,,,,
285, love hate relationship phone customer service best call centres india people phone refuse leave ended hang call really understand trying say language barrier got alright deal £ month gb data took calls saying going leave going leave last time caled gave better deal going elsewhere ended staying ,2,3,1,1,2,2,2,2,5,3,-0.2,Negative,13-Aug-18,Monday,Aug-18,,,,,,,,,,,,,,,,,,,
286, year happy £mth network bar got good deal live chat last week deal started today expected help cancelled contract basically lying company true word wonder send copy live chat ,1,5,1,0,3,0,2,4,2,4,0.95,Positive,13-Aug-18,Monday,Aug-18,,,,,,,,,,,,,,,,,,,
287, ever upgrade mobile worst customer care experience ever loyal customer almost years finally decided upgrade iphone x weeks nightmare dealing end receiving anything first instead getting upgrade current account nearly years ended new additional contract called explain situation offered upgrade existing account cancel new one said need return back iphone received send new iphone first receive new phone august charged gbp delivery fee delivery never received rescheduled delivery august today called delivery company imagine shock confirmed mobile requested phone sent back hour confirmed receive monday now upgraded phone receive days ago also brand new phone box waiting receive package return back mobile also contracts status upgraded upgrade contract fully cancelled receive phone warehouse solved hour half phone conversations every single day past days scam ,2,4,1,3,3,1,4,6,4,11,3.1,Positive,13-Aug-18,Monday,Aug-18,,,,,,,,,,,,,,,,,,,
288, years opted time rescue phone expensive repair made claim months took £ xs sent wrong phone called challenge basically got told lying needed send picture phone replace correct one spent hours phone since made complaint got wait working days manager back jokei worked insurance industry years sales manager far worst insurance company  ve ever dealt ,3,3,1,1,1,0,1,1,6,2,-2.15,Negative,13-Aug-18,Monday,Aug-18,,,,,,,,,,,,,,,,,,,
289, deactivate roaming service without knowledge outside country call plead call back problem sorted never called back went local store ireland help phone entire time called back got back uk requested speak manager wanted speak requested call back said hours eventually spoke offered come compensation yeah compensation needed needed access services pay compensation information feelings care zero feel network actually tell consultant idea troubleshoot roaming issues needed send issue delete localisation tell done manual settings zero idea use trust person responded dint read comment actually said back uk log chat roaming network ladies gents ,0,4,0,1,1,1,0,3,3,4,1.25,Positive,13-Aug-18,Monday,Aug-18,,,,,,,,,,,,,,,,,,,
